string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_sn_crossbow_variant_0,iw8_sn_crossbow,,,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_crossbow,,,,,,,
1,iw8_sn_crossbow_variant_1,iw8_sn_crossbow,,rec|1 front|1 back|1 mag|1 cable|1,,,,,,,,,,,,,x32#hash_c7f5be68,ui_loot_weapon_sn_crossbow_v2,,,,,,,
2,iw8_sn_crossbow_variant_2,iw8_sn_crossbow,,rec|2 mag|2 ,,barmid|2,,,scope|2,,,stockh|1,fastreload,cableh|1,,,x32#hash_14c,ui_loot_weapon_sn_crossbow_v3,,,,,,,
3,iw8_sn_crossbow_variant_3,iw8_sn_crossbow,,rec|1 front|1 back|1 mag|1 cable|3,,,,,,,,,,,,,x32#hash_c7f5be7e,ui_loot_weapon_sn_crossbow_v4,,,,,,,
4,iw8_sn_crossbow_variant_4,iw8_sn_crossbow,,rec|4 cable|4,,barmid|1,,,reflex2|8,bolt4|1,,stocks|1,fastreload,,,,x32#hash_14c,ui_loot_weapon_sn_crossbow_v5,,,,,,,
5,iw8_sn_crossbow_variant_5,iw8_sn_crossbow,,rec|5 front|5 back|5 mag|5 cable|5,,barmid|3,,,scope|3,bolt2|1,,,fastreload,cableh|2,,,x32#hash_c7f5be94,ui_loot_weapon_sn_crossbow_v6,,,,,,,
6,iw8_sn_crossbow_variant_6,iw8_sn_crossbow,,rec|0 front|0 back|0 mag|0 cable|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_crossbow_v7,,,,,,,
7,iw8_sn_crossbow_variant_7,iw8_sn_crossbow,,rec|0 front|0 back|0 mag|0 cable|0,,,,,,,,,,,,,x32#hash_c7f5beaa,ui_loot_weapon_sn_crossbow_v8,,,,,,,
8,iw8_sn_crossbow_variant_8,iw8_sn_crossbow,,rec|0 front|0 back|0 mag|0 cable|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_crossbow_v9,,,,,,,
9,iw8_sn_crossbow_variant_9,iw8_sn_crossbow,,rec|0 front|0 back|0 mag|0 cable|0,,,,,,,,,,,,,x32#hash_c7f5bec0,ui_loot_weapon_sn_crossbow_v10,,,,,,,
10,iw8_sn_crossbow_variant_10,iw8_sn_crossbow,,rec|0 front|0 back|0 mag|0 cable|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_crossbow_v11,,,,,,,
11,iw8_sn_crossbow_variant_11,iw8_sn_crossbow,,rec|0 front|0 back|0 mag|0 cable|0,,,,,,,,,,,,,x32#hash_c7f5bed6,ui_loot_weapon_sn_crossbow_v12,,,,,,,
