string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_sh_charlie725_variant_0,iw8_sh_charlie725,,,,,,,,,,,,,,,x32#hash_c7d8d168,ui_loot_weapon_sh_charlie725,,,,,,,
1,iw8_sh_charlie725_variant_1,iw8_sh_charlie725,iw8_sh_charlie725_mpv2,rec|1 front|1 back|1 mag|1 guard|1,,,,gripangpro|1,reflexmini3|4,,guardcust|1,,ammomod_wound,,,,x32#hash_c7f476c7,ui_loot_weapon_sh_charlie725_v2,,,,,,,
2,iw8_sh_charlie725_variant_2,iw8_sh_charlie725,,rec|2 front|2 back|2 mag|2 guard|2,,barshort|1,,,reflexmini|3,,,stockno|1,fastreload,,,,x32#hash_14c,ui_loot_weapon_sh_charlie725_v3,,,,,,,
3,iw8_sh_charlie725_variant_3,iw8_sh_charlie725,iw8_sh_charlie725_mpv2,rec|3 front|3 back|3 mag|3 guard|3,,barcust|1,,,scope|1,,,stocks|1,gunperk_marksman,,,,x32#hash_c7f476e0,ui_loot_weapon_sh_charlie725_v4,,,,,,,
4,iw8_sh_charlie725_variant_4,iw8_sh_charlie725,,rec|4 front|4 back|4 mag|4 guard|4,choke|1,barcust|2,,,,,,stockh|1,gunperk_xp,,,,x32#hash_14c,ui_loot_weapon_sh_charlie725_v5,,,,,,,
5,iw8_sh_charlie725_variant_5,iw8_sh_charlie725,,rec|5 front|5 back|5 mag|5 guard|5,silencer2|1,barshort|2,,gripang|1,holo3|4,,,stockno|2,,,,,x32#hash_c7f476f9,ui_loot_weapon_sh_charlie725_v6,,,,,,,
6,iw8_sh_charlie725_variant_6,iw8_sh_charlie725,iw8_sh_charlie725_mpv2,rec|6 front|6 back|6 mag|6 guard|6,,barlong|4,,gripcust|1,acog3|3,calcust2|3,guardcust|3,,,,,,x32#hash_14c,ui_loot_weapon_sh_charlie725_v7,,,,,,,
7,iw8_sh_charlie725_variant_7,iw8_sh_charlie725,iw8_sh_charlie725_mpv2,rec|7 front|7 back|7 mag|7 guard|7,silencer3|2,barlong|5,laser|1,,,,guardlight|2,stockno|4,,,,,x32#hash_c7f47712,ui_loot_weapon_sh_charlie725_v8,,,,,,,
8,iw8_sh_charlie725_variant_8,iw8_sh_charlie725,,rec|8 front|8 back|8 mag|8 guard|8,silencer3|1,barlong|2,,,scope|3,calcust2|1,,stocks|2,,,,,x32#hash_14c,ui_loot_weapon_sh_charlie725_v9,,,,,,,
9,iw8_sh_charlie725_variant_9,iw8_sh_charlie725,,rec|9 front|9 back|9 mag|9 guard|9,,barshort|3,laserrange|2,,,,guardlight|1,stockno|3,fastreload,,,,x32#hash_14c,ui_loot_weapon_sh_charlie725_v10,,,,,,,
