string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
0,iw8_ar_tango21_variant_0,iw8_ar_tango21,,,,,,,,,,,,,,,x32#hash_c7efe75c,ui_loot_weapon_ar_tango21,,,,,,,
1,iw8_ar_tango21_variant_1,iw8_ar_tango21,iw8_ar_tango21_mpv2,rec|1 back|1 mag|1,,barlong|1,,,,,,stockh|2,ammomod_wound,,,,x32#hash_c7efe708,ui_loot_weapon_ar_tango21_v2,,,,,,,
2,iw8_ar_tango21_variant_2,iw8_ar_tango21,,rec|2 mag|2,,barshort|1,,,acog3|1,,,stockl|1,ammomod_slow,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v3,,,,,,,
3,iw8_ar_tango21_variant_3,iw8_ar_tango21,,rec|3 mag|3,silencer2|6,barlong|2,,gripcust|9,acog|8,,,stockh|1,,,,,x32#hash_c7efe71d,ui_loot_weapon_ar_tango21_v4,,,,,,,
4,iw8_ar_tango21_variant_4,iw8_ar_tango21,iw8_ar_tango21_mpv2,rec|4 mag|4,,barmid|2,laserbalanced|5,,holo|8,,,stocks|1,fastreload,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v5,,,,,,,
5,iw8_ar_tango21_variant_5,iw8_ar_tango21,,rec|5 mag|5,silencer|4,barmid|3,,gripangpro|15,,,,stocks|2,,,,,x32#hash_c7efe732,ui_loot_weapon_ar_tango21_v6,,,,,,,
6,iw8_ar_tango21_variant_6,iw8_ar_tango21,,rec|6 back|6 mag|6,silencer3|11,barmid|4,,gl|1,holo3|15,,pistolgrip02|1,,,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v7,,,,,,,
7,iw8_ar_tango21_variant_7,iw8_ar_tango21,iw8_ar_tango21_mpmtx,rec|7,,barshort|2,laserrange|9,,,xmags|1,pistolgrip03|1,stocks|3,,,,,x32#hash_c7efe747,ui_loot_weapon_ar_tango21_v8,,green,,,,,
8,iw8_ar_tango21_variant_8,iw8_ar_tango21,,rec|8 back|8 mag|8,brake|3,barlong|3,,gripang|2,scope|1,,,stocks|4,,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v9,,,,,,,
9,iw8_ar_tango21_variant_9,iw8_ar_tango21,iw8_ar_tango21_mpv2,rec|9 front|9 back|9 mag|9,comp|5,,laserbalanced|13,,holo3|8,,pistolgrip02|2,,,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v10,,,,,,,
10,iw8_ar_tango21_variant_10,iw8_ar_tango21,iw8_ar_tango21_mpv2,rec|10 front|10 back|10 mag|10,,barlong|4,,ubshtgn|1,acog3|2,,,,,,,,x32#hash_c7efe771,ui_loot_weapon_ar_tango21_v11,,,,,,,
11,iw8_ar_tango21_variant_11,iw8_ar_tango21,,rec|11 front|11 back|11 mag|11,brake|5,barshort|3,,,,xmags|2,,,,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v12,,,,,,,
12,iw8_ar_tango21_variant_12,iw8_ar_tango21,iw8_ar_tango21_mpv2,rec|12 front|12 back|12 mag|12,comp|2,,,gripang|6,,,pistolgrip02|3,,maxammo,,,,x32#hash_c7efe786,ui_loot_weapon_ar_tango21_v13,,,,,,,
13,iw8_ar_tango21_variant_13,iw8_ar_tango21,,rec|13 mag|13,,barmid|5,,gripvert|14,reflexmini3|13,xmags|3,,stocks|5,,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v14,,,,,,,
14,iw8_ar_tango21_variant_14,iw8_ar_tango21,iw8_ar_tango21_mpv2,rec|14 back|14 mag|14,silencerbalanced|4,barlong|5,,gripang|1,,,,,,,,,x32#hash_c7efe79b,ui_loot_weapon_ar_tango21_v15,,,,,,,
15,iw8_ar_tango21_variant_15,iw8_ar_tango21,iw8_ar_tango21_mpv2,rec|15 mag|15,,barlong|6,,gripang|3,reflexmini3|15,,pistolgrip02|4,stocks|6,,,,,x32#hash_14c,ui_loot_weapon_ar_tango21_v16,,,,,,,
