string,string,string,string,string,string,string,string,string,string,string,string,string,string
include,omnvars/mp/omnvars_scorestreaks_br.csv,,,,,,,,,,,,
include,omnvars/mp/omnvars_hardpoint.csv,,,,,,,,,,,,
include,omnvars/mp/omnvars_br_common.csv,,,,,,,,,,,,
include,omnvars/mp/omnvars_grindtags.csv,,,,,,,,,,,,
include,omnvars/mp/omnvars_loot_container.csv,,,,,,,,,,,,
gametype,base,,,,,,,,,,,,
gametype,extract,,,,,,,,,,,,
gametype,evac,,,,,,,,,,,,
gametype,dmz,,,,,,,,,,,,
gametype,exgm,,,,,,,,,,,,
gametype,sandbox,,,,,,,,,,,,
gametype,prop,,,,,,,,,,,,
gametype,jugg,,,,,,,,,,,,
gametype,risk,,,,,,,,,,,,
gametype,kingslayer,,,,,,,,,,,,
gametype,mini,,,,,,,,,,,,
gametype,mini_mgl,,,,,,,,,,,,
gametype,plunder,,,,,,,,,,,,
gametype,gunroyale,,,,,,,,,,,,
gametype,truckwar,,,,,,,,,,,,
gametype,zxp,,,,,,,,,,,,
gametype,resurgence,,,,,,,,,,,,
gametype,resurgence_mgl,,,,,,,,,,,,
gametype,vanilla,,,,,,,,,,,,
gametype,zonecontrol,,,,,,,,,,,,
gametype,burn,,,,,,,,,,,,
ui_br_end_game_splash_type,1,,c,i,-1,-1,20,,,,,,
ui_br_altimeter_horizontal_speed,1,,c,i,0,0,999,,,,,,
ui_br_altimeter_vertical_speed,1,,c,i,0,0,999,,,,,,
ui_br_altimeter_height,1,,c,f,0,0,1,,,,,,
ui_br_altimeter_state,1,,c,i,0,0,2,,,,,,
ui_br_smallarms_ammo,1,,c,i,0,0,999,,,,,,
ui_br_shotgun_ammo,1,,c,i,0,0,999,,,,,,
ui_br_assault_ammo,1,,c,i,0,0,2000,,,,,,
ui_br_sniper_ammo,1,,c,i,0,0,999,,,,,,
ui_br_rocket_ammo,1,,c,i,0,0,999,,,,,,
ui_br_players_left_in_plane,1,,g,i,0,0,250,,,,,,
ui_br_active_spectators,1,,c,i,0,0,250,,,,,1,
ui_br_c130_path_start_x,1,,g,i,0,-327670,327670,,,,,,
ui_br_c130_path_start_y,1,,g,i,0,-327670,327670,,,,,,
ui_br_c130_path_end_x,1,,g,i,0,-327670,327670,,,,,,
ui_br_c130_path_end_y,1,,g,i,0,-327670,327670,,,,,,
ui_gulag_timer,1,,g,t,0,,,,,,,,
ui_gulag_state,1,,g,i,0,0,1,,,,,,
ui_gulag,1,,c,b,0,0,1,,,,,1,
ui_br_gulag_players_1,1,,c,a,0,,,,,,,1,
ui_br_gulag_queue_position,1,,c,i,0,0,64,,,,,1,
ui_br_gulag_data,1,,c,i,0,0,16777215,,,,,1,
ui_br_gulag_match_end_time,1,,c,t,0,,,,,,,1,
