string,string,string,string,string,string,string,string,string,string,string,string,string,string
include,omnvars/mp/omnvars_scorestreaks.csv,,,,,,,,,,,,
include,omnvars/mp/omnvars_loot_container.csv,,,,,,,,,,,,
include,omnvars/cp_mp/omnvars_pack_a_punch.csv,,,,,,,,,,,,
ui_grind_tags,1,1,c,i,0,0,65535,,,,,,
ui_droploot_inv_0,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_1,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_2,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_3,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_4,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_5,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_6,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_7,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_8,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_9,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_10,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_11,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_12,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_13,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_14,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_15,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_16,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_17,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_18,1,,g,i,0,0,1000000,,,,,,
ui_droploot_inv_19,1,,g,i,0,0,1000000,,,,,,
ui_safehouse_cac,1,,c,i,0,0,3,,,,,,
ui_safehouse_wardrobe,1,,c,i,0,0,3,,,,,,
ui_poi_star_rating,1,,c,i,-1,-1,8,,,,,,
ui_br_smallarms_ammo,1,,c,i,0,0,999,,,,,,
ui_br_shotgun_ammo,1,,c,i,0,0,999,,,,,,
ui_br_assault_ammo,1,,c,i,0,0,2000,,,,,,
ui_br_sniper_ammo,1,,c,i,0,0,999,,,,,,
ui_br_rocket_ammo,1,,c,i,0,0,999,,,,,,
ui_target_health,1,,c,i,-1,-1,500000,,,,,,
ui_target_max_health,1,,c,i,0,0,500000,,,,,,
ui_target_entity_num,1,,c,i,-1,-1,4047,,,,,,
ui_target_enemy_type,1,,c,i,0,0,1000,,,,,,
ui_target_enemy_class,1,,c,i,0,0,100,,,,,,
ui_add_perk,1,,c,i,0,0,100,,,,,,
ui_remove_perk,1,,c,i,0,0,100,,,,,,
ui_remove_perks,1,,c,i,0,0,100,,,,,,
ui_laststand_visibility,1,,c,b,0,0,1,,,,,,
ui_bleedout_progress,1,,c,f,0,0,1,,,,,,
ui_playerdata_weapon_ammo,1,,c,i,0,0,1023,,,,,,#Max should match MAX_AMMO_BITS
ui_dmg_num_state,1,,c,i,0,0,16,,,,,,
ui_dmg_num_amount,1,,c,i,0,0,1000000,,,,,,
ui_dmg_num_x,1,,c,i,0,-100000,100000,,,,,,
ui_dmg_num_y,1,,c,i,0,-100000,100000,,,,,,
ui_dmg_num_z,1,,c,i,0,-100000,100000,,,,,,
ui_dmg_num_element,1,,c,i,0,0,5,,,,,,
