string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/default/lootset_root.csv,2,,# root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_named_Location.csv,4,,# named_Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_supply_drop.csv,5,,# supply_drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_base.csv,6,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_gulag.csv,7,,# cache_gulag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_gulag_body.csv,8,,# cache_gulag_body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_lege.csv,9,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_static.csv,10,,# cache_static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_stronghold.csv,11,,# cache_stronghold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_blacksite.csv,12,,# cache_blacksite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_black.csv,13,,# stronghold_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_high.csv,14,,# stronghold_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_weapons.csv,15,,# gulag_weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_items.csv,16,,# gulag_items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_gulag.csv,17,,# saba_gulag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_blackmarket.csv,18,,# saba_blackmarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_gasstation.csv,19,,# saba_gasstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_hospital.csv,20,,# saba_hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_military.csv,21,,# saba_military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_industrial.csv,22,,# saba_industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_policestation.csv,23,,# saba_policestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_embassy.csv,24,,# saba_embassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_bank.csv,25,,# saba_bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_ship.csv,26,,# saba_ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_store.csv,27,,# saba_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_cash_register.csv,28,,# cache_cash_register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_duffel_bag.csv,29,,# cache_duffel_bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_hanging_clothes.csv,30,,# cache_hanging_clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_hidden_container.csv,31,,# cache_hidden_container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_medical_box_wall.csv,32,,# cache_medical_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_medicine_cabinet.csv,33,,# cache_medicine_cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_toolbox.csv,34,,# cache_toolbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_weapon_locker.csv,35,,# cache_weapon_locker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_agent_backpack.csv,36,,# agent_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_bomb_defuse_reward.csv,37,,# stronghold_bomb_defuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_blacksite_boss_backpack.csv,38,,# blacksite_boss_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_asn.csv,39,,# contract_asn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_dom.csv,40,,# contract_dom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav1.csv,41,,# contract_scav1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav2.csv,42,,# contract_scav2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav3.csv,43,,# contract_scav3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_safe1.csv,44,,# contract_safe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_safe2.csv,45,,# contract_safe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_safe3.csv,46,,# contract_safe3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_empty.csv,47,,# empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_agent_milestone_kills1.csv,48,,# agent_milestone_kills1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_agent_milestone_kills2.csv,49,,# agent_milestone_kills2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_agent_milestone_kills3.csv,50,,# agent_milestone_kills3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,nobr,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
reqLimit,gear,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reqLimit,super,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reqLimit,plate_carrier,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chance,ammo,,200,175,150,120,0,0,25,60,0,0,165,165,0,250,250,200,150,175,155,180,155,160,225,0,125,0,1,1,0,0,0,0,1,20,20,20,2,2,2,2,2,2,2,2,1,0,0,0
chance,health,,160,150,10,40,0,0,25,120,0,0,150,150,0,0,0,150,110,155,145,150,120,150,95,0,135,0,1,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,0,0,0,0
chance,plunder,,125,200,100,90,200,540,50,120,220,220,200,200,0,0,0,105,230,135,115,120,110,130,270,0,220,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,1,0,0
chance,killstreak,,0,0,0,100,1,0,175,60,180,180,0,0,0,0,0,10,0,0,5,10,5,0,0,255,0,0,0,0,1,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,0,0,1,0
chance,lethal,,115,250,50,110,0,0,25,150,0,0,225,225,0,375,375,100,130,110,120,130,120,110,95,0,130,0,0,0,0,0,0,1,0,5,5,5,10,10,10,10,10,10,10,10,0,0,0,0
chance,tactical,,115,225,50,110,0,0,25,150,0,0,225,225,0,375,375,100,130,160,120,130,120,110,95,0,130,0,0,0,0,400,750,1,0,5,5,5,10,10,10,10,10,10,10,10,0,0,0,0
chance,super,,120,0,0,140,200,120,175,120,0,0,5,5,0,0,0,90,100,110,120,110,110,120,70,100,100,0,0,0,0,300,0,0,0,0,5,5,20,20,20,20,20,20,20,20,0,0,0,0
chance,weapon,,145,0,500,45,50,0,25,0,120,120,5,5,1000,0,1,90,100,95,170,110,200,160,100,0,100,0,0,0,1,0,0,0,1,70,0,0,5,5,5,5,5,5,5,5,0,0,0,0
chance,gear,,0,0,40,110,200,180,200,135,220,220,5,5,0,0,0,15,0,0,0,10,0,0,0,150,10,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,1
chance,revive,,0,0,50,50,200,0,75,60,0,0,5,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,300,250,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
chance,tablet,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,keycard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,valuable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,key,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,plate_carrier,,0,0,50,80,125,160,200,20,180,180,0,0,0,0,0,90,0,0,0,0,10,10,0,0,0,0,0,0,1,0,0,0,0,0,5,5,10,10,10,10,10,10,10,10,0,0,0,0
chance,mission,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,perkpack,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,extractable,,0,0,0,5,0,0,0,5,80,80,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_ammo_12g,,175,175,175,175,0,0,175,175,0,0,175,175,0,500,500,175,175,175,175,175,175,175,175,0,175,0,175,350,0,0,0,0,175,175,175,175,175,175,175,175,175,175,175,175,0,0,0,0
item,brloot_ammo_50cal,,225,225,225,225,0,0,225,225,0,0,225,225,0,0,0,225,225,225,225,225,225,225,225,0,225,0,225,100,0,0,0,0,225,225,225,225,225,225,225,225,225,225,225,225,0,0,0,0
item,brloot_ammo_762,,325,325,325,325,0,0,325,325,0,0,325,325,0,0,0,325,325,325,325,325,325,325,325,0,325,0,325,100,0,0,0,0,325,325,325,325,325,325,325,325,325,325,325,325,0,0,0,0
item,brloot_ammo_919,,225,225,225,225,0,0,225,225,0,0,225,225,0,500,500,225,225,225,225,225,225,225,225,0,225,0,225,450,0,0,0,0,225,225,225,225,225,225,225,225,225,225,225,225,0,0,0,0
item,brloot_ammo_rocket,,50,50,50,50,0,0,50,50,0,0,50,50,0,0,0,50,50,50,50,50,50,50,50,0,50,0,50,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,brloot_equip_gasmask,,0,0,400,400,400,400,400,400,400,400,400,400,0,0,0,400,0,0,0,400,0,0,0,400,400,0,300,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,0,0,0,0
item,brloot_equip_gasmask_durable,,0,0,100,100,100,100,100,100,100,100,100,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,0,0,0,1
item,brloot_backpack_medium,,0,0,400,400,400,400,400,400,400,400,400,400,0,0,0,400,0,0,0,400,0,0,0,400,400,0,500,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,0,0,0,0
item,brloot_backpack_large,,0,0,100,100,100,100,100,100,100,100,100,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0
item,brloot_plate_carrier_3,,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_self_revive,,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_lethal,,450,450,450,450,0,0,450,450,0,0,450,450,0,500,50,450,450,450,450,450,450,450,450,0,450,0,0,0,0,0,0,450,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0
rarity,1_lethal,,300,300,300,300,0,0,300,300,0,0,300,300,0,300,30,300,300,300,300,300,300,300,300,0,300,0,0,0,0,0,0,300,0,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0
