string,string,string,string,string,string,string,string,string,string,string,string,xhash32,xhash32,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,int
item,brloot_ammo_12g,ammo,0,8,8486,small&loadout,0,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_ammo_shells_detail,br_pickup_ammo,,,40,,,,,,1,,,,,,,,,48,,,ping_loot_ammo_shotgun,ping_loot_confirm_ammo,,x32#hash_c7bbcaa8,0
item,brloot_ammo_50cal,ammo,0,8,8542,small&loadout&nogulag,0,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_ammo_high_detail,br_pickup_ammo,,,40,,,,,,1,,,,,,,,,48,,,ping_loot_ammo_highcal,ping_loot_confirm_ammo,,x32#hash_c7bbcaa8,0
item,brloot_ammo_762,ammo,0,30,8434,small&loadout&nogulag,0,,,,,x32#hash_c7c1ba28,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_ammo_mid_detail,br_pickup_ammo,,,210,,,,,,1,,,,,,,,,240,,,ping_loot_ammo_midcaliber,ping_loot_confirm_ammo,,x32#hash_c7bbcaa8,0
item,brloot_ammo_919,ammo,0,30,8595,small&loadout,0,,,,,x32#hash_c7bfbe4f,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_ammo_small_detail,br_pickup_ammo,,,150,,,,,,1,,,,,,,,,180,,,ping_loot_ammo_smallcal,ping_loot_confirm_ammo,,x32#hash_c7bbcaa8,0
item,brloot_ammo_rocket,ammo,0,1,8627,small&loadout&nogulag,0,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_ammo_rocket_detail,br_pickup_ammo,,,6,,,,,,1,,,,,,,,,3,,,ping_loot_ammo_launcher,ping_loot_confirm_ammo,,x32#hash_c7bbcaa8,0
item,brloot_equip_gasmask,gear,2,108,8400,small&loadout,100,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_gear_helmet,,,,,,,,,,,,,,,,,,,,,brightGold,ping_loot_gasmask,ping_loot_confirm_gasmask,,x32#hash_c7bbcaa8,0
item,brloot_equip_gasmask_durable,gear,4,216,8590,small&loadout&nogulag,200,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_gear_gasmask_durable,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,,,brightGold,ping_loot_gasmask,ping_loot_confirm_gasmask,,x32#hash_c7bbcaa8,0
item,brloot_equip_iodine_pills,gear,3,1,8473,small&nobr,100,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_icon_equipment_iodine_pills,br_legendary_loot_pickup,,,1,brloot_equip_iodine_pills,,,,,,,,,,,,,,1,,brightGold,ping_loot_equipment_iodinepills,ping_loot_confirm_medical,,x32#hash_c7bbcaa8,0
item,brloot_backpack_medium,gear,2,1,8600,medium&loadout,100,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_backpack_bag_icon,,,,1,,,,,,,,,,,,,,,1,,brightGold,ping_loot_generic,ping_loot_confirm_generic,,x32#hash_c7bbcaa8,0
item,brloot_backpack_large,gear,3,1,8545,medium&loadout,200,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_backpack_bag_icon,br_legendary_loot_pickup,,,1,,,,,,,,,,,,,,,1,,brightGold,ping_loot_generic,ping_loot_confirm_generic,,x32#hash_c7bbcaa8,0
item,brloot_plate_carrier_2,plate_carrier,1,1,8554,medium&loadout,100,,,,,x32#hash_c7c1ba14,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_health_armor_satchel,,,,1,,,,,,,,,,,,,,,1,,,ping_loot_armorpouch,ping_loot_confirm_armorpouch,,x32#hash_c7bbcaa8,0
item,brloot_plate_carrier_3,plate_carrier,2,1,8410,medium&loadout,200,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_health_armor_satchel,br_legendary_loot_pickup,,,1,,,,,,,,,,,,,,,1,,brightGold,ping_loot_armorpouch,ping_loot_confirm_armorpouch,,x32#hash_c7bbcaa8,0
item,brloot_armor_plate,health,0,1,8372,small&loadout,20,equip_armorplate,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_icon_loot_armor_plate,,3,2,3,armor_plate,,,,,1,,,,,,,,,3,,,ping_loot_armor,ping_loot_confirm_armor,,x32#hash_c7bbcaa8,0
item,brloot_plate_pouch,noDrop,4,1,8421,medium&powerful&loadout,150,,,,,x32#hash_c7cb92a3,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_health_armor_satchel,,,,1,armor_satchel,,,,,,,,,,,,,,1,,,ping_loot_armorpouch,ping_loot_confirm_armorpouch,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_common_1,plunder,0,10,8395,small,10,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_uncommon_1,plunder,1,50,8395,small,50,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_uncommon_2,plunder,1,80,8395,small,80,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_uncommon_3,plunder,1,120,8395,small,120,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
