id,hash,name
0,dc407325,physicslibrary
1,35ad7ff9,physicssfxeventasset
2,8bb5fcda,physicsvfxeventasset
3,fc868746,physicsasset
4,2a8801fa,physicsfxpipeline
5,aa295d1,physicsfxshape
6,60e3b3c5,physicsdebugdata
7,622d3ebe,xanim
8,c69eb639,xmodelsurfs
9,ddc67364,xmodel
10,b6e10510,mayhem
11,d2e4d060,material
12,e429f793,computeshader
13,631e2bad,libshader
14,4f4ccf52,vertexshader
15,fb9fa51f,hullshader
16,e8c45f04,domainshader
17,5c566942,pixelshader
18,6bbae577,techset
19,b35135fa,image
20,3b4659d8,soundglobals
21,2d0f979a,soundbank
22,58a04714,soundbanktransient
23,523e0214,col_map
24,cf845943,com_map
25,48b3e62,glass_map
26,707aca71,aipaths
27,e5e5ba3b,navmesh
28,d277b5ad,tacgraph
29,b58661c,map_ents
30,efa6452a,fx_map
31,2dbd7a1,gfx_map
32,4bc2bdfe,gfx_map_trzone
33,1db865,iesprofile
34,b28e3b8e,lightdef
35,fa9bed81,gradingclut
36,da983732,ui_map
37,455a28be,fogspline
38,486b9108,animclass
39,29f446a5,playeranim
40,655cb894,gesture
41,2f640f0a,localize
42,a5cb7c68,attachment
43,6f332041,weapon
44,8a3730df,vfx
45,8fcacd81,impactfx
46,537e96a2,surfacefx
47,e5023ce7,aitype
48,4f363d0,mptype
49,8b3aa710,character
50,b5da7e20,xmodelalias
51,3d578c37,rawfile
52,c70460ac,scriptfile
53,700420dd,scriptdebugdata
54,121073c,stringtable
55,f14fc2b3,leaderboarddef
56,ff3216b2,virtualleaderboarddef
57,ed5bfc1b,ddl
58,4fc08954,tracer
59,71cd882f,vehicle
60,ec220403,addon_map_ents
61,ba632397,netconststrings
62,766d0767,luafile
63,80c062ee,scriptable
64,49b9af7e,equipsndtable
65,129fd46,vectorfield
66,67e41d1c,particlesimanimation
67,e4ea2a5f,streaminginfo
68,9dac718c,laser
69,b72b38e9,ttf
70,2e2f8980,suit
71,66e75bdb,suitanimpackage
72,9ebe984e,camera
73,a513be88,hudoutline
74,7a9782a2,spaceshiptarget
75,b729a8b4,rumble
76,ba545088,rumblegraph
77,acf77102,animpkg
78,6c81478e,sfxpkg
79,c70971f,vfxpkg
80,febd7d69,footstepvfx
81,126764eb,behaviortree
82,79e875e,aianimset
83,36f66292,aiasm
84,204c1f55,proceduralbones
85,cb44e71,dynamicbones
86,62c95717,reticle
87,cec36491,xanimcurve
88,f6465915,coverselector
89,37e2219a,enemyselector
90,fbf10429,clientcharacter
91,d05348cd,clothasset
92,fae9f8dc,cinematicmotion
93,456d61d9,accessory
94,ab0f91f1,locdmgtable
95,ddc81636,bulletpenetration
96,c8f5d7e2,scriptbundle
97,958d4d60,blendspace2d
98,2c171f6e,xcam
99,90ef0ef9,camo
100,f2af5147,xcompositemodel
101,9595efff,xmodeldetailcollision
102,4374138c,streamkey
103,a19f098d,streamtreeoverride
104,a81eed66,keyvaluepairs
105,77f1b323,stterrain
106,e216ece5,nativescriptpatch
107,d1f7433b,collisiontile
108,6cf1df55,execution
109,9e865d67,carryobject
110,5e262256,soundbanklist
111,92fcdf29,decalvolumematerial
112,e6e4f168,decalvolumemask
113,41975253,dynentitylist
114,e9e6c843,fx_map_trzone
115,dd55ba44,dlogschema
116,547a11e4,edgelist
117,1f147386,triggereffect
118,4f113f67,weapontrigger
119,bec3d1a7,dwidata
