string,string,localized_a,string,string,localized_a,string,string,localized_a,string,string
0,bg_large_001,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_001,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_1,,
1,bg_large_002,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_002,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_1,,
2,bg_large_003,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_003,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_1,,
3,bg_large_004,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_004,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_1,,
4,bg_large_005,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_005,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_2,,
5,bg_large_006,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_006,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_2,,
6,bg_large_007,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_007,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_2,,
7,bg_large_008,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_008,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_2,,
8,bg_large_009,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_009,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_3,,
9,bg_large_010,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_010,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_3,,
10,bg_large_011,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_011,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_3,,
11,bg_large_012,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_012,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_3,,
12,bg_large_013,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_013,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_4,,
13,bg_large_014,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_014,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_4,,
14,bg_large_015,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_015,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_4,,
15,bg_large_016,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_016,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_4,,
16,bg_large_017,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_017,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_5,,
17,bg_large_018,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_018,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_5,,
18,bg_large_019,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_019,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_5,,
19,bg_large_020,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_020,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_5,,
20,bg_large_021,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_021,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_6,,
21,bg_large_022,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_022,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_6,,
22,bg_large_023,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_023,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_6,,
23,bg_large_024,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_024,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_6,,
24,bg_large_025,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_025,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_7,,
