string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
setchancecol,mp/loot/br/delta/zonecontrol/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_named_Location.csv,4,,# named_Location,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_supply_drop.csv,5,,# supply_drop,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_base.csv,6,,# cache_base,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_lege.csv,7,,# cache_lege,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_reusable_cache.csv,8,,# cache_reusable,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_cash_register.csv,9,,# cache_cash_register,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_duffel_bag.csv,10,,# cache_duffel_bag,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_hidden_container.csv,11,,# cache_hidden_container,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_medical_box_wall.csv,12,,# cache_medical_box,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_medicine_cabinet.csv,13,,# cache_medicine_cab,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_weapon_locker.csv,14,,# cache_weapon_locker,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/default/lootset_empty.csv,15,,# empty,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_main_scan.csv,16,,# main_scan,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_gasstation.csv,17,,# gasstation,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cache_cash_register_clean.csv,18,,# cache_cash_register_clean,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/zonecontrol/lootset_cash_machine.csv,19,,# cash_machine,,,,,,,,,,,,,,,,0
tagReject,nobr,,100,,,,,,,,,,,,,,,,,0
tagReject,sealion,,100,,,,,,,,,,,,,,,,,0
tagReject,saba,,100,,,,,,,,,,,,,,,,,0
tagReject,sabacrashsite,,100,,,,,,,,,,,,,,,,,0
reqLimit,gear,,1,,,,,,,,,,,,,,,,,0
chance,ammo,,350,350,0,350,125,350,0,1,0,0,0,0,0,2,350,0,0,0
chance,health,,340,340,0,340,125,340,0,1,0,0,0,0,0,25,340,0,0,0
chance,plunder,,10,10,0,20,50,20,1,0,1,0,0,0,0,2,20,1,99,0
chance,killstreak,,10,10,0,10,275,10,0,0,1,0,0,0,0,3,10,0,1,0
