string,string,string,string,string,string
inherit,mp/loot/br/delta/zonecontrol/lootset_root.csv,,,,
chance,point,50,#     % of non-clustered points that will be populated,,
chance,cluster,60,#     % of clusters that will be populated,,
chance,clusterSolo,25,#     % of clusters that will become invalid after spawning one item (with dependencies),,
option,allowdupes,0,#no dupes,,
reqAdd,weapon,1,3,,#require a weapon
reqAdd,brloot_armor_plate,1,1,,#require an armor plate
tagBoost,brloot_super_personal_redeploy_drone,,,,#boost the prd
reqLimit,brloot_super_soundveil,,1,,#reduce quantity
reqLimit,brloot_super_sonarpulse,,1,,#reduce quantity
