string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/sealion/dmz/lootset_root.csv,2,,# root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_hotzone_on_test.csv,4,,# hotzone_on_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_hotzone_off_test.csv,5,,# hotzone_off_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_agent_backpack.csv,6,,# agent_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_gascan_zone.csv,7,,# gas_can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_office_cabinet.csv,8,,# office_cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_supply_drop_samsite.csv,9,,# supply_drop_samsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_apartments.csv,10,,# sealion_apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_beach.csv,11,,# sealion_beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_castle.csv,12,,# sealion_castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_gas.csv,13,,# sealion_gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_greenhouse.csv,14,,# sealion_greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,15,,# sealion_port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_power.csv,16,,# sealion_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_residential.csv,17,,# sealion_residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_ruins01.csv,18,,# sealion_ruins01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_ruins02.csv,19,,# sealion_ruins02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
