string,string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string
17259,jup_leagueplay_progression,181,a&,a&,5|10|15|20|25|30|35|40|45|50,17531|17535+17519|17527|17526+8958|17529+17520|17523+16690|17528+17439|17524+23304|17525+8929|17530+17515,,,League Play Progression,<NOT SET>,,,
21439,jup_leagueplay_penalty,181,a&,a&,,,,,SyncToStats,<NOT SET>,,,
21440,jup_leagueplay_sr_penalty,181,a&,a&,,,,,SyncToStats,<NOT SET>,,,
21441,jup_leagueplay_suspension,181,a&,a&,,,,,SyncToStats,<NOT SET>,,,
21805,jup_leagueplay_overall_stats,181,a&,a&,,,,,Overall Stats,<NOT SET>,,,
21806,jup_leagueplay_overall_best_stats,181,a&,a&,,,,,Overall Stats,<NOT SET>,,,
21811,jup_leagueplay_s1_win_stats,181,a&,a&,,,,,Win Stats,1,,,
21813,jup_leagueplay_s2_win_stats,181,a&,a&,,,,,Win Stats,2,,,
21815,jup_leagueplay_s3_win_stats,181,a&,a&,,,,,Win Stats,3,,,
21819,jup_leagueplay_s4_win_stats,181,a&,a&,,,,,Win Stats,4,,,
21820,jup_leagueplay_s5_win_stats,181,a&,a&,,,,,Win Stats,5,,,
21821,jup_leagueplay_s6_win_stats,181,a&,a&,,,,,Win Stats,6,,,
21822,jup_leagueplay_s1_hotstreak_stats,181,a&,a&,,,,,Hot Streak Stats,1,,,
21828,jup_leagueplay_s2_hotstreak_stats,181,a&,a&,,,,,Hot Streak Stats,2,,,
21831,jup_leagueplay_s3_hotstreak_stats,181,a&,a&,,,,,Hot Streak Stats,3,,,
21830,jup_leagueplay_s4_hotstreak_stats,181,a&,a&,,,,,Hot Streak Stats,4,,,
21832,jup_leagueplay_s5_hotstreak_stats,181,a&,a&,,,,,Hot Streak Stats,5,,,
21833,jup_leagueplay_s6_hotstreak_stats,181,a&,a&,,,,,Hot Streak Stats,6,,,
22054,jup_leagueplay_sr_integrity,181,a&,a&,,,,,Skill Rating Integrity,<NOT SET>,,,
22056,jup_leagueplay_match_aar,181,a&,a&,,,,,Match AAR,<NOT SET>,,,
20479,jup_leagueplay_s1_skilldivision_stats,181,a&,a&,,,,,Skilldivision Stats,1,,,
22058,jup_leagueplay_s2_skilldivision_stats,181,a&,a&,,,,,Skilldivision Stats,2,,,
22062,jup_leagueplay_s3_skilldivision_stats,181,a&,a&,,,,,Skilldivision Stats,3,,,
22063,jup_leagueplay_s4_skilldivision_stats,181,a&,a&,,,,,Skilldivision Stats,4,,,
22064,jup_leagueplay_s5_skilldivision_stats,181,a&,a&,,,,,Skilldivision Stats,5,,,
22065,jup_leagueplay_s6_skilldivision_stats,181,a&,a&,,,,,Skilldivision Stats,6,,,
17268,jup_wz_leagueplay_progression,252,a&,a&,5|10|15|20|25|30|35|40|45|50,,,,League Play Progression,<NOT SET>,,,
22241,jup_wz_leagueplay_penalty,252,a&,a&,,,,,SyncToStats,<NOT SET>,,,
