string,string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string
22100,jup_leagueplay_s1_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,1,,,
22102,jup_leagueplay_s2_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,2,,,
22104,jup_leagueplay_s3_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,3,,,
22108,jup_leagueplay_s4_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,4,,,
22109,jup_leagueplay_s5_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,5,,,
22110,jup_leagueplay_s6_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,6,,,
22111,jup_leagueplay_career_end_season_sd_placement,181,a&,a&,9|12|15|18|19|20,,,,,Career Season End SD,Career Season End SD,<NOT SET>,,,
22112,jup_leagueplay_s1_challenge_wins,181,a&,a&,5|10|25|50|75|100,,,,,Seasonal,Seasonal,1,,,
22118,jup_leagueplay_s2_challenge_wins,181,a&,a&,5|10|25|50|75|100,,,,,Seasonal,Seasonal,2,,,
22119,jup_leagueplay_s3_challenge_wins,181,a&,a&,5|10|25|50|75|100,,,,,Seasonal,Seasonal,3,,,
22120,jup_leagueplay_s4_challenge_wins,181,a&,a&,5|10|25|50|75|100,,,,,Seasonal,Seasonal,4,,,
22121,jup_leagueplay_s5_challenge_wins,181,a&,a&,5|10|25|50|75|100,,,,,Seasonal,Seasonal,5,,,
22122,jup_leagueplay_s6_challenge_wins,181,a&,a&,5|10|25|50|75|100,,,,,Seasonal,Seasonal,6,,,
22190,jup_leagueplay_s1_end_season_top250_placement,181,a&,a&,1|250,,,,,Season End Top250,Season End Top250,1,,,
22197,jup_leagueplay_s2_end_season_top250_placement,181,a&,a&,1|250,,,,,Season End Top250,Season End Top250,2,,,
22198,jup_leagueplay_s3_end_season_top250_placement,181,a&,a&,1|250,,,,,Season End Top250,Season End Top250,3,,,
22199,jup_leagueplay_s4_end_season_top250_placement,181,a&,a&,1|250,,,,,Season End Top250,Season End Top250,4,,,
22200,jup_leagueplay_s5_end_season_top250_placement,181,a&,a&,1|250,,,,,Season End Top250,Season End Top250,5,,,
22201,jup_leagueplay_s6_end_season_top250_placement,181,a&,a&,1|250,,,,,Season End Top250,Season End Top250,6,,,
22364,jup_wz_leagueplay_s1_end_season_sd_placement,252,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,1,,,
22370,jup_wz_leagueplay_s2_end_season_sd_placement,252,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,2,,,
22371,jup_wz_leagueplay_s3_end_season_sd_placement,252,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,3,,,
22372,jup_wz_leagueplay_s4_end_season_sd_placement,252,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,4,,,
22373,jup_wz_leagueplay_s5_end_season_sd_placement,252,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,5,,,
22374,jup_wz_leagueplay_s6_end_season_sd_placement,252,a&,a&,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,6,,,
22375,jup_wz_leagueplay_s1_end_season_top250_placement,252,a&,a&,1|250,,,,,Season End Top250,Season End Top250,1,,,
22381,jup_wz_leagueplay_s2_end_season_top250_placement,252,a&,a&,1|250,,,,,Season End Top250,Season End Top250,2,,,
22382,jup_wz_leagueplay_s3_end_season_top250_placement,252,a&,a&,1|250,,,,,Season End Top250,Season End Top250,3,,,
22383,jup_wz_leagueplay_s4_end_season_top250_placement,252,a&,a&,1|250,,,,,Season End Top250,Season End Top250,4,,,
