string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,localized_a,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a,string,string,localized_a
1,raid_coop_escort,a&,,1,primary,,,,,,,,,,,,,,,,,,,a&,,coop_escort_cs,,a&COOP_ESCORT/ESCORT_HVI,,1,,a&COOP_ESCORT/INTRO_LINE_ONE,a&COOP_ESCORT/INTRO_LINE_TWO,a&COOP_ESCORT/INTRO_LINE_THREE,a&COOP_ESCORT/INTRO_LINE_FOUR,a&,,1,a&COOP_ESCORT/ESCORT_HVI
2,raid_coop_escort_enter_vehicles,a&COOP_ESCORT/ENTER_VEHICLES,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&COOP_ESCORT/ESCORT_HVI,1,,,a&,a&,a&,a&,a&,,2,a&CP_CHECKPOINTS/ENTER_VEHICLES
3,raid_coop_escort_protect_hvi,a&COOP_ESCORT/PROTECT_HVI,,,,,,,,,,,,,,,,,,,,,,a&COOP_ESCORT/MISSION_FAILED_REASON,,,,a&COOP_ESCORT/ESCORT_HVI,2,,,a&,a&,a&,a&,a&,,3,a&CP_CHECKPOINTS/PROTECT_HVI
4,raid_coop_push,a&COOP_VEHICLE_PUSH/DESTROY_ENEMY_GATE,,1,primary,,,,,,,,,,,,,,,,,,,a&,,coop_push_cs,,a&COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,2,1,,a&,a&,a&,a&,a&,,4,a&CP_CHECKPOINTS/DESTROY_ENEMY_GATE
5,coop_bomb_case_defusal,a&COOP_BOMB_DEFUSAL/DEFUSE_BOMB,,step,,,0,,,,,,,,,,,,,,,,,a&COOP_BOMB_DEFUSAL/BOMB_CASE_FAIL_REASON,,coop_push_cs,,a&COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,1,,,a&,a&,a&,a&,a&,,5,a&CP_CHECKPOINTS/DEFUSE_BOMB
6,raid_coop_escape,a&COOP_ESCAPE/SEARCH_INTEL,,1,primary,,,,,,,,,,,,,,,,,,,a&,,coop_escape_cs,,a&COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,3,,,a&,a&,a&,a&,a&,,6,a&CP_CHECKPOINTS/SEARCH_INTEL
7,raid_coop_escape_safehouse,a&COOP_ESCAPE/TAKE_DRIVE_TO_SAFEHOUSE,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,4,,,a&,a&,a&,a&,a&,,7,a&CP_CHECKPOINTS/TAKE_DRIVE_TO_SAFEHOUSE
8,raid_coop_escape_end_camera,a&COOP_BOMB_DEFUSAL/DEFUSE_BOMB,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,,,,a&,a&,a&,a&,a&,,8,a&CP_CHECKPOINTS/DEFUSE_BOMB
9,raid_coop_defuse,a&,,1,primary,,,,,,,,,,,,,,,,,,,a&,,coop_defuse_cs,,a&COOP_BOMB_DEFUSAL/RESCUE_HVI,,1,,a&,a&COOP_BOMB_DEFUSAL/HOURS_LATER,a&,a&,a&,,9,a&CP_CHECKPOINTS/DEFUSE_BOMB
10,raid_coop_defuse_infiltrate,a&COOP_BOMB_DEFUSAL/INFILTRATE,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&COOP_BOMB_DEFUSAL/RESCUE_HVI,1,,,a&,a&,a&,a&,a&,,10,a&CP_CHECKPOINTS/INFILTRATE
11,coop_bomb_vest_defusal,a&COOP_BOMB_DEFUSAL/DEFUSE_BOMB_VESTS,,,,,,,,,,,,,,,,,,,,,,a&COOP_BOMB_DEFUSAL/BOMB_VEST_FAIL_REASON,,,,a&COOP_BOMB_DEFUSAL/RESCUE_HVI,2,,,a&,a&,a&,a&,a&,,11,a&CP_CHECKPOINTS/DEFUSE_BOMB_VESTS
