string,string,xhashres,string,localized_a,localized_a,localized_a,string,localized_a,localized_a,string,localized_a,localized_a,string,string,string,string,string,localized_a
0,none,%#icon_empty_circle,,a&MENU/NONE,a&,a&MENU/NONE,icon_empty_circle,a&,a&,,a&,a&,,,-1,0,,a&
1,role_tank,%#hud_icon_role_heavy,icon_role_heavy,a&LUA_MENU_CP/TANK_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_TEAM_ARMOR_NAME,a&LUA_MENU_CP/TEAM_ARMOR_DESC,hud_icon_fieldupgrade_hardened_armor,a&LUA_MENU_CP/PASSIVE_LAUNCHER_AMMO_NAME,a&LUA_MENU_CP/PASSIVE_LAUNCHER_AMMO_DESC,icon_buff_doubleLauncher,a&LUA_MENU_CP/SUPER_ARMOR_READY,a&LUA_MENU_CP/VANGUARD_CLASS_NAME,frontend_role_heavy,1,1,1,placeholder_x,a&
2,role_hunter,%#hud_icon_role_recon,icon_role_recon,a&LUA_MENU_CP/HUNTER_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_DRONE_NAME,a&LUA_MENU_CP/SCOUT_DRONE_DESC,hud_icon_killstreak_radardrone_recon,a&LUA_MENU_CP/PASSIVE_STEADY_AIM_NAME,a&LUA_MENU_CP/PASSIVE_STEADY_AIM_DESC,icon_buff_recoil,a&LUA_MENU_CP/SUPER_DRONE_READY,a&LUA_MENU_CP/MEDIC_CLASS_NAME,frontend_role_recon,1,2,3,placeholder_x,a&
3,role_demolition,%#hud_icon_role_demolitions,icon_role_demolitions,a&LUA_MENU_CP/VANGUARD_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_THERMITE_LAUNCHER_NAME,a&LUA_MENU_CP/THERMITE_LAUNCHER_DESC,hud_icon_fieldupgrade_thermite_launcher,a&LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_NAME,a&LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_DESC,icon_buff_grenade,a&LUA_MENU_CP/SUPER_AMMO_READY,a&LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_demolition,1,3,2,placeholder_x,a&
4,role_medic,%#hud_icon_role_medic,icon_role_medic,a&LUA_MENU_CP/MEDIC_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_TEAM_REVIVE_NAME,a&LUA_MENU_CP/TEAM_AUTO_REVIVE_DESC,hud_icon_fieldupgrade_team_revive,a&LUA_MENU_CP/PASSIVE_QUICK_REVIVE_NAME,a&LUA_MENU_CP/PASSIVE_QUICK_REVIVE_DESC,icon_buff_quickRevive,a&LUA_MENU_CP/SUPER_REVIVE_READY,a&LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_medic,1,4,1,placeholder_x,a&
5,role_assault,%#hud_icon_role_assault,icon_role_assault,a&LUA_MENU_CP/ASSAULT_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_TEAM_STOPPING_POWER_NAME,a&LUA_MENU_CP/TEAM_STOPPING_POWER_DESC,hud_icon_fieldupgrade_stopping_power,a&LUA_MENU_CP/PASSIVE_FAST_RELOAD_NAME,a&LUA_MENU_CP/PASSIVE_FAST_RELOAD_DESC,icon_buff_reload,a&LUA_MENU_CP/SUPER_STOPPING_POWER_READY,a&LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_assault,1,5,2,icon_fieldupgrade_assault,a&LUA_MENU_CP/ASSAULT_PROG_DESC
6,role_engineer,%#hud_icon_role_engineer,icon_role_engineer,a&LUA_MENU_CP/ENGINEER_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_EMP_DRONE_NAME,a&LUA_MENU_CP/EMP_DRONE_DESC,hud_icon_killstreak_emp_drone,a&LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_NAME,a&LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_DESC,icon_buff_armorDamage,a&LUA_MENU_CP/SUPER_EMP_READY,a&LUA_MENU_CP/HUNTER_CLASS_NAME,frontend_role_engineer,1,6,3,icon_fieldupgrade_engineer,a&LUA_MENU_CP/ENGINEER_PROG_DESC
7,kitAssault,%#icon_role_assault_small,icon_role_assault,a&LUA_MENU_CP/VANGUARD_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_THERMITE_LAUNCHER_NAME,a&LUA_MENU_CP/THERMITE_LAUNCHER_DESC,hud_icon_fieldupgrade_armor_box,a&LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_NAME,a&LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_DESC,icon_buff_grenade,a&LUA_MENU_CP/SUPER_AMMO_READY,a&LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_demolition,1,3,2,placeholder_x,a&
8,kitMedic,%#icon_role_medic_small,icon_role_medic,a&LUA_MENU_CP/MEDIC_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_TEAM_REVIVE_NAME,a&LUA_MENU_CP/TEAM_AUTO_REVIVE_DESC,hud_icon_fieldupgrade_stim_pistol,a&LUA_MENU_CP/PASSIVE_QUICK_REVIVE_NAME,a&LUA_MENU_CP/PASSIVE_QUICK_REVIVE_DESC,icon_buff_quickRevive,a&LUA_MENU_CP/SUPER_REVIVE_READY,a&LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_medic,1,4,1,placeholder_x,a&
10,kitRecon,%#icon_role_recon_small,icon_role_recon,a&LUA_MENU_CP/ENGINEER_CLASS_NAME,a&LUA_MENU_CP/FIELD_ORDER_EMP_DRONE_NAME,a&LUA_MENU_CP/EMP_DRONE_DESC,hud_icon_fieldupgrade_sonar_pulse,a&LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_NAME,a&LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_DESC,icon_buff_armorDamage,a&LUA_MENU_CP/SUPER_EMP_READY,a&LUA_MENU_CP/HUNTER_CLASS_NAME,frontend_role_engineer,1,6,3,icon_fieldupgrade_engineer,a&LUA_MENU_CP/ENGINEER_PROG_DESC
