string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,localized_a,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
1,map_restart,a&GAME/VOTE_MAPRESTART,a&,1,primary,,,,,,,,,,,,,,a&,a&,a& ,,,,,,,a&,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
2,obj_helidown,a&CP_BR_SYRK_OBJECTIVES/OBJ_RESCUE_PILOT,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/HELICOPTER_DOWN,,,1,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
3,obj_helidown_escort_mnu,a&CP_BR_SYRK_OBJECTIVES/USE_VIP,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/HELICOPTER_DOWN,,,1,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
4,pre_vault_assault,a&,a&,1,primary,icon_waypoint_objective_general,bank_obj_pos,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
5,vault_assault,a&CP_DWN_TWN_OBJECTIVES/VA_BANK,a&,0,primary,icon_waypoint_objective_general,bank_obj_pos,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
6,vault_assault_hack,a&CP_DWN_TWN_OBJECTIVES/HACK,a&,0,primary,icon_waypoint_objective_general,vault_assault_vault,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
7,vault_assault_cut,a&CP_DWN_TWN_OBJECTIVES/CUT,a&,1,primary,icon_waypoint_objective_general,vault_assault_cut,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
8,vault_assault_vault,a&CP_DWN_TWN_OBJECTIVES/KEY,a&,1,primary,icon_waypoint_objective_general,vault_assault_vault,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,4,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
9,vault_assault_vault_fake_end,a&CP_DWN_TWN_OBJECTIVES/FAKE_END,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,1,1,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
10,vault_assault_crypto,a&CP_DWN_TWN_OBJECTIVES/HVT,a&,1,primary,icon_waypoint_objective_general,vault_assault_crypto_vault,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
