string,string,string,localized_a,localized_a
11,relic_collat_dmg,icon_cp_modifier,a&LUA_MENU_CP/RELIC_COLLATERAL_DAMAGE,a&LUA_MENU_CP/RELIC_COLLATERAL_DAMAGE_DESC
12,relic_catch,icon_cp_modifier,a&LUA_MENU_CP/RELIC_CATCH,a&LUA_MENU_CP/RELIC_CATCH_DESC
13,relic_boom,icon_cp_modifier,a&LUA_MENU_CP/RELIC_BOOM,a&LUA_MENU_CP/RELIC_BOOM_DESC
14,relic_swat,icon_cp_modifier,a&LUA_MENU_CP/RELIC_SWAT,a&LUA_MENU_CP/RELIC_SWAT_DESC
15,relic_vampire,icon_cp_modifier,a&LUA_MENU_CP/RELIC_VAMPIRE,a&LUA_MENU_CP/RELIC_VAMPIRE_DESC
16,relic_landlocked,icon_cp_modifier,a&LUA_MENU_CP/RELIC_LANDLOCKED,a&LUA_MENU_CP/RELIC_LANDLOCKED_DESC
17,relic_squadlink,icon_cp_modifier,a&LUA_MENU_CP/RELIC_SQUADLINK,a&LUA_MENU_CP/RELIC_SQUADLINK_DESC
18,relic_healthpacks,icon_cp_modifier,a&LUA_MENU_CP/RELIC_HEALTHPACKS,a&LUA_MENU_CP/RELIC_HEALTHPACKS_DESC
19,relic_noregen,icon_cp_modifier,a&LUA_MENU_CP/RELIC_NOREGEN,a&LUA_MENU_CP/RELIC_NOREGEN_DESC
20,relic_ammo_drain,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AMMO_DRAIN,a&LUA_MENU_CP/RELIC_AMMO_DRAIN_DESC
21,relic_nobulletdamage,icon_cp_modifier,a&LUA_MENU_CP/RELIC_NOBULLETDAMAGE,a&LUA_MENU_CP/RELIC_NOBULLETDAMAGE_DESC
22,relic_no_ammo_mun,icon_cp_modifier,a&LUA_MENU_CP/RELIC_NO_AMMO_MUN,a&LUA_MENU_CP/RELIC_NO_AMMO_MUN_DESC
23,relic_headbullets,icon_cp_modifier,a&LUA_MENU_CP/RELIC_HEAD_BULLETS,a&LUA_MENU_CP/RELIC_HEAD_BULLETS_DESC
24,relic_trex,icon_cp_modifier,a&LUA_MENU_CP/RELIC_TREX,a&LUA_MENU_CP/RELIC_TREX_DESC
25,relic_dfa,icon_cp_modifier,a&LUA_MENU_CP/RELIC_DFA,a&LUA_MENU_CP/RELIC_DFA_DESC
26,relic_shieldsonly,icon_cp_modifier,a&LUA_MENU_CP/RELIC_SHIELDSONLY,a&LUA_MENU_CP/RELIC_SHIELDSONLY_DESC
27,relic_amped,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AMPED,a&LUA_MENU_CP/RELIC_AMPED_DESC
28,relic_fastbleed,icon_cp_modifier,a&LUA_MENU_CP/RELIC_FASTBLEED,a&LUA_MENU_CP/RELIC_FASTBLEED_DESC
29,relic_expldmg,icon_cp_modifier,a&LUA_MENU_CP/RELIC_EXPLDMG,a&LUA_MENU_CP/RELIC_EXPLDMG_DESC
30,relic_noks,icon_cp_modifier,a&LUA_MENU_CP/RELIC_NOKS,a&LUA_MENU_CP/RELIC_NOKS_DESC
31,relic_dogtags,icon_cp_modifier,a&LUA_MENU_CP/RELIC_DOGTAGS,a&LUA_MENU_CP/RELIC_DOGTAGS_DESC
32,relic_lsmelee,icon_cp_modifier,a&LUA_MENU_CP/RELIC_LSMELEE,a&LUA_MENU_CP/RELIC_LSMELEE_DESC
33,relic_hideobj,icon_cp_modifier,a&LUA_MENU_CP/RELIC_HIDEOBJ,a&LUA_MENU_CP/RELIC_HIDEOBJ_DESC
