string,string,localized,localized,string,string,string,string
83,iw9_ch_elder1_ar_kills,&CHALLENGE/ELDER1_ARKILLS,&CHALLENGE/AR_KILLS,150,,2500,
2695,iw9_ch_elder2_3streak,&CHALLENGE/NAME_NONE,&CHALLENGE/OP_3STREAK,5,,0,
2009,iw9_ch_elder3_3rapid,&CHALLENGE/NAME_NONE,&CHALLENGE/OP_3RAPID,5,,0,
1735,iw9_ch_elder4_assists,&CHALLENGE/NAME_NONE,&CHALLENGE/ASSISTS,5,,0,
1834,iw9_ch_elder5_secondary,&CHALLENGE/NAME_NONE,&CHALLENGE/SECONDARY,5,,0,
4042,iw9_ch_elder6_stealth,&CHALLENGE/NAME_NONE,&CHALLENGE/STEALTH,5,,0,
3092,iw9_ch_elder1_killer,&CHALLENGE/ELDER1_KILLER,&CHALLENGE/ELDER1_KILLER_DESC,35,,650,
4032,iw9_ch_elder1_tdmw,&CHALLENGE/ELDER1_TDMW,&CHALLENGE/ELDER1_TDMW_DESC,15,,6250,
200,iw9_ch_elder1_frag,&CHALLENGE/ELDER1_FRAG,&CHALLENGE/ELDER1_FRAG_DESC,5,,650,
1001,iw9_ch_elder1_revenge,&CHALLENGE/ELDER1_REVENGE,&CHALLENGE/ELDER1_REVENGE_DESC,75,,6250,
266,iw9_ch_elder1_damage,&CHALLENGE/ELDER1_TUNE_UP,&CHALLENGE/ELDER1_TUNE_UP_DESC,30,,1250,
2863,iw9_ch_elder1_uav,&CHALLENGE/ELDER1_UAV,&CHALLENGE/ELDER1_UAV_DESC,5,,650,
264,iw9_ch_elder1_smghs,&CHALLENGE/ELDER1_SMGHS,&CHALLENGE/ELDER1_SMGHS_DESC,75,,6250,
1764,iw9_ch_elder1_shrapnel,&CHALLENGE/ELDER1_SHRAPNEL,&CHALLENGE/ELDER1_SHRAPNEL_DESC,30,,3750,
3815,iw9_ch_elder1_flash,&CHALLENGE/ELDER1_FLASH,&CHALLENGE/ELDER1_FLASH_DESC,10,,650,
1869,iw9_ch_elder1_playa,&CHALLENGE/ELDER1_PLAYA,&CHALLENGE/ELDER1_PLAYA_DESC,30,,6250,
2966,iw9_ch_elder1_carepkg,&CHALLENGE/ELDER1_CAREPKG,&CHALLENGE/ELDER1_CAREPKG_DESC,30,,2500,
4102,iw9_ch_elder1_lmgkills,&CHALLENGE/ELDER1_LMGKILLS,&CHALLENGE/ELDER1_LMGKILLS_DESC,35,,650,
895,iw9_ch_elder1_domw,&CHALLENGE/ELDER1_DOMW,&CHALLENGE/ELDER1_DOMW_DESC,15,,6250,
824,iw9_ch_elder1_snack,&CHALLENGE/ELDER1_SNACK,&CHALLENGE/ELDER1_SNACK_DESC,3,,1250,
545,iw9_ch_elder1_revenant,&CHALLENGE/ELDER1_REVENANT,&CHALLENGE/ELDER1_REVENANT_DESC,15,,650,
2681,iw9_ch_elder1_claymore,&CHALLENGE/ELDER1_CLAYMORE,&CHALLENGE/ELDER1_CLAYMORE_DESC,80,,6250,
697,iw9_ch_elder1_kscruise,&CHALLENGE/ELDER1_KSCRUISE,&CHALLENGE/ELDER1_KSCRUISE_DESC,3,,650,
2752,iw9_ch_elder1_ghost,&CHALLENGE/ELDER1_GHOST,&CHALLENGE/ELDER1_GHOST_DESC,125,,5000,
277,iw9_ch_elder1_hs,&CHALLENGE/ELDER1_HS,&CHALLENGE/ELDER1_HS_DESC,30,,2500,
3129,iw9_ch_elder1_deadsilence,&CHALLENGE/ELDER1_DEADSILENCE,&CHALLENGE/ELDER1_DEADSILENCE_DESC,5,,650,
1762,iw9_ch_elder1_sniperhs,&CHALLENGE/ELDER1_SNIPERHS,&CHALLENGE/ELDER1_SNIPERHS_DESC,50,,6250,
60,iw9_ch_elder1_hqw,&CHALLENGE/ELDER1_HQW,&CHALLENGE/ELDER1_HQW_DESC,3,,1250,
2880,iw9_ch_elder1_kingslay,&CHALLENGE/ELDER1_KINGSLAY,&CHALLENGE/ELDER1_KINGSLAY_DESC,2,,650,
813,iw9_ch_elder1_pubwin,&CHALLENGE/ELDER1_PUBWIN,&CHALLENGE/ELDER1_PUBWIN_DESC,10,,5000,
4020,iw9_ch_elder1_concussion,&CHALLENGE/ELDER1_CONCUSSION,&CHALLENGE/ELDER1_CONCUSSION_DESC,60,,3750,
3089,iw9_ch_elder1_pistol,&CHALLENGE/ELDER1_PISTOL,&CHALLENGE/ELDER1_PISTOL_DESC,25,,650,
2851,iw9_ch_elder1_airstrike,&CHALLENGE/ELDER1_AIRSTRIKE,&CHALLENGE/ELDER1_AIRSTRIKE_DESC,60,,5000,
3966,iw9_ch_elder1_munitions,&CHALLENGE/ELDER1_MUNITIONS,&CHALLENGE/ELDER1_MUNITIONS_DESC,150,,2500,
1078,iw9_ch_elder1_killstreaks,&CHALLENGE/ELDER1_KILLSTREAKS,&CHALLENGE/ELDER1_KILLSTREAKS_DESC,10,,650,
436,iw9_ch_elder1_trophy,&CHALLENGE/ELDER1_TROPHY,&CHALLENGE/ELDER1_TROPHY_DESC,75,,5000,
2972,iw9_ch_elder1_vehicledestroy,&CHALLENGE/ELDER1_VEHICLEDESTROY,&CHALLENGE/ELDER1_VEHICLEDESTROY_DESC,10,,1250,
3876,iw9_ch_elder1_cluster,&CHALLENGE/ELDER1_CLUSTER,&CHALLENGE/ELDER1_CLUSTER_DESC,5,,650,
27,iw9_ch_elder1_focused,&CHALLENGE/ELDER1_FOCUSED,&CHALLENGE/ELDER1_FOCUSED_DESC,15,,5000,
1838,iw9_ch_elder1_equipment,&CHALLENGE/ELDER1_EQUIPMENT,&CHALLENGE/ELDER1_EQUIPMENT_DESC,30,,3750,
3872,iw9_ch_elder1_sndw,&CHALLENGE/ELDER1_SNDW,&CHALLENGE/ELDER1_SNDW_DESC,1,,650,
2643,iw9_ch_elder1_arhs,&CHALLENGE/ELDER1_ARHS,&CHALLENGE/ELDER1_ARHS_DESC,50,,5000,
2759,iw9_ch_elder1_thermite,&CHALLENGE/ELDER1_THERMITE,&CHALLENGE/ELDER1_THERMITE_DESC,20,,2500,
625,iw9_ch_elder1_ksdestroy,&CHALLENGE/ELDER1_KSDESTROY,&CHALLENGE/ELDER1_KSDESTROY_DESC,10,,650,
2017,iw9_ch_elder1_secondary,&CHALLENGE/ELDER1_SECONDARY,&CHALLENGE/ELDER1_SECONDARY_DESC,150,,3750,
2878,iw9_ch_elder1_shieldturret,&CHALLENGE/ELDER1_SHIELDTURRET,&CHALLENGE/ELDER1_SHIELDTURRET_DESC,40,,2500,
1886,iw9_ch_elder1_smg,&CHALLENGE/ELDER1_SMG,&CHALLENGE/ELDER1_SMG_DESC,35,,650,
150,iw9_ch_elder1_ammodrop,&CHALLENGE/ELDER1_AMMODROP,&CHALLENGE/ELDER1_AMMODROP_DESC,50,,3750,
3049,iw9_ch_elder1_nosebreaker,&CHALLENGE/ELDER1_NOSEBREAKER,&CHALLENGE/ELDER1_NOSEBREAKER_DESC,15,,1250,
2688,iw9_ch_elder1_assists,&CHALLENGE/ELDER1_ASSISTS,&CHALLENGE/ELDER1_ASSISTS_DESC,10,,650,
76,iw9_ch_elder1_supportkskill,&CHALLENGE/ELDER1_SUPPORTKSKILL,&CHALLENGE/ELDER1_SUPPORTKSKILL_DESC,50,,3750,
381,iw9_ch_elder1_lmghs,&CHALLENGE/ELDER1_LMGHS,&CHALLENGE/ELDER1_LMGHS_DESC,30,,2500,
1964,iw9_ch_elder1_smoke,&CHALLENGE/ELDER1_SMOKE,&CHALLENGE/ELDER1_SMOKE_DESC,5,,650,
4081,iw9_ch_elder1_gunfightw,&CHALLENGE/ELDER1_GUNFIGHTW,&CHALLENGE/ELDER1_GUNFIGHTW_DESC,10,,3750,
3899,iw9_ch_elder1_killstreakuse,&CHALLENGE/ELDER1_KILLSTREAKUSE,&CHALLENGE/ELDER1_KILLSTREAKUSE_DESC,30,,1250,
2871,iw9_ch_elder1_crouch,&CHALLENGE/ELDER1_CROUCH,&CHALLENGE/ELDER1_CROUCH_DESC,20,,650,
795,iw9_ch_elder1_shotgun,&CHALLENGE/ELDER1_SHOTGUN,&CHALLENGE/ELDER1_SHOTGUN_DESC,200,,3750,
721,iw9_ch_elder1_vtol,&CHALLENGE/ELDER1_VTOL,&CHALLENGE/ELDER1_VTOL_DESC,30,,2500,
229,iw9_ch_elder1_buzzkill,&CHALLENGE/ELDER1_BUZZKILL,&CHALLENGE/ELDER1_BUZZKILL_DESC,5,,650,
2777,iw9_ch_elder1_hipfire,&CHALLENGE/ELDER1_HIPFIRE,&CHALLENGE/ELDER1_HIPFIRE_DESC,125,,3750,
847,iw9_ch_elder1_stoppingpower,&CHALLENGE/ELDER1_STOPPINGPOWER,&CHALLENGE/ELDER1_STOPPINGPOWER_DESC,20,,1250,
1840,iw9_ch_elder1_sniper,&CHALLENGE/ELDER1_SNIPER,&CHALLENGE/ELDER1_SNIPER_DESC,35,,650,
729,iw9_ch_elder1_rocketlauncher,&CHALLENGE/ELDER1_ROCKETLAUNCHER,&CHALLENGE/ELDER1_ROCKETLAUNCHER_DESC,75,,3750,
51,iw9_ch_elder1_molotov,&CHALLENGE/ELDER1_MOLOTOV,&CHALLENGE/ELDER1_MOLOTOV_DESC,25,,2500,
536,iw9_ch_elder1_ads,&CHALLENGE/ELDER1_ADS,&CHALLENGE/ELDER1_ADS_DESC,30,,650,
84,iw9_ch_elder1_chopper,&CHALLENGE/ELDER1_CHOPPER,&CHALLENGE/ELDER1_CHOPPER_DESC,40,,3750,
2743,iw9_ch_elder1_cybw,&CHALLENGE/ELDER1_CYBW,&CHALLENGE/ELDER1_CYBW_DESC,1,,650,
3908,iw9_ch_elder1_stuck,&CHALLENGE/ELDER1_STUCK,&CHALLENGE/ELDER1_STUCK_DESC,15,,2500,
1032,iw9_ch_elder1_equipdestroy,&CHALLENGE/ELDER1_EQUIPDESTROY,&CHALLENGE/ELDER1_EQUIPDESTROY_DESC,20,,1250,
3982,iw9_ch_elder1_bloodthirsty,&CHALLENGE/ELDER1_BLOODTHIRSTY,&CHALLENGE/ELDER1_BLOODTHIRSTY_DESC,2,,650,
3025,iw9_ch_elder1_launcher,&CHALLENGE/ELDER1_LAUNCHER,&CHALLENGE/ELDER1_LAUNCHER_DESC,50,,2500,
2638,iw9_ch_elder1_eod,&CHALLENGE/ELDER1_EOD,&CHALLENGE/ELDER1_EOD_DESC,20,,1250,
321,iw9_ch_elder1_doubleoffense,&CHALLENGE/ELDER1_DOUBLEOFFENSE,&CHALLENGE/ELDER1_DOUBLEOFFENSE_DESC,1,,650,
4024,iw9_ch_elder1_pointblank,&CHALLENGE/ELDER1_POINTBLANK,&CHALLENGE/ELDER1_POINTBLANK_DESC,60,,3750,
1989,iw9_ch_elder1_stim,&CHALLENGE/ELDER1_STIM,&CHALLENGE/ELDER1_STIM_DESC,1250,,1250,
2816,iw9_ch_elder1_fullattach,&CHALLENGE/ELDER1_FULLATTACH,&CHALLENGE/ELDER1_FULLATTACH_DESC,35,,650,
752,iw9_ch_elder1_merciless,&CHALLENGE/ELDER1_MERCILESS,&CHALLENGE/ELDER1_MERCILESS_DESC,5,,3750,
794,iw9_ch_elder1_nemesis,&CHALLENGE/ELDER1_THREESTREAK,&CHALLENGE/ELDER1_THREESTREAK_DESC,10,,1250,
2719,iw9_ch_elder1_longshot,&CHALLENGE/ELDER1_LONGSHOT,&CHALLENGE/ELDER1_LONGSHOT_DESC,15,,650,
854,iw9_ch_elder1_whitephosph,&CHALLENGE/ELDER1_WHITEPHOSPH,&CHALLENGE/ELDER1_WHITEPHOSPH_DESC,50,,3750,
2792,iw9_ch_elder1_threeattach,&CHALLENGE/ELDER1_THREEATTACH,&CHALLENGE/ELDER1_THREEATTACH_DESC,150,,2500,
1889,iw9_ch_elder1_ffaw,&CHALLENGE/ELDER1_FFAW,&CHALLENGE/ELDER1_FFAW_DESC,1,,5000,
58,iw9_ch_elder1_doublekill,&CHALLENGE/ELDER1_DOUBLEKILL,&CHALLENGE/ELDER1_DOUBLEKILL_DESC,15,,2500,
3853,iw9_ch_elder1_secondhs,&CHALLENGE/ELDER1_SECONDHS,&CHALLENGE/ELDER1_SECONDHS_DESC,15,,1250,
2720,iw9_ch_elder1_semtex,&CHALLENGE/ELDER1_SEMTEX,&CHALLENGE/ELDER1_SEMTEX_DESC,5,,650,
1850,iw9_ch_elder1_oneattach,&CHALLENGE/ELDER1_ONEATTACH,&CHALLENGE/ELDER1_ONEATTACH_DESC,225,,3750,
3999,iw9_ch_elder1_bloodthirstydefense,&CHALLENGE/ELDER1_BLOODTHIRSTYDEFENSE,&CHALLENGE/ELDER1_BLOODTHIRSTYDEFENSE_DESC,1,,2500,
3803,iw9_ch_elder1_longshotonelife,&CHALLENGE/ELDER1_LONGSHOTONELIFE,&CHALLENGE/ELDER1_LONGSHOTONELIFE_DESC,5,,650,
2683,iw9_ch_elder1_melee,&CHALLENGE/ELDER1_MELEE,&CHALLENGE/ELDER1_MELEE_DESC,30,,2500,
28,iw9_ch_elder1_cleanhouse,&CHALLENGE/ELDER1_CLEANHOUSE,&CHALLENGE/ELDER1_CLEANHOUSE_DESC,1,,1250,
2995,iw9_ch_elder1_fourattach,&CHALLENGE/ELDER1_FOURATTACH,&CHALLENGE/ELDER1_FOURATTACH_DESC,35,,650,
341,iw9_ch_elder1_ac130kills,&CHALLENGE/ELDER1_AC130KILLS,&CHALLENGE/ELDER1_AC130KILLS_DESC,50,,3750,
4017,iw9_ch_elder1_fury,&CHALLENGE/ELDER1_FURY,&CHALLENGE/ELDER1_FURY_DESC,1,,2500,
2612,iw9_ch_elder1_oneshot,&CHALLENGE/ELDER1_ONESHOT,&CHALLENGE/ELDER1_ONESHOT_DESC,15,,650,
639,iw9_ch_elder1_snapshot,&CHALLENGE/ELDER1_SCAVENGER,&CHALLENGE/ELDER1_SCAVENGER_DESC,300,,3750,
2996,iw9_ch_elder1_twoattach,&CHALLENGE/ELDER1_TWOATTACH,&CHALLENGE/ELDER1_TWOATTACH_DESC,75,,1250,
2994,iw9_ch_elder1_triple,&CHALLENGE/ELDER1_TRIPLE,&CHALLENGE/ELDER1_TRIPLE_DESC,1,,5000,
3050,iw9_ch_elder1_backfire,&CHALLENGE/ELDER1_BACKFIRE,&CHALLENGE/ELDER1_BACKFIRE_DESC,35,,3750,
881,iw9_ch_elder1_karma,&CHALLENGE/ELDER1_KARMA,&CHALLENGE/ELDER1_KARMA_DESC,75,,2500,
246,iw9_ch_elder1_tripleoffense,&CHALLENGE/ELDER1_TRIPLEOFFENSE,&CHALLENGE/ELDER1_TRIPLEOFFENSE_DESC,5,,5000,
317,iw9_ch_elder1_zeroattach,&CHALLENGE/ELDER1_ZEROATTACH,&CHALLENGE/ELDER1_ZEROATTACH_DESC,150,,2500,
257,iw9_ch_elder1_nuke,&CHALLENGE/ELDER1_HEADSHOT_LONGSHOT,&CHALLENGE/ELDER1_HEADSHOT_LONGSHOT_DESC,15,,1250,
3866,iw9_ch_elder1_fourpiece,&CHALLENGE/ELDER1_FOURPIECE,&CHALLENGE/ELDER1_FOURPIECE_DESC,1,,5000,
607,iw9_ch_bonus_star,&CHALLENGE/BONUS_STAR,&CHALLENGE/BONUS_STAR_DESC,50,,650,
7470,iw9_ch_bonus_star_recon,&CHALLENGE/BONUS_STAR_RECON,&CHALLENGE/BONUS_STAR_DESC_RECON,50,,650,
322,iw9_ch_bonus_star_1,&CHALLENGE/BONUS_STAR_1,&CHALLENGE/BONUS_STAR_1_DESC,50,,650,
7467,iw9_ch_bonus_star_recon_1,&CHALLENGE/BONUS_STAR_RECON_1,&CHALLENGE/BONUS_STAR_RECON_1_DESC,50,,650,
