string,string,localized,localized,string,string,string
8821,iw9_ch_op_unlock_chili,&CHALLENGE/NAME_NONE,&CHALLENGE/IW9_CH_OP_UNLOCK_CHILI_DESC,,5513,
8822,iw9_ch_op_unlock_nova,&CHALLENGE/NAME_NONE,&CHALLENGE/IW9_CH_OP_UNLOCK_NOVA_DESC,,5546,
8823,iw9_ch_op_unlock_reyes,&CHALLENGE/NAME_NONE,&CHALLENGE/IW9_CH_OP_UNLOCK_REYES_DESC,,11387,
8824,iw9_ch_op_unlock_hutch,&CHALLENGE/NAME_NONE,&CHALLENGE/IW9_CH_OP_UNLOCK_HUTCH_DESC,,5514,
8752,iw9_ch_op_unlock_kleo,&CHALLENGE/IW9_CH_OP_UNLOCK_KLEO,&CHALLENGE/IW9_CH_OP_UNLOCK_KLEO_DESC,1,5527,
8753,iw9_ch_op_unlock_zimo,&CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO,&CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO_DESC,1,5509,
8754,iw9_ch_op_unlock_konig,&CHALLENGE/IW9_CH_OP_UNLOCK_KONIG,&CHALLENGE/IW9_CH_OP_UNLOCK_KONIG_DESC,1,5543,
8755,iw9_ch_op_unlock_roze,&CHALLENGE/IW9_CH_OP_UNLOCK_ROZE,&CHALLENGE/IW9_CH_OP_UNLOCK_ROZE_DESC,1,11392,
8756,iw9_ch_op_unlock_fender,&CHALLENGE/IW9_CH_OP_UNLOCK_FENDER,&CHALLENGE/IW9_CH_OP_UNLOCK_FENDER_DESC,1,5517,
8757,iw9_ch_op_unlock_gus,&CHALLENGE/IW9_CH_OP_UNLOCK_GUS,&CHALLENGE/IW9_CH_OP_UNLOCK_GUS_DESC,1,5532,
8758,iw9_ch_op_unlock_horangi,&CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI,&CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI_DESC,1,5511,
8759,iw9_ch_op_unlock_stiletto,&CHALLENGE/IW9_CH_OP_UNLOCK_STILETTO,&CHALLENGE/IW9_CH_OP_UNLOCK_STILETTO_DESC,1,5523,
8760,iw9_ch_op_unlock_aksel,&CHALLENGE/IW9_CH_OP_UNLOCK_AKSEL,&CHALLENGE/IW9_CH_OP_UNLOCK_AKSEL_DESC,1,11389,
8761,iw9_ch_op_unlock_conor,&CHALLENGE/IW9_CH_OP_UNLOCK_CONOR,&CHALLENGE/IW9_CH_OP_UNLOCK_CONOR_DESC,1,11388,
8762,iw9_ch_op_unlock_calisto,&CHALLENGE/IW9_CH_OP_UNLOCK_CALISTO,&CHALLENGE/IW9_CH_OP_UNLOCK_CALISTO_DESC,1,5545,
