string,string,string,localized,string,string,string,string,string,string,string,string,string,string,string,localized,string,string,string,string,string,string,string,string,string,string,int
0,fender_western_a,fender_western,&OPERATORS/FENDER_WESTERN,body_mp_fender_iw9_1_1,head_mp_fender_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_fender_iw9_1_1,head_mp_fender_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.3,1,,vestlight,milmedgr,,,0
1,kilgore_eastern_a,kilgore_eastern,&OPERATORS/KILGORE_EASTERN,body_mp_kilgore_iw9_1_1,head_mp_kilgore_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_kilgore_iw9_1_1,head_mp_kilgore_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.6,1,,vestlight,milmedgr,,,0
2,calisto_eastern_a,calisto_eastern,&OPERATORS/CALISTO_EASTERN,body_mp_calisto_iw9_1_1,head_mp_calisto_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_calisto_iw9_1_1,head_mp_calisto_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.27,1,,wetsuit,scubagr,,,0
3,chili_western_a,chili_western,&OPERATORS/CHILI_WESTERN,body_mp_chili_iw9_1_1,head_mp_chili_iw9_1_1_lod1,ui_loot_operator_west_chili_1_1,1,,0,body_mp_chili_iw9_1_1,head_mp_chili_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_chili_1_1,-0.6,1,,vestheavy,milhvygr,,,0
4,hutch_western_a,hutch_western,&OPERATORS/HUTCH_WESTERN,body_mp_hutch_iw9_1_1,head_mp_hutch_iw9_1_1_lod1,ui_loot_operator_west_hutch_1_1,1,,0,body_mp_hutch_iw9_1_1,head_mp_hutch_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_hutch_1_1,-0.3,1,,cloth,milmedgr,,,0
5,kpop_eastern_a,kpop_eastern,&OPERATORS/HORANGI_EASTERN_1_1,body_mp_horangi_iw9_2_1,head_mp_horangi_iw9_2_1_lod1,ui_loot_operator_east_horangi_2_1,1,,0,body_mp_horangi_iw9_2_1,head_mp_horangi_iw9_2_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.3,1,,vestlight,millghtgr,,,0
6,gus_western_a,gus_western,&OPERATORS/GUS_WESTERN,body_mp_gus_iw9_1_1,head_mp_gus_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_gus_iw9_1_1,head_mp_gus_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.4,1,,vestheavy,milmedgr,,,0
7,zimo_western_a,zimo_western,&OPERATORS/ZIMO_WESTERN,body_mp_zimo_iw9_1_1,head_mp_zimo_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_zimo_iw9_1_1,head_mp_zimo_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.6,1,,vestlight,milmedgr,,,0
8,kleo_western_a,kleo_western,&OPERATORS/KLEO_WESTERN,body_mp_kleo_iw9_1_1,head_mp_kleo_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_kleo_iw9_1_1,head_mp_kleo_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.3,1,,vestheavy,millghtgr,,,0
9,nova_eastern_a,nova_eastern,&OPERATORS/NOVA_EASTERN,body_mp_nova_iw9_1_1,head_mp_nova_iw9_1_1_lod1,ui_loot_operator_east_nova_1_1,1,,0,body_mp_nova_iw9_1_1,head_mp_nova_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_east_nova_1_1,-0.15,1,,cloth,millghtgr,,,0
10,price_western_a,price_western,&OPERATORS/PRICE_WESTERN,body_mp_price_iw9_1_1,head_mp_price_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_price_iw9_1_1,head_mp_price_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.4,1,,vestlight,millghtgr,,,0
11,farah_western_a,farah_western,&OPERATORS/FARAH_WESTERN,body_mp_farah_iw9_1_1,head_mp_farah_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_farah_iw9_1_1,head_mp_farah_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.3,1,,vestlight,millghtgr,,,0
