string,string,localized,localized,string,string,string,localized,string,string,string,string,string,string,string,string,string
1777,iw9_ch_pmc_tag_extract,&CHALLENGE/PMC_TAG_EXTRACT_NAME,&CHALLENGE/PMC_TAG_EXTRACT_DESC,3,,10000,&CHALLENGE/PMC_TAG_EXTRACT_DETAIL_DESC,american,500,,5,,,16,,
2797,iw9_ch_pmc_cash_extract,&CHALLENGE/PMC_CASH_EXTRACT_NAME,&CHALLENGE/PMC_CASH_EXTRACT_DESC,1,9099,10000,&CHALLENGE/PMC_CASH_EXTRACT_DETAIL_DESC,british,500,65000,,,,7,,
1747,iw9_ch_pmc_ai_weapon_extract,&CHALLENGE/PMC_AI_WEAPON_EXTRACT_NAME,&CHALLENGE/PMC_AI_WEAPON_EXTRACT_DESC,3,11809,10000,&CHALLENGE/PMC_AI_WEAPON_EXTRACT_DETAIL_DESC,german,650,,0,,,,1047|1095|1053|1036|1044,iw9_loot_id
1813,iw9_ch_pmc_poi_travel,&CHALLENGE/PMC_POI_TRAVEL_NAME,&CHALLENGE/PMC_POI_TRAVEL_DESC,1,9087,10000,&CHALLENGE/PMC_POI_TRAVEL_DETAIL_DESC,british,400,6,,,,,,
957,iw9_ch_pmc_gas_drain,&CHALLENGE/PMC_GAS_DRAIN_NAME,&CHALLENGE/PMC_GAS_DRAIN_DESC,3,9099,10000,&CHALLENGE/PMC_GAS_DRAIN_DETAIL_DESC,,400,,,,,,,
3060,iw9_ch_pmc_vehicle_destruction,&CHALLENGE/PMC_VEHICLE_DESTRUCTION_NAME,&CHALLENGE/PMC_VEHICLE_DESTRUCTION_DESC,6,9224,10000,&CHALLENGE/PMC_VEHICLE_DESTRUCTION_DETAIL_DESC,german,350,,2,,,,,
1833,iw9_ch_pmc_kill_tier3,&CHALLENGE/PMC_KILL_TIER3_NAME,&CHALLENGE/PMC_KILL_TIER3_DESC,10,9092,10000,&CHALLENGE/PMC_KILL_TIER3_DETAIL_DESC,german,500,,1,,,,,
1039,iw9_ch_pmc_hydro_shotgun_ai,&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_NAME,&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_DESC,12,,0,&,,,,3,,,,,
1066,iw9_ch_pmc_oilfield_sniper_ai,&CHALLENGE/PMC_OILFIELD_SNIPER_AI_NAME,&CHALLENGE/PMC_OILFIELD_SNIPER_AI_DESC,14,,0,&,,,,,,,,,
2788,iw9_ch_pmc_operator_kill,&CHALLENGE/PMC_OPERATOR_KILL_NAME,&CHALLENGE/PMC_OPERATOR_KILL_DESC,4,11997,10000,&CHALLENGE/PMC_OPERATOR_KILL_DETAIL_DESC,,550,,,,,,,
617,iw9_ch_pmc_task_elimination,&CHALLENGE/PMC_TASK_ELIMINATION_NAME,&CHALLENGE/PMC_TASK_ELIMINATION_DESC,3,9270,10000,&CHALLENGE/PMC_TASK_ELIMINATION_DETAIL_DESC,german,500,,6,,,,,
2769,iw9_ch_pmc_uav_tower,&CHALLENGE/PMC_UAV_TOWER_NAME,&CHALLENGE/PMC_UAV_TOWER_DESC,3,9145,10000,&CHALLENGE/PMC_UAV_TOWER_DETAIL_DESC,american,400,,6,,,,,
682,iw9_ch_pmc_extract_weapon_case,&CHALLENGE/PMC_EXTRACT_WEAPON_CASE_NAME,&CHALLENGE/PMC_EXTRACT_WEAPON_CASE_DESC,1,9153,10000,&CHALLENGE/PMC_EXTRACT_WEAPON_CASE_DETAIL_DESC,german,800,,4,,,17,,
370,iw9_ch_pmc_operator_kill_smg,&CHALLENGE/PMC_OPERATOR_KILL_SMG_NAME,&CHALLENGE/PMC_OPERATOR_KILL_SMG_DESC,3,12005,10000,&CHALLENGE/PMC_OPERATOR_KILL_SMG_DETAIL_DESC,american,550,,0,,,,,
1023,iw9_ch_pmc_operator_kill_ar,&CHALLENGE/PMC_OPERATOR_KILL_AR_NAME,&CHALLENGE/PMC_OPERATOR_KILL_AR_DESC,4,,10000,&CHALLENGE/PMC_OPERATOR_KILL_AR_DETAIL_DESC,german,600,,2,,,,,
333,iw9_ch_pmc_operator_kill_exhume,&CHALLENGE/PMC_OPERATOR_KILL_EXHUME_NAME,&CHALLENGE/PMC_OPERATOR_KILL_EXHUME_DESC,3,9111,10000,&CHALLENGE/PMC_OPERATOR_KILL_EXHUME_DETAIL_DESC,british,550,,4,,,,,
2854,iw9_ch_pmc_task_hunt,&CHALLENGE/PMC_TASK_HUNT_NAME,&CHALLENGE/PMC_TASK_HUNT_DESC,2,9092,10000,&CHALLENGE/PMC_TASK_HUNT_DETAIL_DESC,british,500,,1,,,,,
1092,iw9_ch_pmc_sam_site,&CHALLENGE/PMC_CAPTURE_SAM_SITE_NAME,&CHALLENGE/PMC_CAPTURE_SAM_SITE_DESC,2,11351,10000,&CHALLENGE/PMC_CAPTURE_SAM_SITE_DETAIL_DESC,american,400,,3,,,,,
865,iw9_ch_pmc_squad_wipe,&CHALLENGE/PMC_SQUAD_WIPE_NAME,&CHALLENGE/PMC_SQUAD_WIPE_DESC,2,9270,10000,&CHALLENGE/PMC_SQUAD_WIPE_DETAIL_DESC,,650,,,,,,,
469,iw9_ch_pmc_pistol_headshot_ai,&CHALLENGE/PMC_PISTOL_HEADSHOT_NAME,&CHALLENGE/PMC_PISTOL_HEADSHOT_DESC,10,11882,10000,&CHALLENGE/PMC_PISTOL_HEADSHOT_DETAIL_DESC,,550,,,,,,,
2760,iw9_ch_pmc_kill_riot_shield,&CHALLENGE/PMC_KILL_RIOT_SHIELD_NAME,&CHALLENGE/PMC_KILL_RIOT_SHIELD_DESC,5,11315,10000,&CHALLENGE/PMC_KILL_RIOT_SHIELD_DETAIL_DESC,american,600,,7,,,,,
1878,iw9_ch_pmc_long_range_kill,&CHALLENGE/PMC_LONG_RANGE_KILL_NAME,&CHALLENGE/PMC_LONG_RANGE_KILL_DESC,8,11815,10000,&CHALLENGE/PMC_LONG_RANGE_KILL_DETAIL_DESC,american,550,,5,,,,,
1126,iw9_ch_pmc_grenade_extract,&CHALLENGE/PMC_GRENADE_EXTRACT_NAME,&CHALLENGE/PMC_GRENADE_EXTRACT_DESC,1,9238,10000,&CHALLENGE/PMC_GRENADE_EXTRACT_DETAIL_DESC,,400,6,,,,,,
2592,iw9_ch_pmc_charlie725_extract,&CHALLENGE/PMC_CHARLIE725_EXTRACT_NAME,&CHALLENGE/PMC_CHARLIE725_EXTRACT_DESC,1,9109,10000,&CHALLENGE/PMC_CHARLIE725_EXTRACT_DETAIL_DESC,american,450,,,,11884,,,
598,iw9_ch_pmc_unique_vehicle_pilot,&CHALLENGE/PMC_UNIQUE_VEHICLE_PILOT_NAME,&CHALLENGE/PMC_UNIQUE_VEHICLE_PILOT_DESC,1,9153,10000,&CHALLENGE/PMC_UNIQUE_VEHICLE_PILOT_DETAIL_DESC,,500,4,,,,,,
3873,iw9_ch_pmc_full_backpack_extract,&CHALLENGE/PMC_FULL_BACKPACK_EXTRACT_NAME,&CHALLENGE/PMC_FULL_BACKPACK_EXTRACT_DESC,1,9119,10000,&CHALLENGE/PMC_FULL_BACKPACK_EXTRACT_DETAIL_DESC,british,450,,,,,,,
1712,iw9_ch_pmc_liquor_extract,&CHALLENGE/PMC_LIQUOR_EXTRACT_NAME,&CHALLENGE/PMC_LIQUOR_EXTRACT_DESC,3,9170,10000,&CHALLENGE/PMC_LIQUOR_EXTRACT_DETAIL_DESC,british,500,,,,8551,,,
1947,iw9_ch_pmc_hydro_shotgun_ai_compound,&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_NAME,&,2,,10000,&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_DETAIL_DESC,german,450,,,3849|1039,,,,
3849,iw9_ch_pmc_hydro_travel,&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_NAME,&CHALLENGE/PMC_HYDRO_TRAVEL_DESC,1,,0,&,,,,,,,,,
127,iw9_ch_pmc_oilfield_sniper_ai_compound,&CHALLENGE/PMC_OILFIELD_SNIPER_AI_NAME,&,2,11845,10000,&CHALLENGE/PMC_OILFIELD_SNIPER_AI_DETAIL_DESC,british,480,,,835|1066,,,,
835,iw9_ch_pmc_oilfield_travel,&CHALLENGE/PMC_OILFIELD_SNIPER_AI_NAME,&CHALLENGE/PMC_OILFIELD_TRAVEL_DESC,1,,0,&,,,,,,,,,
