string,string,string,xhash32,xhash32,xhash32
NET_CONNECTION,None,-1,x32#hash_c7c4834d,x32#hash_c7c49dd7,x32#hash_14c
NET_CONNECTION,NotConnected,0,x32#hash_c7c4834d,x32#hash_c7c49d89,x32#hash_c7c4b619
SIGNED_IN_TO_LIVE,None,-1,x32#hash_c7c48242,x32#hash_c7c49baa,x32#hash_c7c4b46f
SIGNED_IN_TO_LIVE,SigningIn,0,x32#hash_c7c48242,x32#hash_14c,x32#hash_14c
SIGNED_IN_TO_LIVE,TimedOut,1,x32#hash_c7c48242,x32#hash_14c,x32#hash_c7c4b35c
SIGNED_IN_TO_LIVE,NotSignedInToPSN,2,x32#hash_c7c48242,x32#hash_c7c498a0,x32#hash_14c
SIGNED_IN_TO_LIVE,NotSignedIn,3,x32#hash_c7c48242,x32#hash_14c,x32#hash_14c
SIGNED_IN_TO_LIVE,TimedOutMSStore,4,x32#hash_c7c48242,x32#hash_14c,x32#hash_c7c4b5c0
DW_SERVICES_ACCESS,None,-1,x32#hash_c7c4825c,x32#hash_14c,x32#hash_c7c4b652
DEMONWARE,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b7b0
DEMONWARE,LoginAttemptsExpired,0,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,LoginAttemptTakingTooLong,1,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,LoginQueueClosed,2,x32#hash_14c,x32#hash_c7c49d59,x32#hash_14c
DEMONWARE,NotSignedIntoPlatform,3,x32#hash_14c,x32#hash_c7c49b92,x32#hash_c7c4b4be
DEMONWARE,NotSignedIntoDemonware,4,x32#hash_14c,x32#hash_c7c49c1c,x32#hash_c7c4b4be
DEMONWARE,Queued,5,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,SignedIntoDemonware,6,x32#hash_14c,x32#hash_14c,x32#hash_c7c4bb73
DEMONWARE,FailedInvalidUsername,7,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,NotWhitelisted,8,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,LoginFailureFirstPartyError,9,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,LoginFailureAuthError,10,x32#hash_14c,x32#hash_c7c49b73,x32#hash_14c
DEMONWARE,LoginFailureUmbrellaError,11,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,LoginFailureUnoError,12,x32#hash_14c,x32#hash_14c,x32#hash_14c
DEMONWARE,LoginFailureUnknownError,13,x32#hash_14c,x32#hash_c7c49c85,x32#hash_14c
DEMONWARE,LoginFailureServiceError,14,x32#hash_14c,x32#hash_14c,x32#hash_14c
NETWORKING,None,-1,x32#hash_c7c48332,x32#hash_c7c49816,x32#hash_14c
NETWORKING,StartFailed,0,x32#hash_c7c48332,x32#hash_14c,x32#hash_c7c4bb07
NETWORKING,Offline,1,x32#hash_c7c48332,x32#hash_c7c494d5,x32#hash_14c
NETWORKING,NotWhitelisted,2,x32#hash_c7c48332,x32#hash_c7c49d27,x32#hash_14c
PUBLISHER_VARS,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b953
PUBLISHER_VARS,TimedOut,0,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b533
DCQOS,None,-1,x32#hash_c7c482ab,x32#hash_14c,x32#hash_14c
DCQOS,TimedOut,0,x32#hash_c7c482ab,x32#hash_14c,x32#hash_14c
RELAY,None,-1,x32#hash_14c,x32#hash_c7c49398,x32#hash_14c
ONLINE_PERMISSIONS,None,-1,x32#hash_c7c484ae,x32#hash_14c,x32#hash_14c
ONLINE_PERMISSIONS,MPNotAllowed,0,x32#hash_c7c484ae,x32#hash_c7c49d40,x32#hash_c7c4b877
ONLINE_PERMISSIONS,TURequired,1,x32#hash_c7c484ae,x32#hash_c7c4941c,x32#hash_c7c4baaa
ONLINE_PERMISSIONS,OnlineServicesError,2,x32#hash_c7c484ae,x32#hash_c7c49a14,x32#hash_14c
ONLINE_PERMISSIONS,FetchingNPData,3,x32#hash_c7c484ae,x32#hash_14c,x32#hash_c7c4b279
ONLINE_PERMISSIONS,BattlenetServicesFailed,4,x32#hash_c7c484ae,x32#hash_c7c49453,x32#hash_c7c4b55e
ONLINE_PERMISSIONS,TimedOut,5,x32#hash_c7c484ae,x32#hash_c7c49906,x32#hash_c7c4b8c9
ONLINE,None,-1,x32#hash_c7c483d2,x32#hash_14c,x32#hash_14c
DW_TIME,None,-1,x32#hash_14c,x32#hash_c7c49402,x32#hash_c7c4bad0
DW_TIME,TimedOut,0,x32#hash_14c,x32#hash_14c,x32#hash_14c
ACHIEVEMENTENGINE,None,-1,x32#hash_14c,x32#hash_c7c49830,x32#hash_14c
ACHIEVEMENTENGINE,TimedOut,0,x32#hash_14c,x32#hash_c7c49d71,x32#hash_c7c4b317
PLAYLISTS,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_c7c4bbf7
PLAYLISTS,FetchComplete,0,x32#hash_14c,x32#hash_c7c493e6,x32#hash_c7c4b4a4
PLAYLISTS,FetchTrying,1,x32#hash_14c,x32#hash_14c,x32#hash_14c
PLAYLISTS,FetchDownloading,2,x32#hash_14c,x32#hash_c7c4984d,x32#hash_14c
PLAYLISTS,FetchUnpacking,3,x32#hash_14c,x32#hash_14c,x32#hash_14c
PLAYLISTS,FailedUnpackZeroObjectSize,4,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b58c
PLAYLISTS,FailedUnpackZeroAggrSize,5,x32#hash_14c,x32#hash_c7c49e0f,x32#hash_c7c4b58c
PLAYLISTS,FailedNewPlaylistHasChanged,6,x32#hash_14c,x32#hash_c7c49634,x32#hash_14c
PLAYLISTS,FailedDownload,7,x32#hash_14c,x32#hash_c7c49a80,x32#hash_c7c4b58c
PLAYLISTS,FailedFileHasErrors,8,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b58c
PLAYLISTS,FailedEnqueueStorageTask,9,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b58c
PLAYLISTS,FailedRetriesExhausted,10,x32#hash_14c,x32#hash_c7c49778,x32#hash_c7c4b58c
PATCH,None,-1,x32#hash_c7c48492,x32#hash_c7c49974,x32#hash_14c
PATCH,PatchNoManifest,0,x32#hash_c7c48492,x32#hash_c7c495c7,x32#hash_c7c4b3bd
PATCH,PatchInProgress,1,x32#hash_c7c48492,x32#hash_14c,x32#hash_c7c4b3bd
PATCH,PatchComplete,2,x32#hash_c7c48492,x32#hash_c7c49aea,x32#hash_c7c4b3bd
PATCH,PatchCompleteRestart,3,x32#hash_c7c48492,x32#hash_14c,x32#hash_c7c4b3bd
PATCH,PatchFailed,4,x32#hash_c7c48492,x32#hash_c7c49924,x32#hash_c7c4b3bd
PATCH,PatchUpdateNeeded,5,x32#hash_c7c48492,x32#hash_14c,x32#hash_c7c4b3bd
PATCH,FFOTDNoManifest,6,x32#hash_c7c48492,x32#hash_c7c49e7b,x32#hash_c7c4b3bd
PATCH,FFOTDInProgress,7,x32#hash_c7c48492,x32#hash_14c,x32#hash_c7c4b3bd
PATCH,FFOTDComplete,8,x32#hash_c7c48492,x32#hash_c7c4972b,x32#hash_c7c4b3bd
PATCH,FFOTDCompleteRestart,9,x32#hash_c7c48492,x32#hash_c7c494f1,x32#hash_c7c4b3bd
PATCH,FFOTDFailed,10,x32#hash_c7c48492,x32#hash_14c,x32#hash_c7c4b3bd
PATCH,FFOTDUpdateNeeded,11,x32#hash_c7c48492,x32#hash_c7c493cb,x32#hash_c7c4b3bd
PATCH,CommsNoManifest,12,x32#hash_c7c48492,x32#hash_14c,x32#hash_14c
PATCH,CommsInProgress,13,x32#hash_c7c48492,x32#hash_14c,x32#hash_14c
PATCH,CommsComplete,14,x32#hash_c7c48492,x32#hash_c7c4986a,x32#hash_14c
PATCH,CommsCompleteRestart,15,x32#hash_c7c48492,x32#hash_c7c498b9,x32#hash_14c
PATCH,CommsFailed,16,x32#hash_c7c48492,x32#hash_c7c49543,x32#hash_14c
PATCH,CommsUpdateNeeded,17,x32#hash_c7c48492,x32#hash_14c,x32#hash_14c
ONLINE_DAILY_LOGIN,None,-1,x32#hash_c7c482e0,x32#hash_14c,x32#hash_c7c4b733
