int,string,localized,string,string,string,string,string,string,string,string,string,string,localized,localized,localized,localized,localized,string,string,string,string,string,string,string,string,string,string,string,localized,string,int,string
0,fender_western,&OPERATORS/FENDER_WESTERN,1,RUSF,3,,ui_operator_east_fender_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_fender_mp,mp_operator_wyatt,ui_operator_east_fender_portrait_lg,fender_western_a,wyatt_western_quip_3,execution_008,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
1,kilgore_eastern,&OPERATORS/RAMSTEIN_EASTERN,1,RUSF,4,,ui_operator_east_koenig_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_rammstein_mp,mp_operator_wyatt,ui_operator_east_koenig_portrait_lg,kilgore_eastern_a,wyatt_western_quip_3,execution_000,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
2,calisto_eastern,&OPERATORS/CALISTO_EASTERN,1,RUSF,5,,ui_operator_east_calisto_portrait,1,icon_faction_jsof_large,wyat,1,chr_menu_female_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_generic_east_mp,mp_operator_wyatt,ui_operator_east_calisto_portrait_lg,calisto_eastern_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
3,chili_western,&OPERATORS/CHILI_WESTERN,0,SAS,6,,ui_operator_west_chili_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_generic_west_mp,mp_operator_wyatt,ui_operator_west_chili_portrait_lg,chili_western_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
4,hutch_western,&OPERATORS/HUTCH_WESTERN,1,RUSF,8,,ui_operator_east_hutch_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_hutch_mp,mp_operator_wyatt,ui_operator_east_hutch_portrait_lg,hutch_western_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
5,kpop_eastern,&OPERATORS/HORANGI_EASTERN_1_1,1,RUSF,9,,ui_operator_east_horangi_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_horangi_mp,mp_operator_wyatt,ui_operator_east_horangi_portrait_lg,kpop_eastern_a,wyatt_western_quip_3,execution_022,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
6,ronin_western,&OPERATORS/RONIN_WESTERN,0,SAS,-1,,ui_operator_west_ronin_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_generic_west_mp,mp_operator_wyatt,ui_loot_operator_west_wyatt_2_1,ronin_western_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
7,gus_western,&OPERATORS/GUS_WESTERN,0,SAS,11,,ui_operator_west_gus_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_gus_mp,mp_operator_wyatt,ui_operator_west_gus_portrait_lg,gus_western_a,wyatt_western_quip_3,execution_006,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
8,zimo_western,&OPERATORS/ZIMO_WESTERN,0,SAS,12,,ui_operator_west_zimo_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_zimo_mp,mp_operator_wyatt,ui_operator_west_zimo_portrait_lg,zimo_western_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
9,kleo_western,&OPERATORS/KLEO_WESTERN,0,SAS,13,,ui_operator_west_kleo_portrait,1,icon_faction_jsof_large,wyat,1,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_kleo_mp,mp_operator_wyatt,ui_operator_west_kleo_portrait_lg,kleo_western_a,wyatt_western_quip_3,execution_009,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
