string,string,string,string,string,string,string,string,string,string,string,string,string
3920,iw9_ch_br_daily_ammo_dealer_short,CHALLENGE/BR_DAILY_AMMO_DEALER,CHALLENGE/BR_DAILY_AMMO_DEALER_DESC,3,2000,,1,,,,,15
951,iw9_ch_br_daily_the_biggest_booms_short,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS_DESC,2,2000,,1,,,,,6
171,iw9_ch_br_daily_arms_dealer_short,CHALLENGE/BR_DAILY_ARMS_DEALER,CHALLENGE/BR_DAILY_ARMS_DEALER_DESC,1,2000,,1,,,,,33
4077,iw9_ch_br_daily_easy_money_short,CHALLENGE/BR_DAILY_EASY_MONEY,CHALLENGE/BR_DAILY_EASY_MONEY_DESC,15,2000,,1,,,,,18
1086,iw9_ch_br_daily_collector_short,CHALLENGE/BR_DAILY_COLLECTOR,CHALLENGE/BR_DAILY_COLLECTOR_DESC,2,2000,,1,,,,,19
77,iw9_ch_br_daily_discriminating_tastes_short,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES_DESC,1,2000,,1,,,,,43
740,iw9_ch_br_daily_headhunter_short,CHALLENGE/BR_DAILY_HEADHUNTER,CHALLENGE/BR_DAILY_HEADHUNTER_DESC,2,2000,,1,,,,,44
1754,iw9_ch_br_daily_conquerer_short,CHALLENGE/BR_DAILY_CONQUERER,CHALLENGE/BR_DAILY_CONQUERER_DESC,1,2000,,1,,,,,2
2821,iw9_ch_br_daily_explorer_short,CHALLENGE/BR_DAILY_EXPLORER,CHALLENGE/BR_DAILY_EXPLORER_DESC,1,2000,,1,,,,,42
3843,iw9_ch_br_daily_guardian_short,CHALLENGE/BR_DAILY_GUARDIAN,CHALLENGE/BR_DAILY_GUARDIAN_DESC,1,2000,,1,,,,,9
591,iw9_ch_br_daily_unkillable_short,CHALLENGE/BR_DAILY_UNKILLABLE,CHALLENGE/BR_DAILY_UNKILLABLE_DESC,1,2000,,1,,,,,
3841,iw9_ch_br_daily_bargain_hunter_short,CHALLENGE/BR_DAILY_BARGAIN_HUNTER,CHALLENGE/BR_DAILY_BARGAIN_HUNTER_DESC,1,2000,,1,,,,,30
245,iw9_ch_br_daily_treasure_hunter_short,CHALLENGE/BR_DAILY_TREASURE_HUNTER,CHALLENGE/BR_DAILY_TREASURE_HUNTER_DESC,10,2000,,1,,,,,27
720,iw9_ch_br_daily_test_drive_short,CHALLENGE/BR_DAILY_TEST_DRIVE,CHALLENGE/BR_DAILY_TEST_DRIVE_DESC,2,2000,,1,,,,min,16
