string,string,string,string,string,string,string,string,string,string,string,string,string
1929,iw9_ch_daily_bads_stealth_cp,CHALLENGE/DAILY_BADS_STEALTH,CHALLENGE/DAILY_BADS_STEALTH_DESC,1,10000,,4,,,,,1
2690,iw9_ch_daily_observatory_jugg,CHALLENGE/DAILY_OBSERVATORY_JUGG,CHALLENGE/DAILY_DAILY_OBSERVATORY_JUGG_DESC,1,2500,,4,,,,,2
2725,iw9_ch_daily_delta_soldiers,CHALLENGE/DAILY_DELTA_SOLDIERS,CHALLENGE/DAILY_DAILY_DELTA_SOLDIERS_DESC,1,1000,,3,,,,,1
837,iw9_ch_daily_starting_veh_escape,CHALLENGE/DAILY_STARTING_VEH_ESCAPE,CHALLENGE/DAILY_DAILY_STARTING_VEH_ESCAPE_DESC,1,10000,,4,,,,,3
970,iw9_ch_daily_observatory_no_buy,CHALLENGE/DAILY_OBSERVATORY_NO_BUY,CHALLENGE/DAILY_DAILY_OBSERVATORY_NO_BUY_DESC,1,10000,,4,,,,,4
966,iw9_ch_daily_observatory_use_skip_timer,CHALLENGE/DAILY_OBSERVATORY_USE_SKIP_TIMER,CHALLENGE/DAILY_OBSERVATORY_USE_SKIP_TIMER_DESC,1,1000,,3,,,,,2
3041,iw9_ch_daily_vehesc_sam_site_no_plant,CHALLENGE/DAILY_VEHESC_SAM_SITE_NO_PLANT,CHALLENGE/DAILY_VEHESC_SAM_SITE_NO_PLANT_DESC,1,1500,,2,,,,,1
3030,iw9_ch_daily_hydro_kill_jugg_quickly,CHALLENGE/DAILY_HYDRO_KILL_JUGG_QUICKLY,CHALLENGE/DAILY_HYDRO_KILL_JUGG_QUICKLY_DESC,1,5000,,4,,,,,5
1724,iw9_ch_daily_hydro_water_kill,CHALLENGE/DAILY_HYDRO_WATER_KILL,CHALLENGE/DAILY_HYDRO_WATER_KILL_DESC,1,1000,,3,,,,,3
2875,iw9_ch_daily_hydro_no_nvg_kill,CHALLENGE/DAILY_NO_NVG_KILL,CHALLENGE/DAILY_NO_NVG_KILL_DESC,5,1000,,3,,,,,4
2961,iw9_ch_daily_vehicle_kill_cp,CHALLENGE/DAILY_VEHICLE_KILL,CHALLENGE/DAILY_VEHICLE_KILL_DESC,5,1500,,2,,,,,2
412,iw9_ch_daily_heli_escort_chopper_kill,CHALLENGE/DAILY_HELI_ESCORT_CHOPPER_KILL,CHALLENGE/DAILY_HELI_ESCORT_CHOPPER_KILL_DESC,50,2000,,2,,,,,3
1031,iw9_ch_daily_run_over_enemy_kill_cp,CHALLENGE/DAILY_RUN_OVER_ENEMY_KILL,CHALLENGE/DAILY_RUN_OVER_ENEMY_KILL_DESC,10,2000,,2,,,,,4
54,iw9_ch_daily_defender_spend_money,CHALLENGE/DAILY_DEFENDER_SPEND_MONEY,CHALLENGE/DAILY_DEFENDER_SPEND_MONEY_DESC,2000,2000,,2,,,,,5
3118,iw9_ch_daily_destroy_vehicle_escape_vehicles,CHALLENGE/DAILY_DESTROY_VEHICLE_ESCAPE_VEHICLES,CHALLENGE/DAILY_DESTROY_VEHICLE_ESCAPE_VEHICLES_DESC,3,2000,,2,,,,,6
2718,iw9_ch_daily_complete_heli_escort_one_chopper,CHALLENGE/DAILY_COMPLETE_HELI_ESCORT_ONE_CHOPPER,CHALLENGE/DAILY_COMPLETE_HELI_ESCORT_ONE_CHOPPER_DESC,1,10000,,4,,,,,6
2614,iw9_ch_daily_complete_mission_no_down_cp,CHALLENGE/DAILY_COMPLETE_MISSION_NO_DOWN_CP,CHALLENGE/DAILY_COMPLETE_MISSION_NO_DOWN_CP_DESC,1,10000,,4,,,,,7
188,iw9_ch_daily_complete_mission_cp,CHALLENGE/DAILY_COMPLETE_MISSION_CP,CHALLENGE/DAILY_COMPLETE_MISSION_CP_DESC,1,2000,,3,,,,,5
116,iw9_ch_daily_complete_mission_three_stars_cp,CHALLENGE/DAILY_COMPLETE_MISSION_THREE_STARS_CP,CHALLENGE/DAILY_COMPLETE_MISSION_THREE_STARS_CP_DESC,1,6000,,4,,,,,8
4120,iw9_ch_daily_complete_mission_no_revive_heli_escort,CHALLENGE/DAILY_COMPLETE_MISSION_NO_REVIVE_HELI_ESCORT,CHALLENGE/DAILY_COMPLETE_MISSION_NO_REVIVE_HELI_ESCORT_DESC,1,8000,,4,,,,,9
1882,iw9_ch_mission_stars_daily,CHALLENGE/MISSION_STARS_DAILY,CHALLENGE/MISSION_STARS_DAILY_DESC,,0,,,,,,,
441,iw9_ch_role_assault_stars_daily,CHALLENGE/ROLE_ASSAULT_STARS_DAILY,CHALLENGE/ROLE_ASSAULT_STARS_DAILY_DESC,,0,,,,,,,
2979,iw9_ch_role_medic_stars_daily,CHALLENGE/ROLE_MEDIC_STARS_DAILY,CHALLENGE/ROLE_MEDIC_STARS_DAILY_DESC,,0,,,,,,,
7479,iw9_ch_role_recon_stars_daily,CHALLENGE/ROLE_RECON_STARS_DAILY,CHALLENGE/ROLE_RECON_STARS_DAILY_DESC,,0,,,,,,,
80000,iw9_ch_daily_purchase_armor_bundle,CHALLENGE/DAILY_PURCHASE_ARMOR_BUNDLE,CHALLENGE/DAILY_PURCHASE_ARMOR_BUNDLE_DESC,1,1000,,2,,,,,7
80001,iw9_ch_daily_use_loadout_crate_cp,CHALLENGE/DAILY_USE_LOADOUT_CRATE_CP,CHALLENGE/DAILY_USE_LOADOUT_CRATE_CP_DESC,1,1000,,2,,,,,8
80002,iw9_ch_daily_snapshot_pulse_outline,CHALLENGE/DAILY_SNAPSHOT_PULSE_OUTLINE,CHALLENGE/DAILY_SNAPSHOT_PULSE_OUTLINE_DESC,5,5000,,3,,,,,6
80003,iw9_ch_daily_hack_equipment,CHALLENGE/DAILY_HACK_EQUIPMENT,CHALLENGE/DAILY_HACK_EQUIPMENT_DESC,3,2500,,3,,,,,7
80004,iw9_ch_daily_fill_plates,CHALLENGE/DAILY_FILL_PLATES,CHALLENGE/DAILY_FILL_PLATES_DESC,3,2500,,3,,,,,8
80005,iw9_ch_daily_destroy_chopper_with_cruise,CHALLENGE/DAILY_DESTROY_CHOPPER_WITH_CRUISE,CHALLENGE/DAILY_DESTROY_CHOPPER_WITH_CRUISE_DESC,1,7500,,4,,,,,10
80006,iw9_ch_daily_destroy_chopper_with_mgl,CHALLENGE/DAILY_DESTROY_CHOPPER_WITH_MGL,CHALLENGE/DAILY_DESTROY_CHOPPER_WITH_MGL_DESC,1,7500,,4,,,,,11
80007,iw9_ch_daily_complete_mission_no_down_defender,CHALLENGE/DAILY_COMPLETE_MISSION_NO_DOWN_DEFENDER,CHALLENGE/DAILY_COMPLETE_MISSION_NO_DOWN_DEFENDER_DESC,1,8000,,4,,,,,12
80008,iw9_ch_daily_complete_wave_6_defender_no_bomb,CHALLENGE/DAILY_COMPLETE_WAVE_6_DEFENDER_NO_BOMB,CHALLENGE/DAILY_COMPLETE_WAVE_6_DEFENDER_NO_BOMB_DESC,1,8000,,4,,,,,13
7767,iw9_ch_daily_kill_vehicle_explosion,CHALLENGE/DAILY_KILL_VEHICLE_EXPLOSION,CHALLENGE/DAILY_KILL_VEHICLE_EXPLOSION_DESC,1,1500,,1,,,,,1
7769,iw9_ch_daily_kill_with_assault_suit,CHALLENGE/DAILY_KILL_WITH_ASSAULT_SUIT,CHALLENGE/DAILY_KILL_WITH_ASSAULT_SUIT_DESC,10,3500,,3,,,,,9
7771,iw9_ch_daily_kill_with_sentry_gun,CHALLENGE/DAILY_KILL_WITH_SENTRY_GUN,CHALLENGE/DAILY_KILL_WITH_SENTRY_GUN_DESC,25,3500,,3,,,,,10
7773,iw9_ch_daily_kill_while_leaning_out_of_vehicle,CHALLENGE/DAILY_KILL_WHILE_LEANING_OUT_OF_VEHICLE,CHALLENGE/DAILY_KILL_WHILE_LEANING_OUT_OF_VEHICLE_DESC,3,2500,,1,,,,,2
7775,iw9_ch_daily_kill_jugg_with_drill_charge,CHALLENGE/DAILY_KILL_JUGG_WITH_DRILL_CHARGE,CHALLENGE/DAILY_KILL_JUGG_WITH_DRILL_CHARGE_DESC,1,8000,,4,,,,,14
7777,iw9_ch_daily_kill_while_wearing_full_armor,CHALLENGE/DAILY_KILL_WHILE_WEARING_FULL_ARMOR,CHALLENGE/DAILY_KILL_WHILE_WEARING_FULL_ARMOR_DESC,30,4500,,1,,,,,3
7779,iw9_ch_daily_melee_kills,CHALLENGE/DAILY_MELEE_KILLS,CHALLENGE/DAILY_MELEE_KILLS_DESC,5,1500,,1,,,,,4
7781,iw9_ch_daily_pistol_kills,CHALLENGE/DAILY_PISTOL_KILLS,CHALLENGE/DAILY_PISTOL_KILLS_DESC,15,1500,,1,,,,,5
7783,iw9_ch_daily_execution_kills,CHALLENGE/DAILY_EXECUTION_KILLS,CHALLENGE/DAILY_EXECUTION_KILLS_DESC,5,3500,,1,,,,,6
7785,iw9_ch_daily_throwing_knife_kills,CHALLENGE/DAILY_THROWING_KNIFE_KILLS,CHALLENGE/DAILY_THROWING_KNIFE_KILLS_DESC,20,3500,,2,,,,,9
7787,iw9_ch_daily_cluster_mine_kills,CHALLENGE/DAILY_CLUSTER_MINE_KILLS,CHALLENGE/DAILY_CLUSTER_MINE_KILLS_DESC,4,3500,,3,,,,,11
7789,iw9_ch_daily_stealth_bomber_kills,CHALLENGE/DAILY_STEALTH_BOMBER_KILLS,CHALLENGE/DAILY_STEALTH_BOMBER_KILLS_DESC,20,5000,,4,,,,,15
7791,iw9_ch_daily_delta_squad_assists,CHALLENGE/DAILY_DELTA_SQUAD_ASSISTS,CHALLENGE/DAILY_DELTA_SQUAD_ASSISTS_DESC,50,7500,,3,,,,,12
7793,iw9_ch_daily_bomb_drone_kills,CHALLENGE/DAILY_BOMB_DRONE_KILLS,CHALLENGE/DAILY_BOMB_DRONE_KILLS_DESC,3,3000,,3,,,,,13
7797,iw9_ch_daily_vehicle_surf_kills,CHALLENGE/DAILY_VEHICLE_SURF_KILLS,CHALLENGE/DAILY_VEHICLE_SURF_KILLS_DESC,5,3000,,1,,,,,7
7799,iw9_ch_daily_third_person_kills,CHALLENGE/DAILY_THIRD_PERSON_KILLS,CHALLENGE/DAILY_THIRD_PERSON_KILLS_DESC,30,2500,,1,,,,,8
7801,iw9_ch_daily_third_person_swimming_kills,CHALLENGE/DAILY_THIRD_PERSON_SWIMMING_KILLS,CHALLENGE/DAILY_THIRD_PERSON_SWIMMING_KILLS_DESC,5,2500,,3,,,,,14
7803,iw9_ch_daily_third_person_ledge_hang_kills,CHALLENGE/DAILY_THIRD_PERSON_LEDGE_HANG_KILLS,CHALLENGE/DAILY_THIRD_PERSON_LEDGE_HANG_KILLS_DESC,10,2500,,2,,,,,10
7805,iw9_ch_daily_third_person_throwing_knife_kills,CHALLENGE/DAILY_THIRD_PERSON_THROWING_KNIFE_KILLS,CHALLENGE/DAILY_THIRD_PERSON_THROWING_KNIFE_KILLS_DESC,5,3000,,2,,,,,11
