string,string,string,string,localized,string,string,string,string,string,int
ui_primary,1,button_primary,button_primary_ps4,&INPUT/KB_PRIMARY_BUTTON,1,1,1,0.5,,0
ui_secondary,2,button_secondary,button_secondary_ps4,&INPUT/KB_SECONDARY_BUTTON,1,1,1,0.5,,0
ui_alt1,3,button_alt1,button_alt1_ps4,&INPUT/KB_ALT1_BUTTON,1,1,1,0.5,,0
ui_alt2,4,button_alt2,button_alt2_ps4,&INPUT/KB_ALT2_BUTTON,1,1,1,0.5,,0
ui_shoulder_left,5,button_shoulder_left,button_shoulder_left_ps4,&INPUT/KB_LEFT_SHOULDER_BUTTON,1,1,1,0.5,,0
ui_shoulder_right,6,button_shoulder_right,button_shoulder_right_ps4,&INPUT/KB_RIGHT_SHOULDER_BUTTON,1,1,1,0.5,,0
ui_start,7,button_start,button_start_ps4,&INPUT/KB_START_BUTTON,1,1,1,0.5,,0
ui_select,8,button_select_anim,button_select_anim_ps4,&INPUT/KB_BACK_BUTTON,1,1,1,0.5,,0
ui_l3,11,button_stick_left_anim,button_stick_left_anim_ps4,&INPUT/KB_L3_BUTTON,1,1,1,0.5,,0
ui_r3,12,button_stick_right_anim,button_stick_right_anim_ps4,&INPUT/KB_R3_BUTTON,1,1,1,0.5,,0
ui_trigger_left,14,button_trigger_left,button_trigger_left_ps4,&INPUT/KB_LEFT_TRIGGER_BUTTON,1,1,1,0.5,,0
ui_trigger_right,15,button_trigger_right,button_trigger_right_ps4,&INPUT/KB_RIGHT_TRIGGER_BUTTON,1,1,1,0.5,,0
ui_dpad_up,16,button_dpad_up,button_dpad_up_ps4,&INPUT/KB_DPAD_UP_BUTTON,1,1,1,0.5,,0
ui_dpad_down,17,button_dpad_down,button_dpad_down_ps4,&INPUT/KB_DPAD_DOWN_BUTTON,1,1,1,0.5,,0
ui_dpad_left,18,button_dpad_left,button_dpad_left_ps4,&INPUT/KB_DPAD_LEFT_BUTTON,1,1,1,0.5,,0
ui_dpad_right,19,button_dpad_right,button_dpad_right_ps4,&INPUT/KB_DPAD_RIGHT_BUTTON,1,1,1,0.5,,0
left_stick_forward,20,button_stick_fwd,,&,1.1,1.1,1.1,0.5,,0
left_stick_back,21,button_stick_left,button_stick_left_ps4,&INPUT/KB_LEFT_STICK,1,1,1,0.5,,0
left_stick_left,23,button_stick_left,button_stick_left_ps4,&INPUT/KB_LEFT_STICK,1,1,1,0.5,,0
left_stick_right,24,button_stick_left,button_stick_left_ps4,&INPUT/KB_LEFT_STICK,1,1,1,0.5,,0
right_stick_forward,25,button_stick_fwd_r,,&,1.1,1.1,1.1,0.5,,0
right_stick_back,26,button_stick_right,button_stick_right_ps4,&INPUT/KB_RIGHT_STICK,1,1,1,0.5,,0
right_stick_left,28,button_stick_right,button_stick_right_ps4,&INPUT/KB_RIGHT_STICK,1,1,1,0.5,,0
right_stick_righ,29,button_stick_right,button_stick_right_ps4,&INPUT/KB_RIGHT_STICK,1,1,1,0.5,,0
ui_left_stick_up,1991,button_stick_left,button_stick_left_ps4,&INPUT/KB_L3_BUTTON,1,1,1,0.5,,0
ui_right_stick_up,1992,button_stick_right,button_stick_right_ps4,&INPUT/KB_R3_BUTTON,1,1,1,0.5,,0
left_stick_centered,1993,button_stick_left,button_stick_left_ps4,&INPUT/KB_LEFT_STICK,1,1,1,0.5,,0
right_stick_centered,1994,button_stick_right,button_stick_right_ps4,&INPUT/KB_RIGHT_STICK,1,1,1,0.5,,0
ui_left_stick,1995,button_stick_left,button_stick_left_ps4,&INPUT/KB_LEFT_STICK,1,1,1,0.5,,0
ui_right_stick,1996,button_stick_right,button_stick_right_ps4,&INPUT/KB_RIGHT_STICK,1,1,1,0.5,,0
ui_mantle,1997,hud_icon_mantle,,&,1.5,1.5,1.5,0.5,,0
dpad_vertical,1998,button_dpad_vertical,button_dpad_vertical_ps4,&,1,1,0.75,0.5,,0
ui_home,,,,&INPUT/KB_HOME_BUTTON,,,,,,0
ui_ins,,,,&INPUT/KB_INS_BUTTON,,,,,,0
ui_del,,,,&INPUT/KB_DEL_BUTTON,,,,,,0
ui_mouse_wheel,,,,&INPUT/MWHEEL_UP_DOWN,,,,,,0
attribute_pro,1999,weapon_attributes_pro,,&,1,1,1,0.5,,0
attribute_con,2000,weapon_attributes_con,,&,1,1,1,0.5,,0
attachment_warning,2001,ui_attachment_warning,,&,0.75,0.75,0.75,0.5,,0
attachment_swap,2002,ui_attachment_swap,,&,1.5,1.5,1.5,0.5,,0
attachment_swap,2003,ui_attachment_swap,,&,1.5,1.5,1.5,0.5,,0
ui_lock,2004,icon_global_lock,,&,0.75,0.75,0.75,0.5,,0
ui_skull,2005,hud_icon_player_dead,,&,1,1,1,0.5,,0
ui_codpoints,2006,icon_currency_codpoints,,&,1,1,1,0.5,,0
ui_uparrow,2010,v_ui_icon_buttonprompt_kbm_direction_up,,&,1,1,1,0.5,,0
ui_downarrow,2011,v_ui_icon_buttonprompt_kbm_direction_down,,&,1,1,1,0.5,,0
ui_leftarrow,2012,v_ui_icon_buttonprompt_kbm_direction_left,,&,1,1,1,0.5,,0
ui_rightarrow,2013,v_ui_icon_buttonprompt_kbm_direction_right,,&,1,1,1,0.5,,0
ui_mouseleftclick,2014,ui_button_kbm_mouseleftclick,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mouseleftclick_black,0
ui_mouserightclick,2015,ui_button_kbm_mouserightclick,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mouserightclick_black,0
ui_mousemiddleclick,2016,ui_button_kbm_mousemiddleclick,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mousemiddleclick_black,0
ui_mouseclick4,2017,ui_button_kbm_mouseclick4,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mouseclick4_black,0
ui_mouseclick5,2018,ui_button_kbm_mouseclick5,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mouseclick5_black,0
ui_mousewheeldown,2019,ui_button_kbm_mousescrolldown,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mousescrolldown_black,0
