string,string,localized,localized,string,string,string,string,string
1992,iw9_ch_gs_ar_akilo47_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1987,iw9_ch_gs_ar_akilo47_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1731,iw9_ch_gs_ar_akilo47_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
236,iw9_ch_gs_ar_akilo47_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
399,iw9_ch_gs_ar_akilo47_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2846,iw9_ch_gs_ar_akilo47_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1101,iw9_ch_gs_ar_akilo47_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
513,iw9_ch_gs_ar_akilo47_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3904,iw9_ch_gs_ar_akilo47_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3032,iw9_ch_gs_ar_akilo47_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1792,iw9_ch_gs_ar_asierra12_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
235,iw9_ch_gs_ar_asierra12_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
253,iw9_ch_gs_ar_asierra12_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
183,iw9_ch_gs_ar_asierra12_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
135,iw9_ch_gs_ar_asierra12_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1134,iw9_ch_gs_ar_asierra12_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
340,iw9_ch_gs_ar_asierra12_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
4106,iw9_ch_gs_ar_asierra12_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2599,iw9_ch_gs_ar_asierra12_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1839,iw9_ch_gs_ar_asierra12_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
