string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/clash_mgl/lootset_root.csv,2,,# root,,# column 0 is "Item"/"chance" etc, column 1 is the name, so first weight is in column 2,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_global.csv,3,,# global,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_cache_base.csv,4,,# cache_base,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_cache_lege.csv,5,,# cache_lege,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_empty.csv,6,,# N/A,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_buildings.csv,7,,# buildings,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_buildings_abundant.csv,8,,# abundant,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_contract_asn.csv,9,,# contract_asn,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_contract_dom.csv,10,,# contract_dom,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_contract_scav1.csv,11,,# contract_scav1,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_contract_scav2.csv,12,,# contract_scav2,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_contract_scav3.csv,13,,# contract_scav3,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_cache_reusable1.csv,14,,# cache_reusable1,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_cache_reusable2.csv,15,,# cache_reusable2,,,,,,,,,,,,
setchancecol,mp/loot/br/clash_mgl/lootset_cache_reusable3.csv,16,,# cache_reusable3,,,,,,,,,,,,
tagReject,delta,,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tagReject,noseason,,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central Control,,,,,,,,,,,,,,,,
chance,ammo,,300,13,17,0,300,300,15,15,14,20,20,20,4,6
