string,string
0,iw9_battlepass_xp
0,iw9_leagueplay_league_id
0,iw9_rejoin_is_active
1,iw9_battlepass_xp_from_time
1,iw9_daily_ch_id_1
1,iw9_leagueplay_match_result
1,iw9_leagueplay_new_skill_rating
2,iw9_clan_id
2,iw9_daily_ch_id_2
2,iw9_leagueplay_new_skill_division
2,iw9_leagueplay_skill_rating
2,iw9_rejoin_lobby_id
3,iw9_clan_xp
3,iw9_daily_ch_id_3
3,iw9_leagueplay_division
4,iw9_daily_ch_id_4
4,iw9_day_override
4,iw9_rejoin_expiry
5,iw9_endgame_bitfield1
6,iw9_equipment_bitfield1
6,iw9_leagueplay_is_disconnect
7,iw9_field_upgrade_bitfield1
7,iw9_leagueplay_match_id
7,iw9_zm_zombie_type
8,iw9_gamemode
8,iw9_leagueplay_added_to_ladder
9,iw9_gametype
10,iw9_gametype_bitfield1
10,iw9_leagueplay_ladder_penalty
11,iw9_kill_amount
11,iw9_leagueplay_sr_penalty
12,iw9_kill_bitfield1
12,iw9_leagueplay_event_season
13,iw9_disconnect_reason
13,iw9_enemy_type_bitfield
13,iw9_leagueplay_on_ladder
14,iw9_kill_operator_id
14,iw9_leagueplay_top250_placement
15,iw9_killstreak_bitfield1
15,iw9_leagueplay_mark_as_seen
16,iw9_leagueplay_event_type
16,iw9_match_result
17,iw9_leagueplay_hot_streak_cooldown_s
17,iw9_multikill_bitfield1
18,iw9_leagueplay_at_match_end
18,iw9_operator_id
19,iw9_leagueplay_lobby_id
19,iw9_operator_xp
20,iw9_operator_xp_id
23,iw9_season0
24,iw9_season1
25,iw9_season2
26,iw9_season3
27,iw9_season4
28,iw9_season5
29,iw9_season6
30,iw9_user_info
31,iw9_value
32,iw9_version
33,iw9_weapon_attachment1
34,iw9_weapon_attachment10
35,iw9_weapon_attachment2
36,iw9_weapon_attachment3
37,iw9_weapon_attachment4
38,iw9_weapon_attachment5
39,iw9_weapon_attachment6
40,iw9_weapon_attachment7
41,iw9_weapon_attachment8
42,iw9_weapon_attachment9
43,iw9_weapon_class_bitfield
44,iw9_weapon_loot_id
45,iw9_weapon_xp
46,iw9_string_ref
47,iw9_string_ref2
48,iw9_zm_all_areas_unlocked
49,iw9_zm_areas_unlocked
50,iw9_zm_armor_repair
51,iw9_zm_armor_tier
52,iw9_zm_consecutive_perks
53,iw9_zm_covenant_type
54,iw9_zm_damage_covenants
55,iw9_zm_elimination_bitfield
56,iw9_zm_equipment_type
57,iw9_zm_heal_amount
59,iw9_zm_legendary_covenants
60,iw9_zm_multikill_bitfield
61,iw9_zm_objective_bitfield
62,iw9_zm_objective_location
63,iw9_zm_objective_type
64,iw9_zm_pap_level
65,iw9_zm_perk_acquires
66,iw9_zm_perk_level
67,iw9_zm_perk_total
68,iw9_zm_perk_type
69,iw9_zm_round_number
70,iw9_zm_status_effect_bitfield
71,iw9_squad_event
72,iw9_location_bitfield
73,iw9_pool_id
74,iw9_activate_id
75,iw9_deactivate_id
76,iw9_battlemap_sector_ae_id
76,iw9_loot_id
77,iw9_battlemap_sector_reward_id
77,iw9_loot_item_type
78,iw9_loot_method_bitfield
79,iw9_cp_stars
80,iw9_cp_mission_id
81,iw9_perk_bitfield1
82,iw9_cp_role
83,iw9_playlist_id
84,iw9_mgl_edge_item_id
85,iw9_loadout_item_method
86,iw9_mgl_edge_item_count
87,iw9_activity_type
88,iw9_score
89,iw9_buy_action
90,iw9_cash_value
91,iw9_loot_source
92,iw9_mgl_inbox_notification_id
93,iw9_distance
94,iw9_damage_type
95,iw9_weapon_attachment_flags
96,iw9_cp_kit_rank
97,iw9_cp_intel_collected
