string,string,string
11339,iw9_ar_golf3,3926
11320,iw9_ar_kilo53,775
11354,iw9_ar_mike4,803
11325,iw9_ar_mike16,2010
11305,iw9_ar_akilo,296
11323,iw9_ar_akilo105,4094
11327,iw9_ar_akilo74,2650
11362,iw9_ar_schotel,4044
11372,iw9_ar_augolf,2660
11346,iw9_ar_mcharlie,877
11302,iw9_ar_scharlie,1058
11357,iw9_br_msecho,867
11336,iw9_br_soscar14,339
11364,iw9_sm_aviktor,435
11365,iw9_sm_alpha57,2663
11338,iw9_sm_mpapa5,4117
11311,iw9_sm_mpapa7,3824
11341,iw9_sm_beta,2629
11315,iw9_sm_victor,850
11324,iw9_pi_decho,3037
11352,iw9_pi_papa220,2850
11307,iw9_pi_golf17,173
11361,iw9_pi_golf18,1061
11359,iw9_sn_alpha50,670
11317,iw9_sn_mromeo,1054
11358,iw9_sn_limax,1932
11342,iw9_lm_kilo21,4079
11314,iw9_lm_slima,431
11331,iw9_lm_foxtrot,2923
11319,iw9_lm_mkilo3,4119
11360,iw9_lm_rkilo,378
11356,iw9_sh_mbravo,2633
11313,iw9_sh_charlie725,995
11330,iw9_dm_mike24,2627
11316,iw9_dm_sa700,2727
11348,iw9_dm_la700,422
11349,iw9_dm_pgolf1,821
11340,iw9_dm_xmike2010,3137
11329,iw9_dm_sbeta,41
11350,iw9_dm_mike14,579
11355,iw9_me_knife,2988
11351,iw9_la_rpapa7,2694
11337,iw9_la_juliet,924
11333,iw9_la_mike32,4036
11344,iw9_la_gromeo,2666
11326,iw9_la_kgolf,334
