string,localized_a,localized_a,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,int,int,string,string,string,int,int,int,int,string
war,a&LUA_MENU_MP/WAR,a&OBJECTIVES/WAR,icon_mode_mp_tdm,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,2,1,icon_mode_mp_tdm,icon_mode_mp_tdm_tier1,1,0,1,0,1.15,60,1,icon_mode_mp_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,jup_ui_menu_keyart_tdm_button,jup_ui_menu_keyart_tdm_button,,0,0,0,0,jup_mp_splash_message_hexagone_topo
aon,a&LUA_MENU_MP/AON,a&OBJECTIVES/AON,icon_mode_mp_aon,0,0,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_AON,a&OBJECTIVES/AON_HINT,a&OBJECTIVES/AON_HINT,0,0,icon_mode_mp_aon,icon_mode_mp_aon,1,0,0.9,0,1.45,60,0,icon_mode_mp_aon,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,jup_ui_menu_keyart_allornothing_button,jup_ui_menu_keyart_allornothing_button,,0,0,0,0,
bounty,a&LUA_MENU_MP/BOUNTY,a&OBJECTIVES/BOUNTY,icon_mode_mp_bounty,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_BOUNTY,a&OBJECTIVES/BOUNTY_HINT,a&OBJECTIVES/BOUNTY_HINT,2,1,icon_mode_mp_bounty,icon_mode_mp_bounty_tier1,1,0,1,0,1,60,0,icon_mode_mp_bounty,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_bounty_layer01,menu_keyart_bounty_layer00,,0,0,0,0,jup_mp_splash_message_homeplate_topo
control,a&LUA_MENU_MP/CONTROL,a&OBJECTIVES/CONTROL,icon_mode_mp_control,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_DOMINATION,a&OBJECTIVES/CONTROL_ATTACKER_HINT,a&OBJECTIVES/CONTROL_DEFENDER_HINT,1,1,icon_mode_mp_control,icon_mode_mp_control_tier1,1,0,1,1,1,60,0,icon_mode_mp_control,a&LUA_MENU_MP/CDL_CONTROL_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,1050,3000,jup_ui_menu_keyart_control_button,jup_ui_menu_keyart_control_button,,0,0,0,0,jup_mp_splash_message_homeplate_topo
cyber,a&LUA_MENU_MP/CYBER,a&OBJECTIVES/CYBER,icon_mode_mp_cyber,1,1,Standard,mp_farm_18,a&LUA_MENU_WARGAME_CMD,a&OBJECTIVES/CYBER_HINT,a&OBJECTIVES/CYBER_HINT,2,1,icon_mode_mp_cyber,icon_mode_mp_cyber_tier1,1,0,1.4,1,1.5,40,2,icon_mode_mp_cyber,a&LUA_MENU_MP/CDL_CYBER_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,750,2250,menu_keyart_cyber_layer_00,menu_keyart_cyber_layer_01,,0,0,0,0,jup_mp_splash_message_diamond_topo
dom,a&LUA_MENU_MP/DOMINATION,a&OBJECTIVES/DOM,icon_mode_mp_dom,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_DOMINATION,a&OBJECTIVES/DOM_HINT,a&OBJECTIVES/DOM_HINT,2,1,icon_mode_mp_dom,icon_mode_mp_dom_tier1,1,0,0.7,1,0.9,60,3,icon_mode_mp_dom,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,jup_ui_menu_keyart_dom_button,jup_ui_menu_keyart_dom_button,,0,0,0,0,jup_mp_splash_message_homeplate_topo
dm,a&LUA_MENU_MP/DEATHMATCH,a&OBJECTIVES/DM,icon_mode_mp_ffa,0,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mode_mp_ffa,icon_mode_mp_ffa_tier1,1,0,0.9,0,1.45,60,6,icon_mode_mp_ffa,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,750,2250,jup_ui_menu_keyart_freeforall_button,jup_ui_menu_keyart_freeforall_button,,0,0,0,0,jup_mp_splash_message_hexagone_topo
bigctf,a&LUA_MENU_MP/BIGCTF,a&LUA_MENU_MP/BIGCTF_DESC,icon_mode_mp_moshpit_obj,0,1,Alternate,mp_sira_gw,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/BTM_HINT,a&OBJECTIVES/BTM_HINT,0,1,icon_mode_mp_moshpit_obj,icon_mode_mp_moshpit_obj_tier1,1,1,1.1,0,1.65,40,0,icon_mode_mp_moshpit_obj,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,jup_ui_menu_keyart_freeforall_button,jup_ui_menu_keyart_freeforall_button,,0,0,0,0,jup_mp_splash_message_homeplate_topo
arena,a&LUA_MENU_MP/ARENA,a&OBJECTIVES/ARENA,icon_mode_mp_gunfight,1,1,Standard,mp_m_alley,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mode_mp_gunfight,1,0,1.5,0,1.5,60,7,icon_mp_mode_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,0,0,menu_keyart_gun_fight_layer00,menu_keyart_gun_fight_layer00,,0,0,0,0,jup_mp_splash_message_diamond_topo
gun,a&LUA_MENU_MP/GUN,a&OBJECTIVES/GUN,icon_mode_mp_gungame,0,0,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_GUN,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_gungame_hcore,icon_mode_mp_gungame_tier1,1,0,1,0,1,60,16,icon_mp_mode_gungame,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_gun_game_layer_00,menu_keyart_gun_game_layer_00,,0,0,0,0,
