string,string,string,localized_a,localized_a,string,string,string,string,string,string,string
plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,240,240,240,240,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,50,50,50,50,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,750,750,750,750,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1500,1500,1500,1500,
xp_tiny,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,150,150,150,150,
xp_small,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,250,250,250,250,
xp_medium,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,500,500,500,500,
xp_large,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,750,750,750,750,
weapon_xp_tiny,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,150,150,150,150,
weapon_xp_small,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,250,250,250,250,
weapon_xp_medium,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,500,500,500,500,
