string,string,string,string,localized_a,string,xhashdvar,string,string,localized_a,int
legend,trophyUploadStation,ui_map_icon_trophy_s03,,a&MP/SCORPION_TROPHY_BANK,,@#scr_scorpiontrophyevent,,,a&,0
legend,zoneLocked,hud_icon_objective_zclock,,a&MP_BR_INGAME/ZC_LOCKED_ZONE,,@#,IsBRZonecontrolGametype,,a&,0
legend,zoneNeutral,hud_icon_idle_t1,,a&MP_BR_INGAME/ZC_BRONZE_ZONE,,@#,IsBRZonecontrolGametype,,a&,0
legend,zoneHigh,hud_icon_idle_t2,,a&MP_BR_INGAME/ZC_SILVER_ZONE,,@#,IsBRZonecontrolGametype,,a&,0
legend,leaderCrown,ui_map_icon_zcleader,,a&MP_BR_INGAME/ZC_LEADER,,@#,IsBRZonecontrolGametype,,a&,0
top,contracts,,,a&,1,@#,,,a&,0
middle,squadDropbag,ui_map_icon_drop_loadout_blue,,a&MP_BR_INGAME/SQUAD_DROPBAG,,@#scr_br_dropbagspawn,,,a&,0
middle,highstakesCrate,ui_map_icon_drop_doublexp,,a&MP/DOUBLEXP_CRATE_NAME,,@#hash_ec487051294f83c2,,,a&,0
middle,abandonedCache,ui_map_icon_loot_cache,,a&MP_BR_INGAME/ABANDONEDCACHE,,@#hash_4af62e57f66d060b,,,a&,0
middle,armoryKiosk,ui_map_icon_poi_shop,,a&MP_BR_INGAME/ARMORY_KIOSK,,@#scr_br_armory_kiosk,,,a&,0
middle,deployableBuyStation,ui_map_icon_portable_buystation,,a&EQUIPMENT/DEPLOYABLE_KIOSK_MARKER,,@#scr_br_armory_kiosk,,,a&,0
middle,weaponTradeStation,ui_map_icon_poi_weapontrader,,a&MP_BR_INGAME/ARMORY_TRADER,,@#scr_br_armory_trader,,,a&,0
middle,ammocache,ui_map_icon_ammo_cache,,a&MP_BR_INGAME/AMMO_CACHE,,@#,,,a&,0
middle,train,hud_icon_minimap_vehicle_train_engine,,a&DMZ/TRAIN,,@#,AreTrainsEnabled,,a&,0
middle,redeployDrone,ui_map_icon_redeploy_drone,,a&VEHICLES/REDEPLOY_DRONE,,@#redeploy_ascenders_enabled,,,a&,0
middle,uavTower,ui_map_icon_uav_tower,,a&DMZ/UAV_TOWER,,@#scr_enable_uav_towers,,,a&,0
middle,brokenATM,ui_mp_br_mapmenu_legend_poi_broken_atm,,a&MP_BR_INGAME/BROKEN_ATM,,@#hash_a6b7002b1a7fef73,,,a&,0
