string,string,localized_a,string,string,int
0,clear_lower_msg,a&,0,0,0
1,press_to_spawn,a&MP/PRESS_TO_SPAWN,0,1,0
2,spawn_next_round,a&MP/SPAWN_NEXT_ROUND,0,1,0
3,spawn_flag_wait,a&MP/SPAWN_FLAG_WAIT,0,1,0
4,spawn_point_capture_wait,a&MP/SPAWN_POINT_CAPTURE_WAIT,0,1,0
5,spawn_revive_wait,a&MP/SPAWN_REVIVE_WAIT,1,1,0
6,spawn_revive_wait_bleedout,a&MP/SPAWN_REVIVE_WAIT_BLEEDOUT,1,1,0
7,spawn_revive_remote,a&MP/SPAWN_REVIVE_REMOTE,0,1,0
8,spawn_tag_wait,a&MP/SPAWN_TAG_WAIT,0,1,0
9,waiting_to_spawn,a&MP/WAITING_TO_SPAWN,1,1,0
10,next_team_spawn,a&MP/NEXT_TEAM_SPAWN,0,1,0
11,match_starting,a&MP/MATCH_STARTING,0,1,0
12,change_class,a&MP/CHANGE_CLASS_NEXT_SPAWN,0,1,0
13,revive_class,a&MP/CHANGE_CLASS_NEXT_ROUND,0,1,0
14,change_rig,a&LUA_MENU_MP/CHANGE_RIG_NEXT_SPAWN,0,1,0
15,must_select_loadout_to_spawn,a&MP_INGAME_ONLY/SELECT_LOADOUT_TO_SPAWN,0,1,0
16,select_spawn,a&MP/SELECT_SPAWN,0,1,0
17,down_give_up,a&MP/DOWN_GIVE_UP,0,1,0
18,player_eliminated,a&MP/SPAWN_ELIMINATED,0,1,0
19,self_revive,a&MP/SUPER_SELF_REVIVE_OR_RESPAWN,1,1,0
20,revive_or_respawn,a&MP/REVIVE_OR_RESPAWN,1,1,0
21,ffa_down_give_up,a&MP/FFA_LAST_STAND_RESPAWN,1,1,0
22,being_revived,a&MP/YOU_ARE_BEING_REVIVED,0,1,0
23,reviving_self,a&MP/REVIVING_SELF,0,1,0
24,no_friendly_fire,a&MP/FRIENDLY_FIRE_WILL_NOT,0,1,0
25,rally_point,a&MP/RALLY_POINT_RESPAWN,1,1,0
26,exfil_eliminated,a&MP/EXFIL_ELIMINATED,0,1,0
27,escape_kick,a&MP/ESC_WAIT_TO_KICK,0,1,0
28,rally_wait_revive,a&MP/SPAWN_RALLY_POINT_DESTROYED,1,1,0
29,waiting_for_c130,a&MP/WAITING_FOR_C130,1,1,0
30,waiting_for_hq,a&MP/WAITING_FOR_HQ,1,1,0
31,waiting_suicide_delay,a&MP/SUICIDE_DELAY,1,1,0
32,hint_use_nvg,a&MP/PRESS_TO_USE_NVG,0,1,0
33,hint_use_nvg_kb,a&MP/PRESS_TO_USE_NVG_KB,0,1,0
34,select_loadout_await_c130,a&MP/SELECT_LOADOUT_AWAIT_C130,0,1,0
35,squad_spawn,a&MP/SQUAD_SPAWN_INSTRUCTIONS,0,1,0
36,hq_no_respawn,a&MP_INGAME_ONLY/HQ_NO_RESPAWN,0,1,0
37,quest_pickup,a&MP/QUEST_PICKUP,0,1,0
38,quest_enter_search_area,a&MP/QUEST_SONAR_START,0,1,0
39,quest_stash_found,a&MP/QUEST_STASH_FOUND,0,1,0
40,br_mobile_armory_charging,a&MP_BR_INGAME/MOBILE_ARMORY_CHARGING,1,1,0
41,br_mobile_armory_active,a&MP_BR_INGAME/MOBILE_ARMORY_ACTIVE,1,1,0
42,br_mobile_armory_cooldown,a&MP_BR_INGAME/MOBILE_ARMORY_COOLDOWN,0,1,0
43,ascender_blocked,a&MP/ASCENDER_BLOCKED,0,1,0
44,br_satellite_truck_charging,a&MP_BR_INGAME/SATELLITE_TRUCK_CHARGING,1,1,0
45,br_satellite_truck_active,a&MP_BR_INGAME/SATELLITE_TRUCK_ACTIVE,1,1,0
46,br_satellite_truck_cooldown,a&MP_BR_INGAME/SATELLITE_TRUCK_COOLDOWN,0,1,0
47,br_tablet_pickup_fail,a&MP_BR_INGAME/TABLET_PICKUP_FAILURE,0,1,0
48,br_player_is_jumpmaster,a&MP_BR_INGAME/INFIL_PLAYER_IS_JUMPMASTER,0,1,0
49,br_teammate_is_jumpmaster,a&MP_BR_INGAME/INFIL_TEAMMATE_IS_JUMPMASTER,0,1,0
50,br_invalid_map_selection,a&MP_BR_INGAME/INFIL_INVALID_MAP_SELECTION,0,1,0
51,br_selections_locked,a&MP_BR_INGAME/INFIL_SELECTIONS_LOCKED,0,1,0
52,br_assassination_notargets,a&MP_BR_INGAME/MISSION_UNAVAILABLE,0,1,0
53,br_player_deploy_solo,a&MP_BR_INGAME/INFIL_PLAYER_DEPLOY_SOLO,0,1,0
54,ascender_blocked_jugg,a&MP/ASCENDER_BLOCKED_JUGG,0,1,0
55,ascender_blocked_laststand,a&MP/ASCENDER_BLOCKED_LASTSTAND,0,1,0
56,br_solo_join_squad,a&MP_BR_INGAME/INFIL_SOLO_JOIN_SQUAD,0,1,0
57,br_squad_selection,a&MP_BR_INGAME/INFIL_SQUAD_SELECTION,0,1,0
58,br_bank_alarm_active,a&MP_BR_INGAME/BANK_ALARM_ACTIVE,0,1,0
59,trial_timer_start_weapon,a&MP/TRIAL_TIMER_START_WEAPON,0,1,0
60,br_down_give_up,a&MP/BR_REVIVE_OR_RESPAWN,0,1,0
61,start_game,a&MP/START_GAME,0,1,0
62,gw_iav_respawn,a&MP/GW_IAV_RESPAWN,0,1,0
63,gw_apc_respawn,a&MP/GW_APC_RESPAWN,0,1,0
64,spawn_revive_wait_notimer,a&MP/SPAWN_REVIVE_WAIT,0,0,0
65,no_friendly_fire_timer,a&MP/FRIENDLY_FIRE_WILL_NOT,1,1,0
66,br_solo_selection,a&MP_BR_INGAME/INFIL_SOLO_SELECTION,0,1,0
67,br_squad_join_solo,a&MP_BR_INGAME/INFIL_SQUAD_JOIN_SOLO,0,1,0
68,br_assassin_mission_time_warning,a&MP_BR_INGAME/MISSION_ASSASSIN_2_TIME_WARNING,1,1,0
69,br_dmz_10minwarning,a&MP_BR_INGAME/DMZ_10MINWARNING,0,1,0
70,br_dmz_5minwarning,a&MP_BR_INGAME/DMZ_5MINWARNING,0,1,0
71,bmo_exfil_start,a&MP_BR_INGAME/BMO_EXFIL_START,0,1,0
72,bmo_exfil_arrive,a&MP_BR_INGAME/BMO_EXFIL_ARRIVE,0,1,0
73,self_revive_token,a&MP_BR_INGAME/SELF_REVIVE_RESPAWN,0,1,0
74,circle_peek_limit,a&MP_BR_INGAME/CIRCLE_PEEK_LIMIT,0,1,0
75,br_ping_nearest_supply,a&MP_BR_INGAME/PING_NEAREST_SUPPLY_STATION,0,1,0
76,br_standby_for_respawn,a&MP_BR_INGAME/STANDBY_FOR_RESPAWN,0,1,0
77,infect_super_tac_hint,a&MP_INGAME_ONLY/INFECT_SUPER_TAC_HINT,0,1,0
78,player_eliminated_oic,a&MP/SPAWN_ELIMINATED_BONUS,0,1,0
79,vehicle_in_gas,a&MP_BR_INGAME/VEHICLE_IN_GAS,0,1,0
80,ascender_blocked_generic,a&MP_INGAME_ONLY/OBJ_BLOCKED_CAPS,0,1,0
81,gw_patrol_boat_respawn,a&MP/GW_APC_RESPAWN,0,1,0
82,gw_palfa_respawn,a&MP/GW_PALFA_RESPAWN,0,1,0
83,br_contract_whitelisted,a&MP_BR_INGAME/MISSION_WHITELISTED,0,1,0
84,survivor_revive,a&MP/SURVIVOR_REVIVE,1,1,0
85,br_contract_occupied,a&MP_BR_INGAME/MISSION_OCCUPIED,0,1,0
86,br_dmz_biolab_heli_exfil_clear_area,a&MP_BR_INGAME/CLEAR_HELI_EXFIL_AREA,0,1,0
87,br_dmz_biolab_reinforcement_door,a&MP_BIO_LAB/REINFORCEMENT_DOOR_BLOCK,0,1,0
88,personal_redeploy_drone_insufficient_space,a&SUPER_MP/PERSONAL_REDEPLOY_DRONE_INSUFFICENT_SPACE,0,0,0
89,reinforcement_flare_not_enough_space,a&SUPER_MP/REINFORCEMENT_FLARE_NOT_ENOUGH_SPACE,0,0,0
90,reinforcement_flare_nobody_to_respawn,a&SUPER_MP/REINFORCEMENT_FLARE_NOBODY_TO_RESPAWN,0,0,0
91,personal_redeploy_drone_underwater,a&SUPER_MP/PERSONAL_REDEPLOY_DRONE_UNDERWATER,0,0,0
92,br_redeployGulag_conversion,a&MISC_MESSAGES_MP/SECONDLIFE_TOKENS_CONVERTED,0,1,0
93,br_redeploy_conversion,a&MISC_MESSAGES_MP/REDEPLOY_TOKEN_CONVERTED,0,1,0
94,br_gulag_conversion,a&MISC_MESSAGES_MP/GULAG_TOKEN_CONVERTED,0,1,0
95,reinforcement_flare_underwater,a&SUPER_MP/REINFORCEMENT_FLARE_UNDERWATER,0,0,0
96,bio_bunker_dc_panel_use_no_laptop,a&MP_BIOBUNKER/DATA_CENTER_PANEL_USE_NO_ITEM,0,1,0
97,self_revive_zm,a&SHARED_HINTSTRINGS/LASTSTAND_SELF_REVIVE,0,1,0
98,revive_wait_bleedout_zm,a&MP/SPAWN_REVIVE_WAIT,0,1,0
99,prd_prone,a&SUPER_MP/PRD_PRONE,0,0,0
100,plea_time,a&MP_BR_INGAME/REQUEST_PLEA_FOR_HELP,1,0,0
101,plea_waiting,a&MP_BR_INGAME/PLEA_WAITING,0,0,0
