string,string,localized_a,string
poi,,a&TACMAP_LEGEND/POINTS_OF_INTEREST,
poi,hud_icon_minimap_player_yellow,a&TACMAP_LEGEND/YOU,
poi,hud_icon_minimap_player_friendly_blue,a&TACMAP_LEGEND/ALLIES,
poi,hud_icon_minimap_search_area,a&TACMAP_LEGEND/SEARCH_AREA,
poi,hud_icon_minimap_misc_objective,a&TACMAP_LEGEND/OBJECTIVE,
poi,ui_map_icon_uav_tower,a&TACMAP_LEGEND/RECON_TOWER,
items,,a&TACMAP_LEGEND/ITEMS,
items,hud_icon_minimap_misc_squad_loot_box,a&TACMAP_LEGEND/WEAPON_CASE,
items,ui_map_icon_dmz_weapon_search_yellow,a&TACMAP_LEGEND/WEAPON_CASE_AREA,
items,ui_map_icon_supply_drop_yellow,a&TACMAP_LEGEND/SUPPLY_BOX,
items,hud_icon_minimap_killstreak_cuav_dark,a&TACMAP_LEGEND/KILLSTREAK,
items,hud_icon_minimap_fieldupgrade_drone_dark,a&TACMAP_LEGEND/FIELD_UPGRADE,
items,hud_icon_minimap_vehicle_techo_dark,a&TACMAP_LEGEND/VEHICLE,
