string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string
14725,jup_ob_schematic_unlock_speedcola_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_SPEEDCOLA,a&ZOMBIE_CHALLENGE/SCHEMATIC_SPEEDCOLA_DESC_1,1,100,29646+29644,0,,,29646,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
15597,jup_ob_schematic_unlock_juggernog_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_JUGGERNOG,a&ZOMBIE_CHALLENGE/SCHEMATIC_JUGGERNOG_DESC_1,1,100,29645+29670,0,,,29645,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
15602,jup_ob_schematic_unlock_staminup_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_STAMINUP,a&ZOMBIE_CHALLENGE/SCHEMATIC_STAMINUP_DESC_1,1,100,29647+29672,0,,,29647,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20256,jup_ob_schematic_unlock_phdflopper_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_PHDFLOPPER,a&ZOMBIE_CHALLENGE/SCHEMATIC_PHDFLOPPER_DESC_1,1,100,29651+29674,0,,,29651,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20358,jup_ob_schematic_unlock_deadshot_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_DEADSHOT,a&ZOMBIE_CHALLENGE/SCHEMATIC_DEADSHOT_DESC_1,1,100,29648+29668,0,,,29648,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20365,jup_ob_schematic_unlock_deathperception_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_DEATHPERC,a&ZOMBIE_CHALLENGE/SCHEMATIC_DEATHPERC_DESC_1,1,100,29649+29669,0,,,29649,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20377,jup_ob_schematic_unlock_elementalpop_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_ELEMENTALPOP,a&ZOMBIE_CHALLENGE/SCHEMATIC_ELEMENTALPOP_DESC_1,1,100,29650+29673,0,,,29650,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20384,jup_ob_schematic_unlock_quickrevive_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_QUICKREVIVE,a&ZOMBIE_CHALLENGE/SCHEMATIC_QUICKREVIVE_DESC_1,1,100,29652+29678,0,,,29652,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20390,jup_ob_schematic_unlock_tombstone_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_TOMBSTONE,a&ZOMBIE_CHALLENGE/SCHEMATIC_TOMBSTONE_DESC_1,1,100,29653+30869,0,,,29653,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20394,jup_ob_schematic_unlock_aecrystal_1_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AECRYSTAL_1,a&ZOMBIE_CHALLENGE/SCHEMATIC_AECRYSTAL_1_DESC_1,1,100,29654+35523,0,,,29654,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20398,jup_ob_schematic_unlock_aecrystal_2_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AECRYSTAL_2,a&ZOMBIE_CHALLENGE/SCHEMATIC_AECRYSTAL_2_DESC_1,1,100,29655+35524,0,,,29655,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20400,jup_ob_schematic_unlock_aecrystal_3_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AECRYSTAL_3,a&ZOMBIE_CHALLENGE/SCHEMATIC_AECRYSTAL_3_DESC_1,1,100,29656+35525,0,,,29656,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20402,jup_ob_schematic_unlock_aetool_uncomm_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AETOOL_UNCOMM,a&ZOMBIE_CHALLENGE/SCHEMATIC_AETOOL_UNCOMMON_DESC_1,1,100,29660+35519,0,,,29660,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20405,jup_ob_schematic_unlock_aetool_rare_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AETOOL_RARE,a&ZOMBIE_CHALLENGE/SCHEMATIC_AETOOL_RARE_DESC_1,1,100,29659+35520,0,,,29659,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20416,jup_ob_schematic_unlock_aetool_epic_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AETOOL_EPIC,a&ZOMBIE_CHALLENGE/SCHEMATIC_AETOOL_EPIC_DESC_1,1,100,29657+35521,0,,,29657,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20419,jup_ob_schematic_unlock_aetool_lege_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AETOOL_LEGE,a&ZOMBIE_CHALLENGE/SCHEMATIC_AETOOL_LEGE_DESC_1,1,100,29658+35522,0,,,29658,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20422,jup_ob_schematic_unlock_ammo_brainrot_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AMMO_BRAINROT,a&ZOMBIE_CHALLENGE/SCHEMATIC_AMMO_BRAINROT_DESC_1,1,100,29661+35517,0,,,29661,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20425,jup_ob_schematic_unlock_ammo_cryofreeze_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AMMO_CRYOFREEZE,a&ZOMBIE_CHALLENGE/SCHEMATIC_AMMO_CRYOFREEZE_DESC_1,1,100,29662+35516,0,,,29662,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20428,jup_ob_schematic_unlock_ammo_deadwire_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AMMO_DEADWIRE,a&ZOMBIE_CHALLENGE/SCHEMATIC_AMMO_DEADWIRE_DESC_1,1,100,29663+35515,0,,,29663,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20431,jup_ob_schematic_unlock_ammo_napalm_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AMMO_NAPALM,a&ZOMBIE_CHALLENGE/SCHEMATIC_AMMO_NAPALM_DESC_1,1,100,29664+35514,0,,,29664,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20434,jup_ob_schematic_unlock_ammo_shatter_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_AMMO_SHATTER,a&ZOMBIE_CHALLENGE/SCHEMATIC_AMMO_SHATTER_DESC_1,1,100,29665+35518,0,,,29665,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20437,jup_ob_schematic_unlock_case_dg2_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CASE_DG2,a&ZOMBIE_CHALLENGE/SCHEMATIC_CASE_DG2_DESC_1,1,100,29666+34602,0,,,29666,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20440,jup_ob_schematic_unlock_case_raygun_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CASE_RAYGUN,a&ZOMBIE_CHALLENGE/SCHEMATIC_CASE_RAYGUN_DESC_1,1,100,29667+34601,0,,,29667,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
20443,jup_ob_schematic_unlock_case_plasmagun_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CASE_PLASMAGUN,a&ZOMBIE_CHALLENGE/SCHEMATIC_CASE_PLASMAGUN_DESC_1,1,100,35307+34415,0,,,35307,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
22954,jup_ob_schematic_unlock_classified_bloodburner,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_BLOODBURNER,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_BLOODBURNER,1,100,36075+35877,0,,,36075,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
23150,jup_ob_schematic_unlock_classified_golden_armor_plate,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_GOLDEN_ARMOR_PLATE,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_GOLDEN_ARMOR_PLATE,1,100,,0,,,43574,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
23151,jup_ob_schematic_unlock_classified_dog_bone,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_DOG_BONE,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_DOG_BONE,1,100,,0,,,43575,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE
