string,string,string,localized_a,localized_a,string,xhash,string,string,string,string,string
plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,10,6,5,4,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,20,13,7.5,9,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,40,25,10,18,
plunder_medium_1x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_1X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,40,25,20,18,
plunder_medium_2x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_2X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,80,50,40,35,
plunder_medium_3x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_3X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,120,75,60,53,
plunder_medium_4x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_4X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,160,100,80,70,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,60,38,15,26,
plunder_huge,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,80,50,20,35,
xp_small,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,#hash_46bb9d4f58dcdc39,300,300,300,300,
xp_medium,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,#hash_46bb9d4f58dcdc39,500,500,500,500,
xp_medium_1x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_1X,a&,,#hash_46bb9d4f58dcdc39,500,500,500,500,
xp_medium_2x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_2X,a&,,#hash_46bb9d4f58dcdc39,600,600,600,600,
xp_medium_3x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_3X,a&,,#hash_46bb9d4f58dcdc39,700,700,700,700,
