string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string
1,find_gas_can,a&CP_OBJECTIVES/FIND_GAS,,step,,,0,,,,,,
2,find_tractor_key,a&CP_OBJECTIVES/TRACTOR_KEY,,step,,,0,,,,,,
3,extract_gas_from_tractor,a&CP_OBJECTIVES/EXTRACT_GAS,,step,,,0,,,,,,
4,start_power_generator,a&CP_OBJECTIVES/START_GENERATOR,Testing,step,,,0,,,,,,
5,open_door,a&CP_OBJECTIVES/OPEN_DOOR,,step,,,0,,,,,,
6,find_gas_can,a&CP_OBJECTIVES/GAS_KEY,,step,,,0,,,,,,
7,extract_gas_from_tractor,a&CP_OBJECTIVES/EXTRACT_GAS,,step,,,0,,,,,,
8,start_power_generator,a&CP_OBJECTIVES/START_GENERATOR,,step,,,0,,,,,,
9,defend_generator,a&CP_OBJECTIVES/DEFEND_GENERATOR,,step,,,0,,,,,,
10,defend_radar,a&CP_OBJECTIVES/DEFEND_RADAR,,step,,,0,,,,,,
11,rescue_hostage,a&CP_STRIKE/RESCUE_HOSTAGE,,step,,,0,,,,,,
12,exfil_hostage,a&CP_STRIKE/EXFIL_HOSTAGE,,step,,,0,,,,,,
13,pvpve_farm_objective_1,a&CP_PVPVE/FARM_OBJECTIVE_1,,step,,,0,,,,,,
14,pvpve_farm_objective_2,a&CP_PVPVE/FARM_OBJECTIVE_2,,step,,,0,,,,,,
15,defend_lz,a&CP_STRIKE/DEFEND_LZ,,step,,,0,,,,,,
16,call_exfil,a&CP_STRIKE/CALL_EXFIL,,step,,,0,,,,,,
17,faridah_escape,a&CP_STRIKE/ESCAPE,,step,,,0,,,,,,
18,faridah_clearLZ,a&CP_STRIKE/CLEAR_LZ,,step,,,0,,,,,,
19,faridah_breachArmory,a&CP_STRIKE/BREACH_ARMORY,,step,,,0,,,,,,
20,coop_bomb_defusal,a&COOP_BOMB_DEFUSAL/DEFUSE_BOMB,,step,,,0,,,,,,
