string,string,localized_a,localized_a,string,string,string,string,string
1,power_c4,a&EQUIPMENT/C4,a&,hud_icon_equipment_c4,equipment,,,cpcrate_power_c4
2,self_revive,a&EQUIPMENT/SELF_REVIVE,a&,ui_mp_br_loot_icon_self_revive_kit,equipment,,,cpcrate_self_revive
3,power_semtex,a&CP_WEAPON_BUY/SEMTEX,a&,hud_icon_equipment_semtex,equipment,,,cpcrate_power_semtex
4,power_frag,a&CP_WEAPON_BUY/FRAG,a&,hud_icon_equipment_frag,equipment,,,cpcrate_power_frag
5,power_smokeGrenade,a&CP_WEAPON_BUY/SMOKE,a&,hud_icon_equipment_smoke,equipment,,,cpcrate_power_smokegrenade
6,power_molotov,a&CP_WEAPON_BUY/MOLOTOV,a&,hud_icon_equipment_molotov,equipment,,,cpcrate_power_molotov
7,power_snapshotGrenade,a&EQUIPMENT/SNAPSHOT_GRENADE,a&,hud_icon_equipment_snapshot,equipment,,,cpcrate_power_snapshotgrenade
8,equip_hb_sensor,a&CP_WEAPON_BUY/HB_SENSOR,a&,hud_icon_equipment_hb_sensor,equipment,,,cpcrate_equip_hb_sensor
9,equip_nvgs,a&CP_WEAPON_BUY/NVGS,a&,ui_icon_nvg,equipment,,,cpcrate_equip_nvgs
10,perk_pack_medic,a&CP_WEAPON_BUY/PERK_PACK_MEDIC_NAME,a&CP_PERKS/PERK_PACK_MEDIC_DESC,icon_perk_slot_medic_ui,perk,,,cpcrate_perk_pack_medic
11,recon_drone,a&CP_WEAPON_BUY/RECON_DRONE_NAME,a&CP_WEAPON_BUY/FIELD_UPGRADE,hud_icon_killstreak_radardrone_recon,fieldupgrade,,,cpcrate_recon_drone
12,perk_pack_double,a&CP_WEAPON_BUY/PERCK_PACK_DOUBLE_NAME,a&,icon_perk_slot_specialist_ui,perk,,,cpcrate_perk_pack_double
13,perk_pack_mule,a&CP_WEAPON_BUY/PERK_PACK_MULE_NAME,a&CP_PERKS/PERK_PACK_MULE_DESC,icon_perk_slot_munitions_ui,perk,,,cpcrate_perk_pack_mule
14,perk_pack_buff,a&CP_WEAPON_BUY/PERK_PACK_BUFF_NAME,a&CP_PERKS/PERK_PACK_BUFF_DESC,icon_perk_slot_battlehardened_ui,perk,,,cpcrate_perk_pack_buff
