string,string,string,string,string,string,string,string
0,squad_ar,squad_ar,ai_ar,ai_ar,ai_ar,,
1,squad_smg,squad_smg,ai_smg,ai_smg,ai_smg,,
2,squad_lmg,squad_lmg,ai_lmg,ai_lmg,ai_lmg,,
3,squad_shotgun,squad_shotgun,ai_shotgun,ai_shotgun,ai_shotgun,,
4,squad_riot,squad_riot,ai_riot,ai_riot,ai_riot,,
5,squad_rpg,squad_rpg,ai_rpg,ai_rpg,,,
6,squad_riot_bros,squad_riot_bros,ai_riot,ai_ar,,,
7,squad_roof_koreans,squad_roof_koreans,ai_rpg,ai_sniper,ai_sniper,,
8,squad_army,squad_army,ai_lmg,ai_lmg,ai_lmg,ai_lmg,ai_lmg
9,squad_jugg,squad_jugg,ai_jugg,ai_ar,ai_ar,ai_ar,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
