string,string,localized_a,localized_a,string,string,string,string,string,string,string,string
11406,jup_jp01_ar_golf36_camo_1,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_1,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_1_DESC,50,33347,1000,,,,jup_jp01_ar_golf36_progression,
11407,jup_jp01_ar_golf36_camo_2,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_2,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_2_DESC,50,32567,1500,,,,jup_jp01_ar_golf36_progression,
11422,jup_jp01_ar_golf36_camo_3,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_3,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_3_DESC,15,32967,2000,,,,jup_jp01_ar_golf36_progression,
11423,jup_jp01_ar_golf36_camo_4,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_4,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_4_DESC,25,32548,2500,,,,jup_jp01_ar_golf36_progression,
11510,jup_jp01_ar_golf36_camo_gold,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD_DESC,10,32485,4000,,,,jup_jp01_ar_golf36_camo_gold_unlock,
11511,jup_jp01_ar_golf36_camo_gold_unlock,a&CHALLENGE/CAMO_UNLOCK_GOLD_JUP,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,4,,,,,,,11406|11407|11422|11423
11512,jup_jp01_ar_golf36_camo_plat,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_PLAT,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_PLAT_DESC,25,32495,5000,,,,jup_jp01_ar_golf36_camo_plat_unlock,
11513,jup_jp01_ar_golf36_camo_dama,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_DAMA,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_DAMA_DESC,15,32505,7500,,,,jup_jp01_ar_golf36_camo_dama_unlock,
11514,jup_jp01_ar_golf36_mastery_gold,a&CHALLENGE/CAMO_MASTERY_GOLD_JUP,a&CHALLENGE/CAMO_MASTERY_GOLD_JUP_DESC,100,35109+37400,4000,,,,jup_jp01_ar_golf36_mastery_gold_unlock,
11515,jup_jp01_ar_golf36_mastery_plat,a&CHALLENGE/CAMO_MASTERY_PLAT_JUP,a&CHALLENGE/CAMO_MASTERY_PLAT_JUP_DESC,200,35110,5000,,,,jup_jp01_ar_golf36_mastery_plat_unlock,
11516,jup_jp01_ar_golf36_mastery_dama,a&CHALLENGE/CAMO_MASTERY_POLY_JUP,a&CHALLENGE/CAMO_MASTERY_POLY_JUP_DESC,300,35111+37402,7500,,,,jup_jp01_ar_golf36_mastery_dama_unlock,
