string,string,localized_a,localized_a,string,string,string,string,string,string,string
17838,jup_ch_gununlock_iw9_ar_scharlie_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_SCHARLIE_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_SCHARLIE_MP_DESC,10,,11302,,,,
17839,jup_ch_gununlock_iw9_dm_mike14_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_DM_MIKE14_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_DM_MIKE14_MP_DESC,50,,11350,,,,
17840,jup_ch_gununlock_iw9_ar_golf3_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_GOLF3_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_GOLF3_MP_DESC,50,,11339,,,,
17841,jup_ch_gununlock_iw9_ar_mike4_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_MIKE4_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_MIKE4_MP_DESC,100,,11354,,,,
17842,jup_ch_gununlock_iw9_sm_mpapa7_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_MPAPA7_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_MPAPA7_MP_DESC,10,,11311,,,,
17843,jup_ch_gununlock_iw9_ar_augolf_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AUGOLF_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AUGOLF_MP_DESC,50,,11372,,,,
17845,jup_ch_gununlock_iw9_ar_akilo_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AKILO_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AKILO_MP_DESC,50,,11305,,,,
17847,jup_ch_gununlock_iw9_sm_victor_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_VICTOR_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_VICTOR_MP_DESC,50,,11315,,,,
17849,jup_ch_gununlock_iw9_sh_charlie725_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_CHARLIE725_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_CHARLIE725_MP_DESC,25,,11313,,,,
17850,jup_ch_gununlock_iw9_sh_mike1014_mp,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_MIKE1014_MP,a&CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_MIKE1014_MP_DESC,50,,11366,,,,
