string,string,localized_a,string
legend,hud_icon_minimap_player_friendly,a&MPUI/PLAYER_ICON,
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,a&MPUI/PLAYER_PING_ICON,
legend,icon_waypoint_objective_general,a&MPUI/OBJECTIVE,
legend,ui_map_icon_poi_shop,a&MP_INGAME_ONLY/ARMORY_KIOSK,
legend,ui_map_icon_ammo_cache,a&MP_BR_INGAME/AMMO_CACHE,
legend,hud_icon_minimap_fieldupgrade_loadout_drop,a&CP_LOADOUT/LOADOUT_CRATE,
legend,hud_icon_loot_dog_tag,a&MP/BR_DOGTAG,
vehicles,,a&LUA_MENU/VEHICLES,
vehicles,hud_icon_minimap_vehicle_suv_1996,a&VEHICLES/SUV_1996,
vehicles,hud_icon_vehicle_mil_cargo_truck,a&VEHICLES/CARGO_TRUCK,
vehicles,hud_icon_minimap_vehicle_sedan_hatchback_1985,a&VEHICLES/SEDAN_1985,
vehicles,hud_icon_minimap_vehicle_littlebird,a&VEHICLES/LITTLE_BIRD,
