string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string
22218,jup_daily_br_ch_selfrevive,a&CHALLENGE/BR_DAILY_JUP_SELFREVIVE,a&CHALLENGE/BR_DAILY_JUP_SELFREVIVE_DESC,3,2500,,1,,,,,1,,
22209,jup_daily_br_ch_contracts,a&CHALLENGE/BR_DAILY_MISSION_FOCUSED,a&CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,4,2500,,1,,,,,2,,
22135,jup_daily_br_ch_assists,a&CHALLENGE/DAILY_ASSISTER,a&CHALLENGE/DAILY_ASSISTER_DESC,10,2500,,1,,,,,3,,
21415,jup_daily_br_ch_kills,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS_DESC,5,2500,,1,,,,,4,,
21422,jup_daily_br_ch_loot_cache,a&CHALLENGE/BR_DAILY_LOOT_CACHES,a&CHALLENGE/BR_DAILY_LOOT_CACHES_DESC,10,2500,,1,,,,,5,,
21416,jup_daily_br_ch_kills_ar,a&CHALLENGE/BR_DAILY_AR_MATCH_KILLS,a&CHALLENGE/BR_DAILY_AR_MATCH_KILLS_DESC,2,2500,,2,,,,,1,,
21417,jup_daily_br_ch_kills_br,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE_DESC,2,2500,,2,,,,,2,,
22179,jup_daily_br_ch_kills_dmr,a&CHALLENGE/BR_DAILY_DMR_MATCH_KILLS,a&CHALLENGE/BR_DAILY_DMR_MATCH_KILLS_DESC,2,2500,,2,,,,,3,,
22143,jup_daily_br_ch_kills_lmg,a&CHALLENGE/BR_DAILY_LMG_MATCH_KILLS,a&CHALLENGE/BR_DAILY_LMG_MATCH_KILLS_DESC,2,2500,,2,,,,,4,,
22215,jup_daily_br_ch_kills_shg,a&CHALLENGE/BR_DAILY_SHOTGUN_MATCH_KILLS,a&CHALLENGE/BR_DAILY_SHOTGUN_MATCH_KILLS_DESC,2,2500,,2,,,,,5,,
21418,jup_daily_br_ch_kills_smg,a&CHALLENGE/BR_DAILY_SMG_MATCH_KILLS,a&CHALLENGE/BR_DAILY_SMG_MATCH_KILLS_DESC,2,2500,,2,,,,,6,,
21419,jup_daily_br_ch_kills_sniper,a&CHALLENGE/BR_DAILY_SNIPER_MATCH_KILLS,a&CHALLENGE/BR_DAILY_SNIPER_MATCH_KILLS_DESC,2,2500,,2,,,,,7,,
22180,jup_daily_br_ch_placement,a&JUP_CHALLENGE/JUP_BR_DAILY_BEST_OF_THE_BEST,a&JUP_CHALLENGE/JUP_BR_DAILY_BEST_OF_THE_BEST_DESC,1,2500,,3,,,,,1,,
22208,jup_daily_br_ch_caregiver,a&CHALLENGE/BR_DAILY_CAREGIVER,a&CHALLENGE/BR_DAILY_CAREGIVER_DESC,3,2500,,3,,,,,2,,
22211,jup_daily_br_ch_philanthropist,a&CHALLENGE/BR_DAILY_PHILANTHROPIST,a&CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,3,2500,,3,,,,,3,,
22212,jup_daily_br_ch_kills_lethals,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,2,2500,,3,,,,,4,,
22216,jup_daily_br_ch_kills_looted,a&CHALLENGE/P5_LONGER_KILLS_LOOTED_WEAPON,a&CHALLENGE/P5_LONGER_KILLS_LOOTED_WEAPON_DESC,2,2500,,3,,,,,5,,
23341,jup_daily_br_ch_kills_from_vehicle,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_FROM_VEHICLE,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_FROM_VEHICLE_DESC,5,2500,,3,,,,,6,,
23342,jup_daily_br_ch_kill_enemy_vehicle,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_VEHICLE,a&JUP_CHALLENGE/JUP_BR_DAILY_KILL_VEHICLE_DESC,5,2500,,3,,,,,7,,
21715,jup_daily_br_ch_bonus,a&,a&,1,,,4,,,,,1,,
