xhash,localized_a,localized_a,string,int,int,int
#br_ftue_parachute,a&INFO_POPUPS/PARACHUTE_TITLE,a&INFO_POPUPS/PARACHUTE_DESC,ui_mp_mobile_control_planejump,1,0,0
#br_ftue_supply_box,a&INFO_POPUPS/SUPPLY_BOX_TITLE,a&INFO_POPUPS/SUPPLY_BOX_DESC,ui_mp_br_loot_icon_generic_crate,1,1,0
#br_ftue_inventory,a&INFO_POPUPS/INVENTORY_TITLE,a&INFO_POPUPS/INVENTORY_DESC,,2,2,0
#br_ftue_sliding,a&INFO_POPUPS/SLIDING_TITLE,a&INFO_POPUPS/SLIDING_DESC,,2,3,0
#br_ftue_sliding_invert,a&INFO_POPUPS/SLIDING_TITLE,a&INFO_POPUPS/SLIDING_INVERT_DESC,,2,3,0
#br_ftue_armor,a&INFO_POPUPS/ARMOR_TITLE,a&INFO_POPUPS/ARMOR_DESC,,1,4,0
#br_ftue_enemy_down,a&INFO_POPUPS/ENEMY_DOWN_TITLE,a&INFO_POPUPS/ENEMY_DOWN_DESC,,1,5,0
#br_ftue_controls,a&INFO_POPUPS/CONTROLS_TITLE,a&INFO_POPUPS/CONTROLS_DESC,,2,6,0
#br_ftue_circle,a&INFO_POPUPS/CIRCLE_TITLE,a&INFO_POPUPS/CIRCLE_DESC,,1,7,0
#br_ftue_gas,a&INFO_POPUPS/GAS_TITLE,a&INFO_POPUPS/GAS_DESC,,1,8,0
#br_ftue_revive,a&INFO_POPUPS/REVIVE_TITLE,a&INFO_POPUPS/REVIVE_DESC,,1,9,0
#br_ftue_ping,a&INFO_POPUPS/PING_TITLE,a&INFO_POPUPS/PING_DESC,,2,10,0
#br_ftue_buyback,a&INFO_POPUPS/BUYBACK_TITLE,a&INFO_POPUPS/BUYBACK_DESC,,1,11,0
#br_ftue_swimming,a&INFO_POPUPS/SWIMMING_TITLE,a&INFO_POPUPS/SWIMMING_DESC,,2,12,0
#br_ftue_driving,a&INFO_POPUPS/DRIVING_TITLE,a&INFO_POPUPS/DRIVING_DESC,,2,13,0
#br_ftue_interrogation,a&INFO_POPUPS/INTERROGATION_TITLE,a&INFO_POPUPS/INTERROGATION_DESC,,2,14,0
#br_ftue_stronghold,a&INFO_POPUPS/STRONGHOLD_TITLE,a&INFO_POPUPS/STRONGHOLD_DESC,,2,15,0
#br_ftue_suggested_landing,a&INFO_POPUPS/INFIL_TITLE,a&INFO_POPUPS/INFIL_DESC,,1,16,0
#br_ftue_truckwar_upgrade,a&INFO_POPUPS/TRUCKWAR_UPGRADE,a&INFO_POPUPS/TRUCKWAR_UPGRADE_DESC,,1,20,0
