string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14
0,specialty_null,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,,,,specialty_null,PERKS/NONE,0,0,specialty_ks_null,LUA_MENU/LOCKED_CAPS,
1,specialty_fastreload,SUIT_SP/FASTRELOAD,icon_perk_fast_reload,SUIT_SP/FASTRELOAD_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_fast_reload,LUA_MENU/LOCKED_CAPS,perk
2,specialty_steadyaim,SUIT_SP/STEADYAIM,icon_perk_steady_aim,SUIT_SP/STEADYAIM_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_steady_aim,LUA_MENU/LOCKED_CAPS,perk
3,specialty_quickswap,SUIT_SP/QUICKSWAP,icon_perk_quick_swap,SUIT_SP/QUICKSWAP_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_quick_swap,LUA_MENU/LOCKED_CAPS,perk
4,specialty_focus,SUIT_SP/FOCUS,icon_perk_focus,SUIT_SP/FOCUS_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_focus,LUA_MENU/LOCKED_CAPS,perk
5,specialty_quickdraw,SUIT_SP/QUICKDRAW,icon_perk_quick_draw,SUIT_SP/QUICKDRAW_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_quick_draw,LUA_MENU/LOCKED_CAPS,perk
6,specialty_agility,SUIT_SP/AGILITY,icon_perk_agility,SUIT_SP/AGILITY_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_agility,LUA_MENU/LOCKED_CAPS,perk
7,specialty_extraequipment,SUIT_SP/EXTRAEQUIPMENT,icon_perk_extra_equipment,SUIT_SP/EXTRAEQUIPMENT_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_extra_equipment,LUA_MENU/LOCKED_CAPS,perk
8,specialty_blastshield,SUIT_SP/BLASTSHIELD,icon_perk_blastshield,SUIT_SP/BLASTSHIELD_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_blastshield,LUA_MENU/LOCKED_CAPS,perk
9,specialty_fastregen,SUIT_SP/FASTREGEN,icon_perk_fast_regen,SUIT_SP/FASTREGEN_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_fast_regen,LUA_MENU/LOCKED_CAPS,perk
10,specialty_slasher,SUIT_SP/SLASHER,icon_perk_knife,SUIT_SP/SLASHER_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_knife,LUA_MENU/LOCKED_CAPS,perk
11,specialty_shocker,SUIT_SP/SHOCKER,icon_perk_electro_knife,SUIT_SP/SHOCKER_DESC,slot_null,,,specialty_null,PERKS/NONE,,,icon_perk_electro_knife,LUA_MENU/LOCKED_CAPS,perk
14,upgrade_frag_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,,,,specialty_null,PERKS/NONE,0,0,specialty_ks_null,,
15,upgrade_frag_2,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
16,upgrade_shock_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
17,upgrade_shock_2,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
18,upgrade_antigrav_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
19,upgrade_antigrav_2,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
20,upgrade_seeker_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
21,upgrade_seeker_2,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
22,upgrade_hack_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
23,upgrade_shield_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
24,upgrade_drone_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
25,upgrade_cover_1,SUIT_SP/NONE,specialty_ks_null,SUIT_SP/NONE,slot_null,,,specialty_null,PERKS/NONE,,,test_perk_chip,,equipment
