string,string,string
11424,jup_jp01_ar_golf36_progression,174
12470,jup_jp02_ar_bromeo805_progression,174
12570,jup_jp05_ar_foxtrot2000_progression,174
12587,jup_jp19_ar_acharlie_progression,174
12556,jup_cp01_sm_coscar635_progression,174
12564,jup_jp02_sm_scharlie3_progression,174
12569,jup_jp04_sm_umike_progression,174
12568,jup_jp04_sm_lwhiskey_progression,174
12574,jup_jp07_sm_uzulu_progression,174
12575,jup_jp07_sm_uzulup_progression,174
12558,jup_cp24_pi_glima21_progression,174
12573,jup_jp07_pi_uzulum_progression,174
12581,jup_jp12_pi_mike93_progression,174
12584,jup_jp14_pi_rsierra12_progression,174
12557,jup_cp08_br_xmike5_progression,174
12562,jup_jp02_br_bromeo2_progression,174
12589,jup_jp19_br_acharlie450_progression,174
12560,jup_jp01_lm_mgolf36_progression,174
12572,jup_jp06_lm_pkilop_progression,174
12578,jup_jp08_lm_qbravo95lsw_progression,174
12591,jup_jp20_lm_evictor_progression,174
12559,jup_jp01_dm_slima8_progression,174
12563,jup_jp02_dm_bromeop_progression,174
12582,jup_jp13_dm_svictork_progression,174
12590,jup_jp19_dm_acharlied_progression,174
12579,jup_jp09_sh_oromeo12_progression,174
12585,jup_jp16_sh_recho870_progression,174
12583,jup_jp13_sn_svictor_progression,174
12586,jup_jp17_sn_hsierra_progression,174
12592,jup_jp22_la_dromeo_progression,174
12593,jup_jp23_me_knife_progression,174
15592,jup_me_shovel_progression,174
15594,jup_cp01_sh_aromeo410_progression,174
16556,jup_jp36_ar_anov94_progression,174
16557,jup_jp36_sn_boscar_progression,174
16989,jup_me_axe_progression,174
17014,jup_cp05_lm_halpha_progression,174
12595,jup_jp26_la_mike32_progression,174
12577,jup_jp08_ar_qbravo97_progression,174
12565,jup_jp03_ar_aromeo160_progression,174
8849,jup_player_progression,182
22937,jup_ob_s1_rift_mission_complete,215
22931,jup_ob_s1_rift_gate_unlock_quest,215
22938,jup_sp_mission_reward,177
22054,jup_leagueplay_sr_integrity,181
22056,jup_leagueplay_match_aar,181
20479,jup_leagueplay_s1_skilldivision_stats,181
22058,jup_leagueplay_s2_skilldivision_stats,181
22062,jup_leagueplay_s3_skilldivision_stats,181
22063,jup_leagueplay_s4_skilldivision_stats,181
22064,jup_leagueplay_s5_skilldivision_stats,181
22065,jup_leagueplay_s6_skilldivision_stats,181
22321,jup_wz_leagueplay_sr_integrity,252
22323,jup_wz_leagueplay_match_aar,252
22324,jup_wz_leagueplay_match_sr_gains,252
22326,jup_wz_leagueplay_s1_skilldivision_stats,252
22332,jup_wz_leagueplay_s2_skilldivision_stats,252
22333,jup_wz_leagueplay_s3_skilldivision_stats,252
22334,jup_wz_leagueplay_s4_skilldivision_stats,252
22335,jup_wz_leagueplay_s5_skilldivision_stats,252
22336,jup_wz_leagueplay_s6_skilldivision_stats,252
11588,jup_default_rewards,179
13779,jup_ob_default_inventory,179
13778,jup_ob_default_inventory_activator,179
23406,jup_limited_time_trial_timer_1,261
8891,jup_player_progression_converter,200
8892,jup_weapon_progression_converter,200
12035,jup_hidden_ch_test,215
21792,jup_daily_ob_ch_bonus,255
11230,jup_mpdailyreset,170
11231,jup_mpdailyoverride,170
11232,jup_mpdailybonus,167
20481,jup_brdailyreset,170
20483,jup_brdailyoverride,170
20485,jup_brdailybonus,167
21807,jup_obdailyreset,170
21808,jup_obdailyoverride,170
21809,jup_obdailybonus,167
11953,jup_giveloot,173
13759,jup_win_challenge_utils_spend_points,221
13765,jup_win_challenge_utils_watcher,221
13957,jup_win_challenge_utils_bypass,221
13978,jup_win_challenge_utils_update_ordered_list,221
14710,jup_win_challenge_utils_grant_points,221
