string,string,localized_a,localized_a,string,string,string,string,string,string,string,string
25543,jup_weekly_ch_s0_mp_w1_d1_revenge_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_REVENGE_KILLS_DESC,5,2500,,0,1,MP,1699466400,1701885599
25542,jup_weekly_ch_s0_mp_w1_d2_ar_charlie_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_AR_CHARLIE_KILLS_DESC,20,5000,,0,1,MP,1699466400,1701885599
25541,jup_weekly_ch_s0_mp_w1_d2_silenced_ar_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SILENCED_AR_KILLS_DESC,20,5000,,0,1,MP,1699466400,1701885599
25540,jup_weekly_ch_s0_mp_w1_d2_scoped_ar_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SCOPED_AR_KILLS_DESC,15,5000,,0,1,MP,1699466400,1701885599
25539,jup_weekly_ch_s0_mp_w1_d3_sliding_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SLIDING_KILLS_DESC,10,7500,,0,1,MP,1699466400,1701885599
25538,jup_weekly_ch_s0_mp_w1_d3_ar_charlie_headshots,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_AR_CHARLIE_HEADSHOTS_DESC,15,7500,,0,1,MP,1699466400,1701885599
25537,jup_weekly_ch_s0_mp_w1_d4_sniper_triple_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_SNIPER_TRIPLE_KILLS_DESC,1,10000,,0,1,MP,1699466400,1701885599
15305,jup_aa_s0_w1_dmz_0,a&,a&,1,,,0,1,DMZ,1699466400,1701885599
15306,jup_aa_s0_w1_dmz_1,a&,a&,1,,,0,1,DMZ,1699466400,1701885599
15307,jup_aa_s0_w1_dmz_2,a&,a&,1,,,0,1,DMZ,1699466400,1701885599
15308,jup_aa_s0_w1_dmz_3,a&,a&,1,,,0,1,DMZ,1699466400,1701885599
15309,jup_aa_s0_w1_dmz_4,a&,a&,1,,,0,1,DMZ,1699466400,1701885599
15310,jup_aa_s0_w1_dmz_5,a&,a&,1,,,0,1,DMZ,1699466400,1701885599
15311,jup_aa_s0_w1_dmz_6,a&,a&,1,,,0,1,DMZ,1699466400,1701885599
15313,jup_aa_s0_w1_zm_0,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_KILLS,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_KILLS_DESC,250,2500,,0,1,ZM,1699466400,1701885599
15314,jup_aa_s0_w1_zm_1,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_AR_CHARLIE_KILLS,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_AR_CHARLIE_KILLS_DESC,100,5000,,0,1,ZM,1699466400,1701885599
15315,jup_aa_s0_w1_zm_2,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_SILENCED_AR_KILLS,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_SILENCED_AR_KILLS_DESC,100,5000,,0,1,ZM,1699466400,1701885599
15316,jup_aa_s0_w1_zm_3,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_SCOPED_AR_KILLS,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_SCOPED_AR_KILLS_DESC,150,5000,,0,1,ZM,1699466400,1701885599
15317,jup_aa_s0_w1_zm_4,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_PHD_FLOPPER_KILLS,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_PHD_FLOPPER_KILLS_DESC,30,7500,,0,1,ZM,1699466400,1701885599
15318,jup_aa_s0_w1_zm_5,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_AR_CHARLIE_CRITS,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_AR_CHARLIE_CRITS_DESC,150,7500,,0,1,ZM,1699466400,1701885599
15319,jup_aa_s0_w1_zm_6,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_MEDIUM_OR_HIGH_THREAT_KILLS,a&JUP_OB_WEEKLY/JUP_OB_WEEKLY_MEDIUM_OR_HIGH_THREAT_KILLS_DESC,200,10000,,0,1,ZM,1699466400,1701885599
15321,jup_aa_tracker_s0_w1,a&,a&,5,,23996,0,1,WeeklyTracker,1699639200,1701885599
14643,jup_aa_tracker_season_0,a&,a&,2,,46050,0,0,SeasonTracker,1699639200,1701885599
15612,jup_weekly_ch_s0_mp_w2_d1_assists,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_ASSISTS_DESC,10,2500,,0,2,MP,1700071200,1701885599
25544,jup_weekly_ch_s0_mp_w2_d2_moving_kills,a&CHALLENGE/JUP_CH_WEEKLY_CHALLENGE_COMPLETED,a&CHALLENGE/JUP_CH_WEEKLY_MOVING_KILLS_DESC,25,5000,,0,2,MP,1700071200,1701885599
