string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,none,a&PERKS/NONE,a&PERKS/NONE,specialty_ks_null,specialty_ks_null,0,0,0,,,,,,specialty_ks_null,TRUE,,,FALSE
1,frag,a&EQUIPMENT/FRAG,a&EQUIPMENT_FRAG_LONG,icon_ability_frag,render_equipment_frag,0,4,0,charges,,0,0,EQUIPMENT_FRAG_UNLOCK,render_equipment_frag_small,TRUE,EQUIPMENT_UPGRADE_FRAG_ONE,EQUIPMENT_UPGRADE_FRAG_TWO,FALSE
2,emp,a&EQUIPMENT/EMP,a&EQUIPMENT_EMP_LONG,icon_ability_emp_grenade,render_equipment_shock,0,4,0,charges,,0,0,EQUIPMENT_EMP_UNLOCK,render_equipment_shock_small,TRUE,EQUIPMENT_UPGRADE_SHOCK_ONE,EQUIPMENT_UPGRADE_SHOCK_TWO,FALSE
3,supportdrone,a&EQUIPMENT_SUPPORTDRONE,a&EQUIPMENT_SUPPORTDRONE_LONG,icon_ability_drone,render_equipment_drone,0,4,1,charges,,0,0,EQUIPMENT_SUPPORTDRONE_UNLOCK,render_equipment_drone_small,TRUE,EQUIPMENT_UPGRADE_DRONE_ONE,,FALSE
4,hackingdevice,a&EQUIPMENT_HACKINGDEVICE,a&EQUIPMENT_HACKINGDEVICE_LONG,icon_ability_hacking,render_equipment_hacking_tool,0,4,1,charges,,0,0,EQUIPMENT_HACKINGDEVICE_UNLOCK,render_equipment_hacking_tool_small,TRUE,EQUIPMENT_UPGRADE_HACK_ONE,,FALSE
5,seeker,a&EQUIPMENT_SEEKER,a&EQUIPMENT_SEEKER_LONG,icon_ability_seeker,render_equipment_seeker,,,0,charges,,0,0,EQUIPMENT_SEEKER_UNLOCK,render_equipment_seeker_small,TRUE,EQUIPMENT_UPGRADE_SEEKER_ONE,EQUIPMENT_UPGRADE_SEEKER_TWO,FALSE
6,offhandshield,a&EQUIPMENT_SHIELD,a&EQUIPMENT_SHIELD_LONG,icon_ability_shield,render_equipment_shield,0,0,1,drain,0.25,0,0,EQUIPMENT_SHIELD_UNLOCK,render_equipment_shield_small,TRUE,EQUIPMENT_UPGRADE_SHIELD_ONE,,FALSE
7,antigrav,a&EQUIPMENT_ANTIGRAV,a&EQUIPMENT_ANTIGRAV_LONG,icon_ability_anti_gravity_grenade,render_equipment_anti_grav,0,4,0,charges,,0,0,EQUIPMENT_ANTIGRAV_UNLOCK,render_equipment_anti_grav_small,TRUE,EQUIPMENT_UPGRADE_ANTIGRAV_ONE,EQUIPMENT_UPGRADE_ANTIGRAV_TWO,FALSE
8,coverwall,a&EQUIPMENT_COVERWALL,a&EQUIPMENT_COVERWALL_LONG,icon_ability_deployable_cover,render_equipment_foam,0,4,1,charges,,0,0,EQUIPMENT_COVERWALL_UNLOCK,render_equipment_foam_small,TRUE,EQUIPMENT_UPGRADE_FOAM_ONE,,FALSE
9,grapplingdevice,a&EQUIPMENT_GRAPPLING,a&EQUIPMENT_GRAPPLING_LONG,icon_ability_grapple,render_equipment_grappling_hook,0,0,1,drain,,0,0,UNLOCK WITH DANCE,render_equipment_grappling_hook_small,FALSE,,,FALSE
10,trackingfragzerog,a&EQUIPMENT_TRACKING,a&EQUIPMENT_TRACKING_LONG,icon_ability_zero_g,render_equipment_tracking_frag,0,0,0,charges,,0,0,UNLOCK WITH STYLE,render_equipment_tracking_frag_small,FALSE,,,FALSE
11,nanoshot,a&EQUIPMENT_NANO_SHOT,a&EQUIPMENT_NANO_SHOT_LONG,hud_nano_shot,render_equipment_nano_shot,0,4,0,charges,,0,0,EQUIPMENT_HELMET_UNLOCK,render_equipment_nano_shot_small,TRUE,,,TRUE
12,helmet,a&EQUIPMENT/HELMET,a&EQUIPMENT_HELMET_LONG,hud_helmet,render_equipment_helmet,0,2,1,charges,,0,0,EQUIPMENT_HELMET_UNLOCK,render_equipment_helmet_small,TRUE,,,TRUE
13,shellcasing,a&Shell Casing,a&Shell Casing,icon_ability_zero_g,render_equipment_foam,0,4,1,charges,,0,0,EQUIPMENT_COVERWALL_UNLOCK,render_equipment_foam_small,FALSE,,,FALSE
14,grapplinghook,a&Grappling Hook,a&Grappling Hook,icon_ability_grapple,render_equipment_grappling_hook,0,0,1,charges,,0,0,EQUIPMENT_GRAPPLEHOOK_UNLOCK,render_equipment_grappling_hook_small,FALSE,,,False
15,bandage,a&Bandage,a&Bandage,hud_nano_shot,render_equipment_nano_shot,0,4,1,charges,,0,0,EQUIPMENT_HELMET_UNLOCK,render_equipment_nano_shot_small,FALSE,,,FALSE
16,armorvest,a&Armor Vest,a&Armor Vest,ui_icon_armor_plate,ui_icon_armor_plate,0,8,1,charges,,0,0,EQUIPMENT_HELMET_UNLOCK,ui_icon_armor_plate,FALSE,,,
17,tripwire,a&Trip Wire,a&Trip Wire,ui_icon_armor_plate,ui_icon_armor_plate,0,8,1,charges,,0,0,EQUIPMENT_HELMET_UNLOCK,ui_icon_armor_plate,FALSE,,,
18,magazine,a&magazine,a&magaine,ui_icon_ammo,ui_icon_ammo,0,8,1,charges,,0,0,EQUIPMENT_HELMET_UNLOCK,ui_icon_ammo,FALSE,,,
19,autotripmine,a&EQUIPMENT_AUTOTRIPMINE,a&EQUIPMENT_AUTOTRIPMINE,icon_ability_emp_grenade,render_equipment_shock,0,4,0,charges,,0,0,EQUIPMENT_HELMET_UNLOCK,ui_icon_armor_plate,FALSE,,,
