string,string,string
0,default,damage_feedback
1,hitblastshield,hud_icon_feedback_eod
2,hitlaststand,hud_damage_feedback_laststand
3,hitjuggernaut,hud_damage_feedback_juggernaut
4,hitspawnprotect,hud_damage_feedback_spawn_protection
5,hitadrenaline,hud_damage_feedback_stim
6,hittrophysystem,hud_damage_feedback_trophy
7,hitequip,hud_damage_feedback_equip
8,hitarmorlight,hud_damage_feedback_armor_light
9,hitarmorlightbreak,hud_damage_feedback_armor_break
10,hitarmorheavy,hud_damage_feedback_armor_heavy
11,hitarmorheavybreak,hud_damage_feedback_armor_break
12,hithelmetlight,hud_damage_feedback_helmet_light
13,hithelmetlightbreak,hud_damage_feedback_helmet_break
14,hithelmetheavy,hud_damage_feedback_helmet_heavy
15,hithelmetheavybreak,hud_damage_feedback_helmet_break
16,hitnooutline,hud_damage_feedback_nooutline
17,hitveharmor,hud_icon_feedback_armor
18,hitveharmorbreak,hud_icon_feedback_armor_break
19,hitnobulletdamage,hud_icon_feedback_no_damage_bullet
20,reactivearmorexplosion,hud_icon_feedback_armor_reactive
21,hitlaststand_stimpistol,hud_icon_revive_last_stand
22,hitjuggernautrecon,jup_hud_icon_feedback_juggernaut_recon
