string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string
21788,jup_daily_ob_ch_p1_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_KILLS_DESCRIPTION,100,2500,,1,,,,,1,,
22001,jup_daily_ob_ch_p1_exfil,a&CHALLENGE_DAILY_OB/DAILY_POOL1_SUCCESSFUL_EXFIL_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_SUCCESSFUL_EXFIL_DESCRIPTION,1,2500,,1,,,,,2,,
22002,jup_daily_ob_ch_p1_hipfire_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_HIPFIRE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_KILLS_DESCRIPTION,75,2500,,1,,,,,3,,
22003,jup_daily_ob_ch_p1_contracts,a&CHALLENGE_DAILY_OB/DAILY_POOL1_CONTRACTS_COMPLETE_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_CONTRACTS_COMPLETE_DESCRIPTION,3,2500,,1,,,,,4,,
22004,jup_daily_ob_ch_p1_ads_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_ADS_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_ADS_KILLS_DESCRIPTION,75,2500,,1,,,,,5,,
22005,jup_daily_ob_ch_p1_equipment_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_EQUIPMENT_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_EQUIPMENT_KILLS_DESCRIPTION,15,2500,,1,,,,,6,,
22006,jup_daily_ob_ch_p1_field_upgrade_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_FIELD_UPGRADE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_FIELD_UPGRADE_KILLS_DESCRIPTION,25,2500,,1,,,,,7,,
22008,jup_daily_ob_ch_p1_tactical_stance_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_TACTICAL_STANCE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_TACTICAL_STANCE_KILLS_DESCRIPTION,50,2500,,1,,,,,8,,
22009,jup_daily_ob_ch_p1_one_shot_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_ONE_SHOT_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_ONE_SHOT_KILLS_DESCRIPTION,30,2500,,1,,,,,9,,
22011,jup_daily_ob_ch_p1_drink_perks,a&CHALLENGE_DAILY_OB/DAILY_POOL1_DRINK_PERKS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_DRINK_PERKS_DESCRIPTION,3,2500,,1,,,,,10,,
22012,jup_daily_ob_ch_p1_magicbox_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL1_MYSTERY_BOX_WEAPON_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_MYSTERY_BOX_WEAPON_KILLS_DESCRIPTION,100,2500,,1,,,,,11,,
22013,jup_daily_ob_ch_p1_caches_opened,a&CHALLENGE_DAILY_OB/DAILY_POOL1_CACHES_OPENED_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL1_CACHES_OPENED_DESCRIPTION,25,2500,,1,,,,,12,,
22014,jup_daily_ob_ch_p2_vehicle_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_VEHICLE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_VEHICLE_KILLS_DESCRIPTION,30,2500,,2,,,,,1,,
