string,string,string
17181,jup_jp01_ar_golf36,11424
17193,jup_jp02_ar_bromeo805,12470
17212,jup_jp05_ar_foxtrot2000,12570
17182,jup_jp19_ar_acharlie,12587
17183,jup_cp01_sm_coscar635,12556
17199,jup_jp02_sm_scharlie3,12564
17203,jup_jp04_sm_umike,12569
17185,jup_jp04_sm_lwhiskey,12568
17213,jup_jp07_sm_uzulu,12574
17194,jup_jp07_sm_uzulup,12575
17211,jup_cp24_pi_glima21,12558
17191,jup_jp07_pi_uzulum,12573
17187,jup_jp12_pi_mike93,12581
17197,jup_jp14_pi_rsierra12,12584
17189,jup_cp08_br_xmike5,12557
17186,jup_jp02_br_bromeo2,12562
17192,jup_jp19_br_acharlie450,12589
17207,jup_jp01_lm_mgolf36,12560
17210,jup_jp06_lm_pkilop,12572
17209,jup_jp08_lm_qbravo95lsw,12578
17198,jup_jp20_lm_evictor,12591
17202,jup_jp01_dm_slima8,12559
17180,jup_jp02_dm_bromeop,12563
17208,jup_jp13_dm_svictork,12582
17218,jup_jp19_dm_acharlied,12590
17216,jup_jp09_sh_oromeo12,12579
17205,jup_jp16_sh_recho870,12585
17190,jup_jp13_sn_svictor,12583
17184,jup_jp17_sn_hsierra,12586
17778,jup_jp22_la_dromeo,12592
17777,jup_jp23_me_knife,12593
24677,jup_jp10_sn_cdelta50,12580
25498,jup_jp25_ar_talpha95,13612
30246,jup_me_shovel,15592
30275,jup_cp01_sh_aromeo410,15594
32081,jup_jp36_ar_anov94,16556
32080,jup_jp36_sn_boscar,16557
32818,jup_me_axe,16989
29641,jup_cp05_lm_halpha,17014
21637,jup_jp26_la_mike32,12595
17214,jup_jp08_ar_qbravo97,12577
24668,jup_jp03_ar_aromeo160,12565
11339,iw9_ar_golf3,3926
11320,iw9_ar_kilo53,775
14657,iw9_ar_acharlie300,11584
11354,iw9_ar_mike4,803
11325,iw9_ar_mike16,2010
11305,iw9_ar_akilo,296
11323,iw9_ar_akilo105,4094
11327,iw9_ar_akilo74,2650
11362,iw9_ar_schotel,4044
11372,iw9_ar_augolf,2660
11346,iw9_ar_mcharlie,877
30679,iw9_ar_ralpha,16992
26647,iw9_ar_helima,15166
29324,iw9_ar_fecho,17662
11302,iw9_ar_scharlie,1058
11357,iw9_br_msecho,867
11336,iw9_br_soscar14,339
11364,iw9_sm_aviktor,435
11365,iw9_sm_alpha57,2663
11338,iw9_sm_mpapa5,4117
11311,iw9_sm_mpapa7,3824
11341,iw9_sm_beta,2629
11315,iw9_sm_victor,850
26710,iw9_sm_acharlie45,15414
35487,iw9_sm_sdelta,21463
11324,iw9_pi_decho,3037
24472,iw9_pi_dechoauto,14507
11352,iw9_pi_papa220,2850
11307,iw9_pi_golf17,173
11361,iw9_pi_golf18,1061
32914,iw9_pi_mike2011,17147
11359,iw9_sn_alpha50,670
11317,iw9_sn_mromeo,1054
11358,iw9_sn_limax,1932
22228,iw9_sn_india,13675
31576,iw9_sn_walpha,20179
24089,iw9_pi_tango9,14129
11342,iw9_lm_kilo21,4079
11314,iw9_lm_slima,431
11331,iw9_lm_foxtrot,2923
11360,iw9_lm_rkilo,378
11356,iw9_sh_mbravo,2633
11313,iw9_sh_charlie725,995
13531,iw9_sh_vecho,11585
29624,iw9_sh_tsierra12,16988
11330,iw9_dm_mike24,2627
11316,iw9_dm_sa700,2727
11348,iw9_dm_la700,422
11349,iw9_dm_pgolf1,821
11340,iw9_dm_xmike2010,3137
11329,iw9_dm_sbeta,41
11350,iw9_dm_mike14,579
11322,iw9_dm_crossbow,11583
16976,iw9_dm_stango25,12490
11355,iw9_me_knife,2988
11351,iw9_la_rpapa7,2694
11337,iw9_la_juliet,924
11333,iw9_la_mike32,4036
11344,iw9_la_gromeo,2666
11326,iw9_la_kgolf,334
11373,iw9_sm_apapa,8919
11318,iw9_lm_ahotel,8920
11312,iw9_dm_scromeo,8921
11374,iw9_sm_papa90,8922
11335,iw9_sm_mpapax,8923
11345,iw9_ar_mcbravo,8924
11366,iw9_sh_mike1014,8925
11328,iw9_sh_mviktor,8926
11303,iw9_lm_ngolf7,8927
11367,iw9_pi_swhiskey,8928
11353,iw9_me_riotshield,8929
16017,iw9_me_sword01,11586
25653,iw9_me_tonfa,16631
35505,iw9_me_pickaxe,21528
22002,iw9_br_ngsierra,13253
