string,string,localized_a,string,string,string,localized_a,localized_a,string,int,int,string,string,string,localized_a,localized_a,localized_a,localized_a,string
0,sp_jup_vip,a&LEVELS_JUP/SP_JUP_VIP,default,3920,,a&LEVELS_JUP/SP_JUP_VIP_DESC,a&LEVELS_JUP/SP_JUP_VIP_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS_JUP/SP_JUP_VIP_CHYRONDATE,a&LEVELS_JUP/SP_JUP_VIP_CHYRONWHO,a&LEVELS_JUP/SP_JUP_VIP_CHYRONSQUAD,a&LEVELS_JUP/SP_JUP_VIP_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_chemical,a&LEVELS_JUP/CP_JUP_CHEMICAL,default,3920,,a&LEVELS_JUP/CP_JUP_CHEMICAL_DESC,a&LEVELS_JUP/CP_JUP_CHEMICAL_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_port,a&LEVELS_JUP/CP_JUP_PORT,default,3920,,a&LEVELS_JUP/CP_JUP_PORT_DESC,a&LEVELS_JUP/CP_JUP_PORT_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_silo,a&LEVELS_JUP/CP_JUP_SILO,default,3920,,a&LEVELS_JUP/CP_JUP_SILO_DESC,a&LEVELS_JUP/CP_JUP_SILO_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_military,a&LEVELS_JUP/CP_JUP_MILITARY,default,3920,,a&LEVELS_JUP/CP_JUP_MILITARY_DESC,a&LEVELS_JUP/CP_JUP_MILITARY_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_ranch,a&LEVELS_JUP/CP_JUP_RANCH,default,3920,,a&LEVELS_JUP/CP_JUP_RANCH_DESC,a&LEVELS_JUP/CP_JUP_RANCH_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,sp_jup_hijack,a&LEVELS_JUP/SP_JUP_HIJACK,default,3920,,a&LEVELS_JUP/SP_JUP_HIJACK_DESC,a&LEVELS_JUP/SP_JUP_HIJACK_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,sp_jup_flashback,a&LEVELS_JUP/SP_JUP_FLASHBACK,default,3920,,a&LEVELS_JUP/SP_JUP_FLASHBACK_DESC,a&LEVELS_JUP/SP_JUP_FLASHBACK_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_apt,a&LEVELS_JUP/CP_JUP_APT,default,3920,,a&LEVELS_JUP/CP_JUP_APT_DESC,a&LEVELS_JUP/CP_JUP_APT_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_resort,a&LEVELS_JUP/CP_JUP_RESORT,default,3920,,a&LEVELS_JUP/CP_JUP_RESORT_DESC,a&LEVELS_JUP/CP_JUP_RESORT_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,sp_jup_tundra,a&LEVELS_JUP/SP_JUP_TUNDRA,default,3920,,a&LEVELS_JUP/SP_JUP_TUNDRA_DESC,a&LEVELS_JUP/SP_JUP_TUNDRA_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_dam,a&LEVELS_JUP/CP_JUP_DAM,default,3920,,a&LEVELS_JUP/CP_JUP_DAM_DESC,a&LEVELS_JUP/CP_JUP_DAM_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_airstrip,a&LEVELS_JUP/CP_JUP_AIRSTRIP,default,3920,,a&LEVELS_JUP/CP_JUP_AIRSTRIP_DESC,a&LEVELS_JUP/CP_JUP_AIRSTRIP_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,sp_jup_surge,a&LEVELS_JUP/SP_JUP_SURGE,default,3920,,a&LEVELS_JUP/SP_JUP_SURGE_DESC,a&LEVELS_JUP/SP_JUP_SURGE_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,a&LEVELS/STRIKE_CHYRONDATE,a&LEVELS/STRIKE_CHYRONWHO,a&LEVELS/STRIKE_CHYRONSQUAD,a&LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
