string,string,string,localized,string,string,string,string,string,string,localized,string
1,taunt_mp_western_wyatt_default,wyatt_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
2,taunt_mp_western_spetsnaz_default,spetsnaz_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
3,taunt_mp_western_murphy_default,murphy_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,2,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
4,taunt_mp_western_dday_default,dday_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
5,taunt_mp_western_charly_default,charly_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,3,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
6,taunt_mp_western_alice_default,alice_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,4,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
7,taunt_mp_eastern_syd_default,syd_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
8,taunt_mp_eastern_bale_default,bale_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
9,taunt_mp_western_domino_default,domino_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,2,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
10,taunt_mp_western_otter_default,otter_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,3,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
