string,string,string,xhash32,xhash32,string,string,string,string,string,string,string,string,string,string,string,string,string
0,weapon_assault,1,x32#hash_14c,x32#hash_c80c9d6e,1,assault,1,cp_wepbuild_ar_icon,1,loadout_showcase_preview,,,,icon_weapon_ar_mike4,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extra|gunperk|unique,1
1,weapon_battle,1,x32#hash_c806af20,x32#hash_14c,1,battle,1,cp_wepbuild_ar_icon,1,loadout_showcase_preview,,,,icon_weapon_ar_mike4,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extra|gunperk|unique,1
2,weapon_smg,1,x32#hash_c80c9c73,x32#hash_c80c9d58,1,smg,1,cp_wepbuild_smg_icon,1,loadout_showcase_preview,,,,icon_weapon_sm_mpapa5,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extra|gunperk|rail|unique,1
4,weapon_shotgun,1,x32#hash_14c,x32#hash_c80c9d28,1,shotgun,1,cp_wepbuild_shotgun_icon,1,loadout_showcase_preview,,,,icon_weapon_sh_dpapa12,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extra|gunperk|pump|guard|guardtwo|pumpgrip|unique|comb|bolt,1
3,weapon_lmg,1,x32#hash_c80c9c57,x32#hash_c80c9d42,1,lmg,1,cp_wepbuild_lmg_icon,1,loadout_showcase_preview_large,,,,icon_weapon_lm_kilo121,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extra|gunperk|unique,1
5,weapon_dmr,1,x32#hash_14c,x32#hash_14c,1,sniper,1,cp_wepbuild_sr_icon,1,loadout_showcase_preview,,,,icon_weapon_sn_mike14,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extra|gunperk|cable|arms|bolt|boltaction|unique|lever,1
6,weapon_sniper,1,x32#hash_14c,x32#hash_14c,1,sniper,1,cp_wepbuild_sr_icon,1,loadout_showcase_preview_large,,,,icon_weapon_sn_alpha50,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extra|gunperk|unique|bolt|boltaction,1
0,weapon_pistol,2,x32#hash_14c,x32#hash_14c,1,pistol,1,cp_wepbuild_secondaries_icon,1,loadout_showcase_preview_small,,,,icon_weapon_pi_golf21,1,optic|muzzle|frontpiece|undermount|magazine|reargrip|backpiece|extrapstl|trigger|gunperk|unique|loader,1
1,weapon_projectile,2,x32#hash_c806af3c,x32#hash_14c,1,projectile,1,weapon_glprox_sml,0,loadout_showcase_preview_large,,,,icon_weapon_la_rpapa7,0,,0
7,weapon_melee,1,x32#hash_c80c9c38,x32#hash_c80c9d87,1,melee,1,weapon_knife_primary,1,loadout_showcase_preview_riot,,,,icon_weapon_me_soscar_knife,0,,1
2,weapon_melee2,2,x32#hash_c80c9c38,x32#hash_c80c9d87,1,melee,1,weapon_knife_primary,0,loadout_showcase_preview_small,,,,icon_weapon_me_soscar_knife,0,,1
