string,string,string,localized,string,string,string,string,string,string
0,none,,&STICKERS/DEFAULT,menu_default_slot,standard,,,,1
0,placement_sticker_1,,&STICKERS/DEFAULT,menu_default_slot,,1,,,0
0,placement_sticker_2,,&STICKERS/DEFAULT,menu_default_slot,,1,,,0
0,placement_sticker_3,,&STICKERS/DEFAULT,menu_default_slot,,1,,,0
0,placement_sticker_4,,&STICKERS/DEFAULT,menu_default_slot,,1,,,0
1,sticker_iw9_001,,&STICKERS/STICKER_001,ui_sticker_001,standard,,,,0
2,sticker_iw9_002,,&STICKERS/STICKER_002,ui_sticker_002,standard,,,,0
3,sticker_iw9_003,,&STICKERS/STICKER_003,ui_sticker_003,standard,,,,0
4,sticker_iw9_004,,&STICKERS/STICKER_004,ui_sticker_004,standard,,,,0
5,sticker_iw9_005,,&STICKERS/STICKER_005,ui_sticker_005,standard,,,,0
6,sticker_iw9_006,,&STICKERS/STICKER_006,ui_sticker_006,standard,,,,0
7,sticker_iw9_007,,&STICKERS/STICKER_007,ui_sticker_007,standard,,,,0
8,sticker_iw9_008,,&STICKERS/STICKER_008,ui_sticker_008,standard,,,,0
9,sticker_iw9_009,,&STICKERS/STICKER_009,ui_sticker_009,standard,,,,0
10,sticker_iw9_010,,&STICKERS/STICKER_010,ui_sticker_010,standard,,,,0
11,sticker_iw9_011,,&STICKERS/STICKER_011,ui_sticker_011,standard,,,,0
12,sticker_iw9_012,,&STICKERS/STICKER_012,ui_sticker_012,standard,,,,0
13,sticker_iw9_013,,&STICKERS/STICKER_013,ui_sticker_013,standard,,,,0
14,sticker_iw9_014,,&STICKERS/STICKER_014,ui_sticker_014,standard,,,,0
15,sticker_iw9_015,,&STICKERS/STICKER_015,ui_sticker_015,standard,,,,0
16,sticker_iw9_016,,&STICKERS/STICKER_016,ui_sticker_016,standard,,,,0
17,sticker_iw9_017,,&STICKERS/STICKER_017,ui_sticker_017,standard,,,,0
18,sticker_iw9_018,,&STICKERS/STICKER_018,ui_sticker_018,standard,,,,0
19,sticker_iw9_019,,&STICKERS/STICKER_019,ui_sticker_019,standard,1,,,0
20,sticker_iw9_020,,&STICKERS/STICKER_020,ui_sticker_020,standard,1,,,0
21,sticker_iw9_021,,&STICKERS/STICKER_021,ui_sticker_021,standard,1,,,0
22,sticker_iw9_022,,&STICKERS/STICKER_022,ui_sticker_022,standard,1,,,0
23,sticker_iw9_023,,&STICKERS/STICKER_023,ui_sticker_023,standard,1,,,0
24,sticker_iw9_024,,&STICKERS/STICKER_024,ui_sticker_024,standard,1,,,0
25,sticker_iw9_025,,&STICKERS/STICKER_025,ui_sticker_025,standard,1,,,0
26,sticker_iw9_026,,&STICKERS/STICKER_026,ui_sticker_026,standard,1,,,0
27,sticker_iw9_027,,&STICKERS/STICKER_027,ui_sticker_027,standard,1,,,0
28,sticker_iw9_028,,&STICKERS/STICKER_028,ui_sticker_028,standard,1,,,0
29,sticker_iw9_029,,&STICKERS/STICKER_029,ui_sticker_029,standard,1,,,0
