string,localized,localized,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,xhash32,xhash32,xhash32,xhash32,xhash32,xhash32,xhash32
mp_catedral,&LUA_MENU/MAPNAME_CATEDRAL,&LUA_MENU/MAPNAME_CATEDRAL,,0.45,205,542,0,0,0.004,ICORPS,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_catedral_bg,0,&LUA_MENU/MAPNAME_CATEDRAL,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_bd731738,x32#hash_bd731980,x32#hash_bd731bc8,x32#hash_bd731e10
mp_crossing,&LUA_MENU/MAPNAME_CROSSING,&LUA_MENU/MAPNAME_CROSSING,,0.45,205,542,0,0,0.004,ZVIR,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_crossing_bg,0,&LUA_MENU/MAPNAME_CROSSING,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd730dfc,x32#hash_bd731064,x32#hash_bd7312cc,x32#hash_bd731534,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
mp_embassy,&LUA_MENU/MAPNAME_EMBASSY,&LUA_MENU/MAPNAME_EMBASSY,,0.45,205,542,0,0,0.004,ICORPS,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_embassy_bg,0,&LUA_MENU/MAPNAME_EMBASSY,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
mp_farm_18,&LUA_MENU/MAPNAME_FARM_18,&LUA_MENU/MAPNAME_FARM_18,,0.45,205,542,0,0,0.004,RUSF,GRP9,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_farm_18_bg,0,&LUA_MENU/MAPNAME_FARM_18,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd730d48,x32#hash_bd730fb0,x32#hash_bd731218,x32#hash_bd731480,x32#hash_bd7317a4,x32#hash_bd7319ec,x32#hash_bd731c34,x32#hash_bd731e7c
mp_firingrange,&,&,,,,,,,,,,,,,,,,,,,image_mp_map_templogo,,0,&,,DXR_OFF,,1,0,,,1,,,,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60
mp_fort,&LUA_MENU/MAPNAME_FORT,&LUA_MENU/MAPNAME_FORT,,0.45,205,542,0,0,0.004,RUSF,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_fort_bg,0,&LUA_MENU/MAPNAME_FORT,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd730dc4,x32#hash_bd73102c,x32#hash_bd731294,x32#hash_bd7314fc,x32#hash_bd7317c1,x32#hash_bd731a09,x32#hash_bd731c51,x32#hash_bd731e99
mp_grandprix_pm_2,&LUA_MENU/MAPNAME_GRANDPRIX,&LUA_MENU/MAPNAME_GRANDPRIX,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_grandprix_pm_2_bg,0,&LUA_MENU/MAPNAME_GRANDPRIX,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
mp_historic_gw2,&LUA_MENU/MAPNAME_HISTORIC,&LUA_MENU/MAPNAME_HISTORIC,,0.45,205,542,0,0,0.004,ICORPS,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,1,,3000,5000,image_mp_map_templogo,loading_mp_historic_gw_bg,0,&LUA_MENU/MAPNAME_HISTORIC,25000,DXR_OFF,,1,0,,,1,,,,1.5,1.5,1.5,1.5,1.5,12000,2000,4000,15000,2000,,x32#hash_bd730d67,x32#hash_bd730fcf,x32#hash_bd731237,x32#hash_bd73149f,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
mp_hydro,&LUA_MENU/MAPNAME_HYDRO,&LUA_MENU/MAPNAME_HYDRO,,0.45,205,542,0,0,0.004,ZVIR,GRP9,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_hydro_bg,0,&LUA_MENU/MAPNAME_HYDRO,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
mp_luxury,&LUA_MENU/MAPNAME_LUXURY,&LUA_MENU/MAPNAME_LUXURY,,0.45,205,542,0,0,0.004,ICORPS,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_luxury_bg,0,&LUA_MENU/MAPNAME_LUXURY,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
