string,localized,string,string,string,string,xhash
250000,&AAR/PLACEMENT_11,icon_placement_11,Wood,DisplayRegular,,#hash_4b2acd3a87448067
500000,&AAR/PLACEMENT_10,icon_placement_10,Bronze,DisplayRegular,,#hash_802532e463184280
750000,&AAR/PLACEMENT_09,icon_placement_09,Silver,DisplayRegular,,#hash_802532e463184280
1000000,&AAR/PLACEMENT_08,icon_placement_08,Gold,DisplayRegular,,#hash_802532e463184280
1250000,&AAR/PLACEMENT_07,icon_placement_07,Platinum,DisplayWithFX,DisplayAARFX,#hash_802535e463184799
1500000,&AAR/PLACEMENT_06,icon_placement_06,Jade,DisplayWithFX,DisplayAARFX,#hash_802535e463184799
1750000,&AAR/PLACEMENT_05,icon_placement_05,Ruby,DisplayWithFX,DisplayAARFX,#hash_802535e463184799
2000000,&AAR/PLACEMENT_04,icon_placement_04,Sapphire,DisplayWithFX,DisplayAARFX,#hash_802535e463184799
2500000,&AAR/PLACEMENT_03,icon_placement_03,Diamond,DisplayWithSparks,DisplayAARSparks,#hash_802534e4631845e6
3000000,&AAR/PLACEMENT_02,icon_placement_02,Onyx,DisplayWithSparks,DisplayAARSparks,#hash_802534e4631845e6
-1,&AAR/PLACEMENT_01,icon_placement_01,Damascus,DisplayWithTexture,DisplayAARTexture,#hash_3714cfbfe0842b65
