string,string,int
mp_donetsk,ingame_br,0
mp_bio_lab,ingame_br,0
mp_br_mechanics,ingame_br,0
mp_mgl_br_mechanics,ingame_br,0
mp_br_sector,ingame_br,0
mp_br_gaspocket,ingame_br,0
mp_br_tut,ingame_br,0
mp_br_quarry,ingame_br,0
mp_bm_tut,ingame_br,0
mp_br_money,ingame_br,0
mp_kstenod,ingame_br,0
mp_lc_br_tut,common_br_alt_mp,0
mp_donetsk2,ingame_br,0
mp_bm_bunker01,ingame_br,0
mp_don3,ingame_br,0
mp_donetsk2,ingame_br,0
mp_dntsk_proto,ingame_br,0
mp_train_wz,ingame_br,0
mp_don3_ch2,ingame_br,0
mp_escape2,ingame_br,0
mp_escape3,ingame_br,0
mp_escape3_a,ingame_br,0
mp_escape3_b,ingame_br,0
mp_don4,ingame_br,0
mp_fortress_tm,ingame_br,0
mp_dmz_quarry,ingame_br,0
mp_saba,ingame_br,0
mp_saba_pm,ingame_br,0
mp_audio_saba,ingame_br,0
mp_ai_firefight,ingame_br,0
mp_dmz_hydro,ingame_br,0
mp_hydro_bads,ingame_br,0
mp_747_dev,ingame_br,0
mp_shoothouse_saba_dev,ingame_br,0
mp_digsite_dev,ingame_br,0
mp_dm_dev,ingame_br,0
mp_gaol_dev,ingame_br,0
mp_dmz_hydro_oilfield,ingame_br,0
mp_stronghold,ingame_br,0
mp_stronghold_zoo,ingame_br,0
mp_dl_proto_gym,ingame_br,0
mp_don3_mobile,ingame_br,0
mp_mgl_ftue_script,ingame_br,0
mp_don3_bot,ingame_br,0
mp_cruce,ingame_br,0
mp_mami_base,ingame_br,0
mp_wb_cpasetto_dmz01_test,ingame_br,0
mp_dmz_halo_drop_hms,ingame_fr,0
mp_fr_mechanics,ingame_fr,0
mp_fr_vehicles_hms,ingame_fr,0
mp_fr_halo_drop_hms,ingame_fr,0
mp_fr_whitebox_ai_hms,ingame_fr,0
mp_spennell_core,ingame_br,0
mp_fr_fishing_hms,ingame_fr,0
mp_fr_whitebox_objectives_hms,ingame_fr,0
mp_sbaroski_test,ingame_br,0
mp_br_hms_mechanics,ingame_br,0
mp_fr_ai_hms,ingame_fr,0
mp_delta,ingame_br,0
mp_test_mobile_largemap,ingame_br,0
mp_fr_player_activities_hms,ingame_fr,0
mp_marhaltest,ingame_br,0
mp_hms_metrics,ingame_br,0
mp_dl_ftue_gym,ingame_br,0
mp_sealion,ingame_br,0
mp_br_test_pgbedard,ingame_br,0
