string,string
1,special
2,killstreak
3,teamrevive
4,fieldupgrade
5,weapon
6,plunder
7,armor_plate
8,respawn_token
9,enemy
10,danger
11,map_enemy
12,map_danger
13,object
14,map_object
15,intel_season3_1_1
16,intel_season3_1_2
17,intel_season3_1_3
18,intel_season3_1_4
19,intel_season3_1_5
20,intel_season3_1_6
21,intel_season3_2_1
22,intel_season3_2_2
23,intel_season3_2_3
24,intel_season3_2_4
25,intel_season3_2_5
26,intel_season3_2_6
27,intel_season3_2_7
28,intel_season3_3_1
29,intel_season3_3_2
30,intel_season3_3_3
31,intel_season3_3_4
32,intel_season3_3_5
33,intel_season3_3_6
34,blueprint_unlock_563
35,blueprint_unlock_584
36,intel_season3_4_1
37,intel_season3_4_2
38,intel_season3_4_3
39,intel_season3_4_4
40,intel_season3_4_5
41,intel_season3_1_7
42,intel_season3_5_1
43,intel_season3_5_2
44,intel_season3_5_3
45,intel_season3_5_4
46,intel_season3_5_5
47,intel_season3_5_6
48,petwatch_turbo_egg
49,petwatch_turbo_baby
50,petwatch_turbo_child
51,petwatch_turbo_teen_a
52,petwatch_turbo_teen_b
53,petwatch_turbo_skunk
54,petwatch_turbo_bear
55,petwatch_turbo_mantis
56,petwatch_turbo_trex
57,petwatch_turbo_octopus
58,petwatch_turbo_fox
59,petwatch_turbo_secret1
60,petwatch_turbo_secret2
61,petwatch_turbo_secret3
62,intel_season3_4_6
63,intel_6_1
64,intel_6_2
65,intel_6_3
66,intel_6_4
67,intel_6_5
68,intel_6_6
69,armor_bundle
70,gas_mask
71,toma_strike
72,precision_airstrike
73,uav
74,scrambler_drone_guard
75,self_revive_token
76,super_ammo_drop
77,super_armor_drop
78,supply_drop
79,circle_pick
80,redeploy
81,vehicle
82,tac_rover
83,br_mastery_fiveContracts
84,br_mastery_pointBlankStreakKill
85,blueprint_unlock_629
86,lethal_achievement
87,objective_player_achievement
88,recon_drone_achievement
89,br_mastery_c4VehicleMultKill
90,br_mastery_ghostRideWhip
91,br_mastery_roundKillExecute
92,intel_6_7
93,blueprint_unlock_613
94,intel_7_1
95,intel_7_2
96,intel_7_3
97,intel_7_4
98,intel_7_5
99,intel_7_6
100,intel_7_7
101,intel_8_1
102,intel_8_2
103,intel_8_3
104,intel_8_4
105,intel_8_5
106,intel_8_6
107,intel_8_7
108,x1_blueprint_weapon
109,x1_playercard_01
110,x1_charm_01
111,x1_emblem_01
112,x1_playercard_02
113,x1_emblem_02
114,blueprint_unlock_535
118,poi_travel
119,gas_drain
120,hydro_shotgun_ai
121,oilfield_sniper_ai
122,american
123,russian
124,german
125,british
126,uav_tower
127,saba_airport
128,saba_hydro
129,saba_oilfield
130,saba_caves
131,saba_fort
132,saba_observatory
133,saba_wartorn
134,saba_marshland
135,saba_oldtwn
136,saba_mtntwn
137,saba_exhume
138,saba_cemetery
139,saba_moderncity
140,saba_lone
141,saba_fishtwn
142,squad_wipe
143,unique_grenade_extract
144,unique_vehicle_pilot
145,full_backpack_extract
146,complete_mission_stealth
147,juggernaut
148,delta_soldiers
149,observatory_no_buy
150,defender_skip_timer
151,sam_site_no_plant
152,loot_cache
153,ping_contract_phone
154,start_contract
155,clear_stronghold
156,unique_full_gas_and_repair
157,enter_medium_bird
158,land_at_lone_helipad
159,use_heli_blackbox
160,enemy_dogtag_taken
161,agent_radio_used
162,killed_under_agent_radio
163,veh9_jltv_mg
164,full_gas_and_repair_cargo_vehicle
165,solo_infil_exfil
166,request_assimilation
167,planted_hacked_laptop
168,kill_under_uav_tower
169,hostage_heli_exfil
170,enter_lone_cargo_ship
171,destroy_chopper_with_cruise
172,destroy_chopper_with_mgl
173,complete_defender_wave_6_no_bomb_plant
174,plane_shot_down
175,unlocked_door
176,gas_grenade_in_hydro_well
177,gps_poi_travel
178,tac_cam_pointing_at_oilfield
179,hacked_usb_planted
180,trigger_lone_helipad
181,trigger_lone_cargo_ship
182,trigger_water_cave_docks
183,trigger_fortress_sewers
184,sync_uav_tower_control
185,unlock_stronghold
186,parked_vehicles_hydro_gas_station
187,planted_bombs_hydro_gas_station
188,detonated_hydro_bombs
189,plant_tracker_on_truck
190,caves_server_download
191,fortress_sewer_breaker_reroute
192,infil_solo_no_weapons
193,exfil_no_weapons
194,big_cash_extract
195,loot_supply_drop
196,saba_sunken
197,saba_sira
198,full_backpack_loadout_extract
199,unlock_room_2
200,hero_stronghold_clear
201,sync_samsite_control
202,unlock_crane_building_base
203,jugg_drill_charge_kill
204,wearing_full_armor_kill
205,ledge_hang
206,kitMedic
207,kitRecon
208,kitAssault
209,high_ground_cp
210,denied_area_cp
211,raid_s1
212,raid_s2
213,raid_s3
214,raid_s4
215,raid_s5
216,hard_mode_cp
