string,localized,localized,string,string,string,string,string,localized,localized,localized,string,string,string,string,string,string,string,string,string,string,string,string,localized,string,string,string,string,string
war,&LUA_MENU_MP/WAR,&LUA_MENU_MP/WAR_DESC,icon_mode_mp_tdm,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,2,1,icon_mode_mp_tdm,icon_mode_mp_tdm_tier1,1,0,1,0,1,60,1,icon_mode_mp_tdm,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
boostball,&LUA_MENU_MP/BOOSTBALL,&LUA_MENU_MP/BOOSTBALL_DESC,icon_mode_mp_tdm,1,1,Standard,mp_hackney_am,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/BOOSTBALL_HINT,&OBJECTIVES/BOOSTBALL_HINT,2,1,icon_mode_mp_tdm,icon_mode_mp_tdm_tier1,1,1,1,0,1,60,1,icon_mode_mp_tdm,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
benchmark,&LUA_MENU_MP/BENCHMARK,&LUA_MENU_MP/BENCHMARK_DESC,icon_mode_benchmark,1,1,Standard,mp_hackney_am,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/BENCHMARK_HINT,&OBJECTIVES/BENCHMARK_HINT,2,1,icon_mode_mp_tdm,icon_mode_mp_tdm_tier1,1,1,1,0,1,60,1,icon_mode_mp_tdm,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
war_mgl,&LUA_MENU_MP/WAR_MGL,&LUA_MENU_MP/WAR_MGL_DESC,icon_mode_mp_tdm,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/WAR_MGL_HINT,&OBJECTIVES/WAR_MGL_HINT,0,1,icon_mode_mp_tdm,icon_mode_mp_tdm,1,1,1,0,1,60,1,icon_mode_mp_tdm,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
gwtdm,&LUA_MENU_MP/GWTDM,&LUA_MENU_MP/GWTDM_DESC,icon_mode_mp_gw_invasion,1,1,Alternate,mp_sira_gw,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/GWTDM_HINT,&OBJECTIVES/GWTDM_HINT,0,1,icon_mode_mp_gw_invasion,icon_mode_mp_gw_invasion_tier1,1,1,1,0,1,60,1,icon_mode_mp_gw_invasion,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
gwai,&LUA_MENU_MP/GWAI,&LUA_MENU_MP/GWAI_DESC,icon_mode_mp_gw_invasion,1,0,Standard,mp_sira_gw,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/GWAI_HINT,&OBJECTIVES/GWAI_HINT,0,1,icon_mode_mp_gw_invasion,icon_mode_mp_gw_invasion_tier1,1,1,1,0,1,60,1,icon_mode_mp_gw_invasion,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
rescue,&LUA_MENU_MP/RESCUE,&LUA_MENU_MP/RESCUE_DESC,icon_mode_mp_prisoner_rescue,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/RESCUE_HINT_DEFENDERS,&OBJECTIVES/RESCUE_HINT_ATTACKERS,0,1,icon_mode_mp_prisoner_rescue,icon_mode_mp_prisoner_rescue_tier1,1,0,1,0,1,60,1,icon_mode_mp_prisoner_rescue,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
gwbomb,&LUA_MENU_MP/GWBOMB,&LUA_MENU_MP/GWBOMB_DESC,icon_mode_mp_war_bomb,1,1,Alternate,mp_sira_gw,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/GWBOMB_HINT,&OBJECTIVES/GWBOMB_HINT,0,1,icon_mode_mp_war_bomb,icon_mode_mp_war_bomb,1,1,1,0,1,60,1,icon_mode_mp_war_bomb,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
fr,&LUA_MENU_MP/FR,&LUA_MENU_MP/FR_DESC,icon_mode_mp_tdm,1,1,Standard,mp_saba,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/FR_HINT,&OBJECTIVES/FR_HINT,0,1,icon_mode_mp_tdm,icon_mode_mp_tdm,1,1,1,0,1,60,1,icon_mode_mp_tdm,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
cyber,&LUA_MENU_MP/CYBER,&LUA_MENU_MP/CYBER_DESC,icon_mode_mp_cyber,1,1,Standard,mp_farm_18,&LUA_MENU_WARGAME_CMD,&OBJECTIVES/CYBER_HINT,&OBJECTIVES/CYBER_HINT,2,1,icon_mode_mp_cyber,icon_mode_mp_cyber,1,1,1.4,1,2,40,2,icon_mode_mp_cyber,&LUA_MENU_MP/CDL_CYBER_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
dom,&LUA_MENU_MP/DOMINATION,&LUA_MENU_MP/DOMINATION_DESC,icon_mode_mp_dom,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_DOMINATION,&OBJECTIVES/DOM_HINT,&OBJECTIVES/DOM_HINT,2,1,icon_mode_mp_dom,icon_mode_mp_dom_tier1,1,0,0.7,1,1,60,3,icon_mode_mp_dom,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
dom_mgl,&LUA_MENU_MP/DOMINATION_MGL,&LUA_MENU_MP/DOMINATION_MGL_DESC,icon_mode_mp_dom,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_DOMINATION_MGL,&OBJECTIVES/DOM_MGL_HINT,&OBJECTIVES/DOM_MGL_HINT,1,1,icon_mode_mp_dom,icon_mode_mp_dom_tier1,1,1,0.7,1,1,60,3,icon_mode_mp_dom,&LUA_MENU_MP/CDL_DOM_MGL_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
sd,&LUA_MENU_MP/SD,&LUA_MENU_MP/SD_DESC,icon_mode_mp_snd,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_SEARCH_AND_DESTROY,&OBJECTIVES/SD_ATTACKER_HINT,&OBJECTIVES/SD_DEFENDER_HINT,1,1,icon_mode_mp_snd,icon_mode_mp_snd_tier1,1,0,1.4,1,2,30,4,icon_mode_mp_snd,&LUA_MENU_MP/CDL_SD_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
hq,&LUA_MENU_MP/HQ,&LUA_MENU_MP/HQ_DESC,icon_mode_mp_hq,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_DOMINATION,&OBJECTIVES/HQ_HINT,&OBJECTIVES/HQ_HINT,2,1,icon_mode_mp_hq,icon_mode_mp_hq,1,0,0.9,0,1,60,5,icon_mode_mp_hq,&LUA_MENU_MP/CDL_HQ_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
dm,&LUA_MENU_MP/DEATHMATCH,&LUA_MENU_MP/DEATHMATCH_DESC,icon_mode_mp_ffa,0,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mode_mp_ffa,icon_mode_mp_ffa,1,0,0.9,0,1,60,6,icon_mode_mp_ffa,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
arena,&LUA_MENU_MP/ARENA,&LUA_MENU_MP/ARENA_DESC,icon_mp_mode_arena,1,1,Standard,mp_m_alley,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_arena_realism,1,1,1.5,0,1.5,60,7,icon_mp_mode_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
koth,&LUA_MENU_MP/HARDPOINT,&LUA_MENU_MP/HARDPOINT_DESC,icon_mode_mp_hardpoint,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_DOMINATION,&OBJECTIVES/KOTH_HINT,&OBJECTIVES/KOTH_HINT,1,1,icon_mode_mp_hardpoint,icon_mode_mp_hardpoint,1,0,0.9,0,1,60,8,icon_mode_mp_hardpoint,&LUA_MENU_MP/CDL_KOTH_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
ctf,&LUA_MENU_MP/CTF,&LUA_MENU_MP/CTF_DESC,icon_mode_mp_ctf,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_BLITZ,&OBJECTIVES/CTF_HINT,&OBJECTIVES/CTF_HINT,2,1,icon_mode_mp_ctf,icon_mode_mp_ctf,1,1,1,0,1,60,9,icon_mode_mp_ctf,&LUA_MENU_MP/CDL_CTF_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
conf,&LUA_MENU_MP/CONF,&LUA_MENU_MP/CONF_DESC,icon_mode_mp_conf,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_CONF,&OBJECTIVES/CONF_HINT,&OBJECTIVES/CONF_HINT,2,1,icon_mode_mp_conf,icon_mode_mp_conf_tier1,1,0,0.9,0,1,60,10,icon_mode_mp_conf,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
control,&LUA_MENU_MP/CONTROL,&LUA_MENU_MP/CONTROL_DESC,icon_mode_mp_control,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_DOMINATION,&OBJECTIVES/CONTROL_ATTACKER_HINT,&OBJECTIVES/CONTROL_DEFENDER_HINT,1,1,icon_mode_mp_control,icon_mode_mp_control_tier1,1,0,1,1,1,60,0,icon_mode_mp_control,&LUA_MENU_MP/CDL_CONTROL_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
bounty,&LUA_MENU_MP/BOUNTY,&LUA_MENU_MP/BOUNTY_DESC,icon_mode_mp_bounty,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_BOUNTY,&OBJECTIVES/BOUNTY_HINT,&OBJECTIVES/BOUNTY_HINT,2,1,icon_mode_mp_bounty,icon_mode_mp_bounty,1,1,1,0,1,60,0,icon_mode_mp_bounty,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
aon,&LUA_MENU_MP/AON,&LUA_MENU_MP/AON_DESC,icon_mode_mp_aon,1,1,Alternate,mp_farm_18,&LUA_MENU/WARGAME_AON,&OBJECTIVES/AON_HINT,&OBJECTIVES/AON_HINT,0,1,icon_mode_mp_aon,icon_mode_mp_aon,1,1,1,0,1,60,0,icon_mode_mp_aon,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
rugby,&MP_MODE_RUGBY/NAME,&MP_MODE_RUGBY/DESC,icon_mp_mode_rupture,1,1,Alternate,mp_farm_18,&MENU/NONE,&MP_MODE_RUGBY/OBJECTIVE_HINT,&MP_MODE_RUGBY/OBJECTIVE_HINT,0,1,icon_mp_mode_rupture_hcore,icon_mp_mode_rupture_realism,1,1,1,0,1,60,11,icon_mp_mode_rupture,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
dd,&LUA_MENU_MP/DEMOLITION,&LUA_MENU_MP/DEMOLITION_DESC,icon_mode_mp_demolition,1,1,Alternate,mp_farm_18,&LUA_MENU/WARGAME_SEARCH_AND_DESTROY,&OBJECTIVES/DD_ATTACKER_HINT,&OBJECTIVES/DD_DEFENDER_HINT,0,1,icon_mode_mp_demolition,icon_mode_mp_demolition,1,1,1,0,1,60,12,icon_mode_mp_demolition,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
siege,&LUA_MENU_MP/SIEGE,&LUA_MENU_MP/SIEGE_DESC,icon_mp_mode_reinforce,1,1,Alternate,mp_farm_18,&LUA_MENU_MP/WARGAME_SIEGE,&OBJECTIVES/SIEGE_HINT,&OBJECTIVES/SIEGE_HINT,0,1,icon_mp_mode_reinforce_hcore,icon_mp_mode_reinforce_realism,1,1,1,0,1,60,13,icon_mp_mode_reinforce,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
grind,&LUA_MENU_MP/GRIND,&LUA_MENU_MP/GRIND_DESC,icon_mp_mode_grind,1,1,Alternate,mp_farm_18,&LUA_MENU/WARGAME_GRIND,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_grind_hcore,icon_mp_mode_grind_realism,1,1,1,0,1,60,14,icon_mp_mode_grind,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
