int,string
1777,iw9_ch_pmc_tag_extract
2797,iw9_ch_pmc_cash_extract
1747,iw9_ch_pmc_ai_weapon_extract
1813,iw9_ch_pmc_poi_travel
957,iw9_ch_pmc_gas_drain
3060,iw9_ch_pmc_vehicle_destruction
1833,iw9_ch_pmc_kill_tier3
1039,iw9_ch_pmc_hydro_shotgun_ai
1066,iw9_ch_pmc_oilfield_sniper_ai
2788,iw9_ch_pmc_operator_kill
617,iw9_ch_pmc_task_elimination
2769,iw9_ch_pmc_uav_tower
682,iw9_ch_pmc_extract_weapon_case
370,iw9_ch_pmc_operator_kill_smg
1023,iw9_ch_pmc_operator_kill_ar
333,iw9_ch_pmc_operator_kill_exhume
2854,iw9_ch_pmc_task_hunt
1092,iw9_ch_pmc_sam_site
865,iw9_ch_pmc_squad_wipe
469,iw9_ch_pmc_pistol_headshot_ai
2760,iw9_ch_pmc_kill_riot_shield
1878,iw9_ch_pmc_long_range_kill
1126,iw9_ch_pmc_grenade_extract
2592,iw9_ch_pmc_charlie725_extract
598,iw9_ch_pmc_unique_vehicle_pilot
3873,iw9_ch_pmc_full_backpack_extract
1712,iw9_ch_pmc_liquor_extract
1947,iw9_ch_pmc_hydro_shotgun_ai_compound
3849,iw9_ch_pmc_hydro_travel
127,iw9_ch_pmc_oilfield_sniper_ai_compound
835,iw9_ch_pmc_oilfield_travel
3935,iw9_ch_pmc_uav_tower_single
1896,iw9_ch_pmc_loot_cache_extract_item
38,iw9_ch_pmc_loot_cache
3852,iw9_ch_pmc_extract_any_item
438,iw9_ch_pmc_ping_phone_start_contract
2856,iw9_ch_pmc_ping_phone
3823,iw9_ch_pmc_start_contract
205,iw9_ch_pmc_clear_stronghold
3131,iw9_ch_pmc_clear_stronghold_get_key
900,iw9_ch_pmc_clear_stronghold_clear
7477,iw9_ch_pmc_clear_stronghold_intel
2742,iw9_ch_pmc_demolition_safe
1042,iw9_ch_pmc_demolition_start_demo
848,iw9_ch_pmc_demolition_end_demo
3893,iw9_ch_pmc_demolition_open_safe
1704,iw9_ch_pmc_fuel_repair_loot_gas_cans
1935,iw9_ch_pmc_fuel_repair_fuel
1746,iw9_ch_pmc_fuel_repair_loot
278,iw9_ch_pmc_loot_extract_dog_tags
256,iw9_ch_pmc_extract_dog_tags
7450,iw9_ch_pmc_extract_faction_intel
2782,iw9_ch_pmc_medium_bird_story
988,iw9_ch_pmc_medium_bird_story_pilot
904,iw9_ch_pmc_medium_bird_story_land
3934,iw9_ch_pmc_medium_bird_story_download
87,iw9_ch_pmc_pickup_radio_kill_enemies
2601,iw9_ch_pmc_pickup_radio_kill_enemies_pickup
2744,iw9_ch_pmc_pickup_radio_kill_enemies_kill
684,iw9_ch_pmc_complete_hunt_extract_weapon
2770,iw9_ch_pmc_complete_hunt_extract_weapon_hunt
3819,iw9_ch_pmc_complete_hunt_extract_weapon_extract
563,iw9_ch_pmc_loot_sell_liquor
123,iw9_ch_pmc_loot_sell_liquor_loot
662,iw9_ch_pmc_loot_sell_liquor_sell
7374,iw9_ch_pmc_acquire_spend_cash
7385,iw9_ch_pmc_acquire_spend_cash_acquire
7405,iw9_ch_pmc_acquire_spend_cash_spend
7444,iw9_ch_pmc_geiger_loot
7447,iw9_ch_pmc_geiger_loot_geiger
7445,iw9_ch_pmc_geiger_loot_loot
7448,iw9_ch_pmc_drive_by_story
7449,iw9_ch_pmc_drive_by_buy
7452,iw9_ch_pmc_drive_by_kill
7451,iw9_ch_pmc_drive_by_destroy
7454,iw9_ch_pmc_extract_meds
7455,iw9_ch_pmc_extract_meds_loot
