string,xhash32,xhash32,xhash32,xhash32,string,string,string,string,xhash,string,string,string,string,xhash32,string,string,string,string,string,int
RUSF,x32#hash_14c,x32#hash_14c,x32#hash_c7eddf4a,x32#hash_14c,,,hud_icon_faction_pacd_fx,rs,#hash_d8a70253017b1b64,spetsnaz,red,,,x32#hash_c7ede4c0,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
USMC,x32#hash_c7edde02,x32#hash_c7edde02,x32#hash_14c,x32#hash_14c,,,hud_icon_faction_sato_fx,uk,#hash_575379d6ee5bed46,usmc,babyBlue,,,x32#hash_c7ede4d2,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,1000004,0
SAS,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,,,hud_icon_faction_sato_fx,uk,#hash_575379d6ee5bed46,sas_urban,mudRed,,,x32#hash_c7ede4d2,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,1000003,0
SABF,x32#hash_c7edddd8,x32#hash_c7edddd8,x32#hash_c7eddf66,x32#hash_14c,,,hud_icon_faction_pacd_fx,af,#hash_d8a70253017b1b64,sa_militia,orangeRed,,,x32#hash_c7ede4c0,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000007,0
FIVE,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_c7ede09a,,,hud_icon_faction_pacd_fx,wc,#hash_d8a70253017b1b64,sa_militia,orangeRed,,,x32#hash_c7ede4d2,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,1000005,0
SIX,x32#hash_c7edde1b,x32#hash_c7edde1b,x32#hash_14c,x32#hash_c7ede0b5,,,hud_icon_faction_sato_fx,ch,#hash_575379d6ee5bed46,usmc,blue,,,x32#hash_c7ede4c0,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000008,0
SEVEN,x32#hash_14c,x32#hash_14c,x32#hash_c7eddf30,x32#hash_c7ede080,,,hud_icon_faction_sato_fx,ru,#hash_d8a70253017b1b64,,,,,x32#hash_c7ede4c0,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000009,0
FREE,x32#hash_14c,x32#hash_14c,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,,,hud_icon_faction_sato_fx,uk,#,,white,,,x32#hash_c7ede4d2,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,0,0
DEFAULT,x32#hash_c7edddea,x32#hash_c7edddea,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,,,hud_icon_faction_sato_fx,uk,#,,white,,,x32#hash_c7ede4d2,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,0,0
ZVIR,x32#hash_14c,x32#hash_14c,x32#hash_c7eddf4a,x32#hash_14c,,,hud_icon_faction_pacd_fx,rs,#hash_d8a70253017b1b64,spetsnaz,red,,,x32#hash_c7ede4c0,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
ICORPS,x32#hash_14c,x32#hash_14c,x32#hash_c7eddf4a,x32#hash_14c,,,hud_icon_faction_pacd_fx,sa,#hash_d8a70253017b1b64,spetsnaz,red,,,x32#hash_c7ede4c0,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
GRP9,x32#hash_14c,x32#hash_14c,x32#hash_c7eddf4a,x32#hash_14c,,,hud_icon_faction_pacd_fx,de,#hash_d8a70253017b1b64,spetsnaz,red,,,x32#hash_c7ede4d2,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
CODCASTER,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,,,,,#,,,,,x32#hash_14c,,,,,,0
